SLP,SP,AT,Tmin,GT,DPT,Evap,HCC,K,CUPE,runoff
1019.98,973.99,8.59,7.03,7.77,5.85,-0.6301,0.06,21.49,9.57,27.992188
1019.78,974.07,9.13,8,8.38,8.38,-0.6393,0.45,5.1,1.86,27.515625
1018.22,972.78,9.08,5.83,7.87,6.83,-0.9984,0,-5.76,0.52,27.734375
1017.58,972.47,11.49,7.34,9.89,8.02,-0.9722,0,-0.23,1.12,26.65625
1020.21,974.54,10.19,7.17,9.85,8.04,-0.7957,0.01,15.53,6.42,25.84375
1025.51,978.94,6.56,6,5.85,4.47,-0.7753,0.03,6.87,1.69,27.078125
1024.97,978.62,7.47,5.9,7.03,5.11,-0.8061,0.02,8.98,1.99,29.4375
1023.74,977.44,7.63,5.81,6.65,5.36,-0.8673,0,-18.96,0.74,30.953125
1021.18,975.68,10.7,7.43,8.88,7.38,-1.1137,0,-9.31,0.72,31.625
1020.45,974.98,11.77,8.65,10.83,9.9,-0.8099,0.08,24.59,9.57,30.09375
1024.61,978.04,6.94,4.26,5.38,5.52,-1.3921,0.09,13.75,11.42,30.203125
1028.37,981.6,4.54,-0.29,2.7,-0.71,-1.4248,0,-35.62,0.02,36.15625
1031.03,984.28,4.83,0.03,2.77,-2.55,-1.4785,0.01,-31.19,0,43.03125
1027.78,981.79,6.47,-0.02,4.51,0.51,-1.3828,0.05,-38.49,0,41.90625
1027.28,981.8,11.58,1.34,9.73,4.41,-1.5267,0,-2.56,16.99,37.65625
1028.83,983.12,12.05,7.74,9.73,7.61,-0.7699,0.1,-4.58,3.32,33.71875
1027.57,981.98,11.39,5.17,9.78,6.86,-1.2526,0.04,-30.99,0.16,30.734375
1024.59,979.34,12.07,6.13,10.35,7.41,-1.4557,0,-29.65,0.44,28.546875
1020.54,975.86,15.42,8.56,12.85,10.21,-1.3867,0.52,-11.08,0.83,27.015625
1019.49,975.03,17.62,13.32,16.54,14.85,-0.7238,0.92,22.46,13.74,26.046875
1022.82,977.4,12.84,8.67,12.32,12.08,-0.9219,0.96,26.37,37.7,32.203125
1028.62,982.01,6.78,5.03,6.27,6.14,-1.1915,0.69,17.04,2.53,62.921875
1027.16,980.54,6.49,5.18,5.81,6.08,-0.7704,0.65,18.78,5.17,104.5
1023.05,977.28,9.73,6.97,9.35,8.76,-0.6813,0,23.91,16.57,121.234375
1027.6,981.52,10.33,8.75,9.41,7.06,-1.0961,0,8.89,1.46,125.65625
1024.42,978.71,11.62,8.6,10.68,4.93,-1.4706,0.07,12.62,16.41,119.875
1018.61,973.63,12.41,9.4,12.35,10.45,-0.9289,0.74,31.01,31.25,111.09375
1019.51,974.72,15.01,12.05,13.33,13.08,-1.1193,0.03,11.75,35.14,115.875
1019.72,974.89,16.09,12.56,13.83,11.88,-1.2986,0,20.07,5.04,120.90625
1017.17,972.57,15.63,12.56,14.5,12.84,-1.4467,0,25.49,6.07,113.546875
1014.98,970.53,17.11,13.42,15.7,14.24,-1.207,0.06,26.06,52.08,104.125
1017.34,972.45,14.13,11.69,12.88,10.51,-1.4045,0.37,7.91,1.36,101.90625
1018.06,972.62,11.3,10.63,10.64,10.18,-1.1487,0.35,22.69,7.53,105.3125
1020.58,974.85,10.16,8.79,9.65,9.26,-0.9409,0.27,21.56,20.88,111.109375
1020.86,974.97,9.23,8.88,8.75,8.72,-0.706,0,22.8,8.91,122.859375
1020.24,974.53,10.08,8.96,9.49,9.62,-0.7103,0.73,25.54,4.29,132.92188
1020.03,974.6,11.4,10.31,10.79,10.89,-0.6848,0.48,26.4,10.89,145.875
1018.99,973.99,13.3,11.4,12.15,12.01,-0.7579,0.02,17.32,6.61,165.4375
1015.06,970.62,16.6,12.06,14.98,13.58,-1.3623,0.09,20.23,49.1,173.25
1012.58,968.47,19.88,13.65,17.14,15.77,-1.7782,0.25,26.11,208.4,164.90625
1010.83,966.93,21.77,17.19,20.06,16.1,-2.3466,0.1,10.83,0.97,157.625
1021.09,975.4,12.13,5.92,10.97,9.67,-2.7875,0.36,22.89,60.71,149.3125
1028.54,981.54,5.54,4.78,4.41,1.46,-1.0455,0.03,12.19,4.93,151.96875
1022.69,976.24,6.82,4.79,6.13,4.22,-1.267,0.65,20.78,36.34,157.84375
1022.04,975.56,6.19,5.13,5.33,5.5,-0.8974,0.27,20.72,28.07,175.625
1026.56,979.65,4.94,3.97,3.76,3.65,-1.1304,0.01,13.28,24.56,227.21875
1027.24,980.38,5.88,4.33,4.8,3.46,-1.1952,0,8.56,12.53,251.34375
1027.83,980.95,5.17,3.34,4.32,1.59,-0.944,0.42,1.56,1.24,238.8125
