xaj,tcn-gru,runoff
491.9537949,265.14987,253.03906
466.2759432,256.4438,246.82031
433.8605387,250.45647,239.20312
444.2473349,243.11223,230.72656
444.9792841,234.8285,224.83594
444.4039799,229.14592,219.39062
436.9863704,223.61055,215.20312
459.0389633,218.87743,221.42188
459.1192737,224.58083,231.64844
458.8812037,234.64595,231.91406
454.6603414,234.95108,225.77344
478.6774566,228.71623,219.41406
497.6260925,222.07552,211.84375
463.0476755,214.54616,201.00781
447.1471314,204.12454,188.90625
427.1004975,192.68294,178.02344
433.8767081,182.19278,170.125
421.859811,174.41656,165.41406
433.4575234,169.99702,163.63281
462.894592,168.24438,165.83594
444.0001784,170.31819,166.63281
428.5316835,171.20526,163.40625
417.5793244,167.41472,162.59375
430.3666784,165.62999,164.60156
435.3057463,167.51682,165.3125
437.3825204,168.58006,162.58594
425.2526725,166.22295,156.74219
422.0879259,160.4702,152.14844
414.819566,155.87852,147.77344
398.5268991,151.67809,143.27344
426.3038507,147.1823,140.28125
439.8519548,143.83427,141.0625
407.9859308,144.06306,142.92188
415.1437412,146.01329,140.64062
419.0616719,143.74138,136.57812
405.887413,139.26227,131.95312
430.9214492,134.69792,126.5
416.8246601,130.06639,121.515625
415.8243878,125.491066,119.046875
367.1914811,123.27994,120.28125
376.5555373,124.54394,126.046875
447.0729356,129.50914,136.92188
434.89497,140.2253,148.53125
441.7406027,152.63431,152.26562
422.2259128,156.93565,148.92188
422.5033383,153.73283,142.5
430.3505311,147.25307,136
412.8191266,141.06618,131.45312
393.0240896,136.88551,131.70312
417.0294419,136.62814,140.9375
396.1968462,145.39934,154.53125
430.0792039,159.12053,165.25
447.9802211,169.55742,170.59375
448.5809886,174.98506,170.9375
479.1730334,175.59532,175.9375
506.7985295,180.41075,184.32812
436.6361382,188.77892,187.25
437.3115295,191.79861,182.96875
413.720063,187.70918,177.15625
396.7568453,181.98262,174.9375
440.5944928,179.7068,180.98438
428.6772056,185.66043,188.82812
389.9898273,193.52571,191.90625
433.5297528,196.23032,193.5625
445.2072792,197.95082,193.6875
387.3237139,198.58398,193.78125
423.0439633,199.11008,198.10938
400.7150438,203.56049,207.98438
490.7008378,213.15569,223.23438
421.2773211,228.3892,247.09375
484.1748745,252.01675,278.03125
481.970724,282.14975,322
506.7828784,325.49612,349.34375
575.8974847,352.85,352.5
586.0307655,356.0623,345.53125
521.9231539,349.3696,333.59375
470.1501466,337.81003,320.21875
389.5511748,324.89468,308.84375
446.0121567,314.24503,304.5625
476.7043049,310.2872,309.15625
596.5699117,314.86063,335.9375
504.0750122,340.5405,395.59375
578.3643045,399.11557,432.28125
502.6645588,435.39453,434.46875
489.4662972,436.79242,422.0625
563.5854277,424.09424,405.1875
534.7256734,408.03934,382.03125
545.8104392,385.65164,359.375
496.7758119,363.46454,339.1875
539.5761281,343.31406,333.40625
609.8164808,337.5577,352.53125
558.4589031,356.7285,373.28125
581.1263692,377.48453,374.8125
578.2621099,379.16684,367.84375
516.8315101,372.19403,365
540.0317819,369.2165,362.53125
494.3017675,366.91953,361.3125
523.2866271,366.26163,363.1875
529.2680339,368.36905,376.21875
400.5176496,381.28726,404.65625
559.4733774,410.24442,430.6875
720.4669273,436.2559,465.34375
641.5872147,470.09146,526.65625
615.0707699,529.5263,579.25
592.1927018,580.4285,609.9375
623.4515907,610.4942,602.90625
645.0052222,603.9962,564.6875
587.3829956,566.7824,518.78125
599.5444987,522.0362,483.75
610.3314358,487.46213,460.78125
539.7882048,464.39304,443.6875
497.9016432,447.28397,424.25
473.0219273,428.75797,399.71875
471.193733,405.0894,380.96875
739.4935298,386.9069,400.03125
719.2310802,405.42438,491.4375
619.1144133,495.33072,578.9375
560.3838815,581.82855,596.40625
610.2521196,598.90106,577.28125
618.8909848,579.99664,546.125
636.4760477,549.15955,514.71875
642.7453653,518.1077,490.25
618.7055204,493.81454,489.59375
726.0115652,493.4684,493.59375
666.9231855,497.50323,506.03125
647.1242236,509.6251,525.90625
609.4023818,529.2702,531.03125
635.511992,534.392,526.09375
764.6627454,529.6137,547.8125
668.0457441,551.20935,595.125
648.9252625,597.89056,604.46875
745.7281165,607.1192,598.9375
719.9690552,602.22217,588.375
804.0203687,591.79816,578.46875
656.2190625,582.2176,565.9375
639.2407867,569.5943,546.78125
653.1966543,550.79376,517.5625
555.5125006,522.25287,491.25
607.5821732,496.1816,483.625
611.8655502,488.0195,512.09375
564.6262785,515.6238,585
652.9049359,587.53217,652.0625
857.2256355,653.9364,714.15625
676.9453707,715.429,750.5625
542.7378176,751.7216,717.625
484.4039545,719.7106,665.0625
648.1915275,668.38446,639.875
707.6357687,643.8376,705.15625
832.0045239,707.8627,959.625
1001.577931,960.0476,1207.8125
1120.392487,1206.6617,1207.9375
