Time,SLP,SP,AT,Tmax,Tmin,Pre,Sf,DSC,GF,DPT,RH,Evap,PET,WS,MWS,LMS,AGWS,MGWS,LCC,MCC,HCC,TCC,TSRI,NSRI,DR,DH,UI,TP,MTP,K,CUPE,runoff
20100101,1017.72,1015.39,4.74,9.71,-1.66,0,0,0,4.34,-1.46,64.11,-0.9636,-1.724,2.86,2.35,1.16,5.63,7.63,0,0.39,0.22,0.51,11919360,10445312,8405376,3.31,1174440,29.44,39.78,-9.98,0,54.039062
20100102,1021.38,1019.03,4.81,11.17,0.64,0,0,0,4.54,0.69,74.63,-0.9203,-1.607,3.25,-1.2,-0.47,6.37,8.59,0.04,0,0,0.04,12184704,10677888,9126592,3.38,1199136,36.17,38.76,-2.41,0,51.78125
20100103,1017.02,1014.69,5.25,9.86,1.32,0,0,0,5.3,2.18,80.6,-0.684,-1.354,3.42,1.31,-0.39,6.68,11.14,0.03,0,0.2,0.22,11772544,10319232,8333312,3.27,1156832,38.08,42.42,-1.24,0,50.210938
20100104,1026.51,1024.09,-0.04,4.06,-4.68,0,0,0,-0.02,-8.67,52.2,-1.2739,-1.737,4.12,-3.94,0.19,8.21,11.86,0.06,0,0.68,0.68,11383104,9973824,7011968,3.16,1132664,1.54,25.68,-37.18,0,48.976562
20100105,1030.02,1027.57,-2.39,-0.6,-4.91,0,0,0,-0.82,-10.06,55.6,-0.9423,-1.385,2.74,-2.32,-1.43,5.59,7.65,0,0.66,0.79,0.79,11005696,9645056,6586752,3.06,1096480,-6.4,2.72,-34.38,0,47.953125
20100106,1031.27,1028.83,-1.42,2.42,-4.26,0,0,0,-1.03,-8.48,58.61,-0.94,-1.464,2.18,-1.71,-1.32,4.67,6.5,0,0,0,0,12631232,11065984,9568896,3.51,1228640,16.68,24.05,-16.08,0,47.140625
20100107,1030.57,1028.13,-0.68,1.66,-3.67,0,0,0,-0.03,-8.65,54.79,-0.9041,-1.49,2.11,-1.71,-1.08,4.38,6.78,0,0.41,0.67,0.68,12246976,10736704,8758272,3.4,1213544,25.96,33.84,-6.74,0,46.390625
20100108,1025.56,1023.16,0.61,4.01,-2.19,0,0,0,0.44,-6.32,59.73,-0.8599,-1.445,2.02,0.99,-1.62,4.2,6.3,0,0,0,0,12638080,11074368,9554944,3.51,1240976,34.88,38.06,-9.33,0,45.6875
20100109,1025.56,1023.18,3.62,7.5,-1.04,0.31,0.09,0,4.03,-2.01,66.63,-0.8926,-1.51,2.65,-1.61,-1.96,5.59,6.81,0.24,0.22,0.72,0.76,12056576,10572608,8451840,3.35,1217712,29.65,32.62,-6.14,3.34,45.015625
20100110,1028.37,1025.96,0.83,2.38,-0.34,3.36,0.85,0.31,1.22,-0.91,88.14,-0.6248,-0.291,3.74,-3.6,-0.87,7.01,8.85,0.75,0.96,0.43,0.99,2330496,2043456,118272,0.65,335880,28.07,32.63,9.72,4.99,44.5
20100111,1031.36,1028.93,-1.18,1.71,-4.49,0,0,0,-1.83,-5.84,70.59,-0.7625,-1.144,2.86,-2.48,0.77,5.45,9.78,0.04,0.32,0.51,0.61,8739200,7483328,3729344,2.43,975384,13.65,21.1,-18.49,0.1,44.140625
20100112,1029.3,1026.88,0.29,6.51,-5.4,0,0,0,-0.06,-10.65,43.6,-1.2687,-1.997,4.25,-1.22,2.81,8.25,13.8,0.01,0.02,0,0.03,13355200,11697856,10286912,3.71,1284120,20.47,33.29,-21.14,0.02,43.703125
20100113,1032.79,1030.34,-2.95,0.51,-5.35,0,0,0,-3.32,-13.76,43.04,-1.0042,-1.632,2.48,0.17,0.48,4.74,8.13,0,0,0,0,14033664,12240256,10964480,3.9,1307336,9.22,27.89,-42.02,0,43.328125
20100114,1026.97,1024.61,2.48,9.54,-3.92,0,0,0,1.54,-5.11,57.27,-1.0582,-1.997,3.46,0.97,0.81,6.09,10.18,0,0,0.04,0.04,13502592,11711680,10460608,3.75,1318920,25.84,30.39,-21.1,0,42.953125
20100115,1034.45,1032.03,2.49,5.9,-0.74,0,0,0,2.26,-5.91,53.82,-0.8163,-1.473,3.27,-2.39,-2.13,6.19,9.77,0.02,0.84,0.21,0.87,7928000,6920064,3397440,2.2,855128,13.02,17.9,-13.69,0,42.65625
20100116,1033.06,1030.67,2.03,6.74,-0.99,0,0,0,1.88,-2.48,72.01,-0.8339,-1.531,2,0.05,-1.9,4.05,6.16,0.03,0.03,0.12,0.16,13192768,11504576,9920512,3.66,1314496,27.84,35.62,-16.67,0,42.625
20100117,1029.18,1026.82,4.88,11.32,-0.54,0,0,0,4.46,1.14,76.75,-0.7844,-1.511,2.22,1.22,-1.78,4.43,6.81,0,0,0,0,13237376,11571264,10109120,3.68,1326704,37.57,38.66,-6.04,0,42.71875
20100118,1024.52,1022.2,8.34,14.85,1.36,0,0,0,8.17,4.66,77.59,-0.7488,-1.451,2.75,1.43,-2.28,5.57,7.12,0,0,0.12,0.12,13201216,11573632,10047744,3.67,1334952,32.79,35.35,-11.87,0,42.578125
20100119,1018.53,1016.27,13.52,18.5,7.03,0.01,0,0,12.34,9.27,75.43,-1.1587,-2.158,2.71,2.54,-0.55,5.18,9.16,0.09,0.4,0.42,0.56,12891520,11309120,9805568,3.58,1330720,27.2,30,7.72,10.18,42
20100120,1023.92,1021.58,7.44,14.55,-0.23,1.86,0.08,0,7.63,4.23,80.06,-1.1598,-0.913,4.33,-3.54,0.84,8.49,12.22,0.63,0.92,0.91,0.99,4633856,4093376,1219840,1.29,604800,27.43,31.58,14.92,22.05,41.359375
20100121,1033.91,1031.49,0.88,3.47,-1.38,0,0,0,0.85,-5.87,60.62,-1.1356,-1.821,3.28,-3.01,-1.23,6.86,11.89,0,0.3,0.72,0.79,10845120,9472192,6052992,3.01,1164888,-1.65,18.98,-19.77,0,40.78125
20100122,1034.36,1031.95,0.85,3.64,-1.65,0,0,0,0.69,-7.69,52.82,-0.9955,-1.662,1.56,-1.11,0.33,3.32,6.67,0,0.06,0.9,0.91,10745984,9415360,5496192,2.98,1142600,-0.19,10.16,-26.74,0,40.3125
20100123,1029.32,1026.93,1.45,5.8,-1.53,0,0,0,1.05,-7.92,49.7,-1.0874,-1.797,1.77,0.61,-0.68,3.37,4.9,0,0.13,0.25,0.38,13111744,11476160,8452224,3.64,1313736,-0.43,18.08,-30.73,0,40.015625
20100124,1024.58,1022.21,5.02,8.39,-0.21,0.97,0,0,5.29,-1.26,63.84,-1.0866,-1.775,1.99,0.25,1.19,4.45,8.58,0.18,0.52,0,0.53,12001216,10510016,8131648,3.33,1250760,24.75,32.04,3.26,0.77,39.671875
20100125,1033.32,1030.91,1.89,7.48,-2.87,0,0,0,1.45,-6.8,52.5,-1.4296,-2.242,3.14,-1.96,-1.48,6.06,11.25,0,0,0.01,0.01,14687040,12847616,11424128,4.08,1432152,0.55,13.77,-36.38,0,39.28125
20100126,1024.32,1021.95,5.39,8.35,-1.84,0.24,0,0,5.52,-1.88,59.44,-1.1317,-2.006,3.82,2.65,-2.46,7.3,9.08,0.16,0.23,0.52,0.73,13297856,11643136,8522816,3.69,1355928,11.96,36.37,-14.43,0.11,38.75
20100127,1018.55,1016.22,5.45,10.18,1.53,1.56,0,0,4.87,3.04,84.43,-0.5602,-0.899,2.17,0.44,1.22,4.04,6.34,0.32,0.23,0.32,0.55,6896640,6035904,2999360,1.92,809496,31.82,36.25,3.63,0.06,38.375
20100128,1024.73,1022.38,5.45,10.81,0.62,0.01,0,0,5.19,0.56,70.75,-1.1697,-2.012,2.39,-0.54,-2.13,4.75,7.68,0.03,0.02,0.27,0.3,14634624,12800576,11167296,4.07,1455760,20.71,25.54,-14.87,0,38.0625
20100129,1022.39,1020.06,6.79,11.36,1.17,3.88,0,0,7.09,1.95,71.21,-1.1398,-1.956,2.22,0.13,-2.18,4.44,6.61,0.03,0.33,0.49,0.7,13452544,11772480,8687488,3.74,1370552,32.59,44.48,7.03,0.74,37.890625
20100130,1019.14,1016.81,8.16,10.16,5.84,3.54,0,0,6.94,6.25,87.77,-0.3989,-0.457,1.12,-0.63,-0.1,2.26,4.46,0.48,0.81,0.18,0.83,4230272,3704640,1386432,1.18,513992,40.19,44.24,22.25,3.22,38.40625
20100131,1020.73,1018.39,6.99,9.49,4.4,10.78,0,0,7.24,4.67,85.14,-1.2184,-1.231,3.03,-2.28,-1.81,6.07,8.56,0.72,0.83,0.46,0.96,8121152,7101056,4030272,2.26,880528,26.76,34.12,8.51,3.84,40.09375
20100201,1023.29,1020.93,4.48,7.48,2.09,0,0,0,4.39,1.5,81,-0.8045,-1.049,2.28,-0.75,-1.53,4.41,6.3,0.29,0.4,0.2,0.78,7437952,6503936,1704832,2.07,867128,19.08,26.93,-18.87,0.32,44.15625
20100202,1025.07,1022.7,4.16,6.44,0.85,0.49,0,0,4.08,0.18,75.28,-0.959,-1.429,2.86,-0.35,-2.81,5.55,8.78,0.12,0.62,0.58,0.78,8805888,7705152,2837632,2.45,1017608,23.79,26.01,-4.94,0,52.359375
20100203,1026.67,1024.3,4.84,7,1.71,0.01,0,0,4.83,0.27,72.25,-0.9646,-1.373,2.73,-0.36,-2.68,5.69,7.84,0.42,0.63,0.21,0.73,9228992,8080960,3440320,2.56,1069344,28.23,31.61,-0.03,0.22,64.09375
20100204,1024.63,1022.28,5.24,8.23,2.93,0,0,0,5.39,1.4,76.23,-0.876,-1.38,2.82,0.86,-2.62,5.56,8.39,0.51,0.32,0.44,0.74,9048064,7918976,2509696,2.51,1031024,32.75,37.64,5.71,0.21,73.65625
20100205,1024.79,1022.44,6.6,7.69,4.07,0.78,0,0,6.56,2.28,73.9,-0.8854,-1.106,4.07,0.32,-3.93,7.97,10.54,0.93,0.75,0.72,0.98,5925376,5182016,1141824,1.65,691120,36.33,39.45,4.67,3.08,76.890625
20100206,1024.09,1021.74,6.06,7.69,4.94,9.06,0,0,5.63,3.57,84.05,-1.0068,-0.599,4.84,0.93,-4.68,9.05,13.24,0.99,0.97,0.21,1,2793472,2447424,106176,0.78,392120,36.3,44.23,17.1,3.25,75.25
20100207,1020.07,1017.74,7.63,9.22,5.99,0.06,0,0,7.45,6.22,90.79,-0.4083,-0.547,1.39,-0.36,-0.66,2.73,4.33,0.94,0.15,0.01,0.94,4517504,3958272,531776,1.25,556112,37.32,42.72,-12.81,2.38,72.15625
20100208,1013.68,1011.4,11.55,13.84,7.68,11.07,0,0,11.29,9.6,87.83,-0.4302,-0.737,2.44,0.47,-1.87,5.53,7.29,0.64,0.34,0.37,0.86,5732928,5014592,1256000,1.59,706528,45.29,50.76,14.81,49.9,70.71875
20100209,1013.55,1011.23,9.18,13.11,4.81,3.02,0,0,8.23,7.43,88.78,-0.9591,-0.763,4.06,-3.6,-1.83,7.89,12.57,1,0.5,0.49,1,5315264,4651072,1896192,1.48,711072,47.68,51.79,29.62,44.83,72.03125
20100210,1019.94,1017.55,1.43,4.77,-2.02,26.75,1.28,0.27,1.39,0.01,90.26,-1.6921,-0.273,6.31,-5.36,-2.85,11.56,13.93,0.99,0.98,0.78,1,1530240,1341504,17152,0.43,196296,27.14,43.23,14.03,33.56,77.1875
20100211,1031.43,1028.98,-2.62,-0.99,-5.03,0.32,0.14,0.04,-1.69,-6.82,72.78,-1.011,-0.662,4.59,-4.52,0.66,8.84,12.01,0.63,0.43,0.45,0.77,3621632,3055232,221056,1.01,470264,2.08,16.38,-16.3,1.2,90.21875
20100212,1033.98,1031.53,-2.79,-0.26,-4.98,0,0,0,-2.11,-8.35,65.51,-1.1901,-1.671,2.26,-2.09,0.31,4.84,8.92,0.11,0,0.42,0.43,15271232,13286336,9830848,4.24,1518712,-0.91,8.41,-38.78,0.06,112.9375
20100213,1028.25,1025.83,0.17,1.83,-2.99,6.62,6.62,1.49,2.05,-5.79,64.19,-1.3658,-1.98,3.65,-0.88,-3.47,7.08,9.09,0.23,0.63,0.82,0.86,15802752,13569152,10856128,4.39,1583688,11.41,22.29,-22.49,0.08,131.15625
20100214,1027.73,1025.31,0.52,1.61,-0.51,4.02,2.39,1.38,0.4,-0.41,93.49,-0.539,-0.331,4.07,-3.46,-1.98,7.58,8.6,0.77,0.92,0.57,0.99,3684480,2189248,188160,1.02,429736,22.47,25.94,1.25,1.36,135.59375
20100215,1032.85,1030.42,0.57,2.68,-3.14,0.31,0.26,0.28,0.69,-3.96,71.6,-1.0535,-1.443,3.41,-3.14,-1.22,6.7,11.29,0.28,0.68,0.66,0.76,10178624,8428672,3761088,2.83,1178040,12.28,16.84,-10.05,0.11,130.15625
20100216,1032.14,1029.73,0.86,3.15,-1.77,0.1,0.1,0.6,1.36,-5.27,63.51,-1.316,-2.056,1.79,-1.36,-0.91,3.72,7.43,0,0.43,0.92,0.95,15840896,13645312,10489216,4.4,1649184,13.25,26.64,-12.47,0,120.15625
20100217,1029.82,1027.42,1.91,5.75,-2.37,0,0,0.07,1.55,-3.75,66.09,-1.3984,-2.138,2.53,-0.9,1.9,5.31,9.67,0.13,0.02,0.7,0.71,15185600,13069760,9220736,4.22,1610704,20.28,30.59,-23.85,0.03,109.28125
20100218,1027.89,1025.51,2.35,7.11,-1.13,0,0,0,1.86,-6.25,52.98,-1.7116,-2.534,1.99,0.99,1.68,4.29,7.06,0,0,0.22,0.22,18345856,15950464,14346624,5.1,1801392,19.52,24.62,-29.5,0,99.5
20100219,1022.4,1020.06,5.22,10.7,0.94,0,0,0,3.8,-3.37,53.84,-1.7826,-2.733,2.91,2.12,1.68,5.68,9.32,0,0,0.42,0.42,17244608,15010496,11833408,4.79,1744432,30.62,38.71,-29.4,0,93.46875
20100220,1017.97,1015.66,7.51,14.25,2.44,0,0,0,5.84,-1.1,54.38,-1.9984,-3.125,3.09,3.01,0.35,5.99,9.76,0,0,0,0,18293632,15926464,14391616,5.08,1842280,36.88,43.08,-17.55,0,94
20100221,1015.85,1013.58,10.17,18.2,4.93,0.01,0,0,7.85,2.39,58.43,-1.9726,-3.088,2.61,2.29,-0.13,4.49,8.5,0,0.15,0.44,0.45,18387392,16005312,14472512,5.11,1861736,31.82,38,-13.85,0,104
20100222,1015.62,1013.36,12.25,19.31,4.82,0,0,0,9.85,5.12,61.72,-1.7138,-2.499,1.46,0.29,-1.28,2.71,6.16,0,0.03,0.22,0.23,16236672,14143232,10576320,4.51,1744584,37.78,39.36,-2.75,0,122.59375
