Time,SLP,SP,AT,Tmax,Tmin,Pre,Sf,DSC,GF,DPT,RH,Evap,PET,WS,MWS,LMS,AGWS,MGWS,LCC,MCC,HCC,TCC,TSRI,NSRI,DR,DH,UI,TP,MTP,K,CUPE,runoff
20100101,1019.98,973.99,8.59,9.54,7.03,5.39,0,0,7.77,5.85,82.9,-0.6301,-0.622,0.65,0.45,0.01,3.01,3.81,0.78,0.91,0.06,0.95,2938368,2633216,411584,0.82,403192,34.26,44.82,21.49,9.57,27.992188
20100102,1019.78,974.07,9.13,10.85,8,0.33,0,0,8.38,8.38,95.07,-0.6393,-0.449,0.54,-0.19,0.07,2.57,4.64,0.86,0.65,0.45,0.99,4035776,3624192,485632,1.12,542544,38.94,43.78,5.1,1.86,27.515625
20100103,1018.22,972.78,9.08,14,5.83,0.01,0,0,7.87,6.83,85.79,-0.9984,-1.373,1.11,0.86,-0.29,3.55,6.35,0.48,0,0,0.48,9616448,8575104,4764416,2.67,945544,40.88,45.92,-5.76,0.52,27.734375
20100104,1017.58,972.47,11.49,16.47,7.34,0.06,0,0,9.89,8.02,79.21,-0.9722,-1.542,1.07,-0.39,-0.55,3.26,5.12,0.57,0.08,0,0.57,9009152,8036480,4497984,2.5,970464,33.75,39.31,-0.23,1.12,26.65625
20100105,1020.21,974.54,10.19,13.74,7.17,10.81,0,0,9.85,8.04,86.5,-0.7957,-0.882,1.11,0.67,-0.75,3.2,4.92,0.74,0.87,0.01,0.95,4951488,4446016,1857728,1.38,637248,29.96,37.71,15.53,6.42,25.84375
20100106,1025.51,978.94,6.56,7.84,6,0.88,0,0,5.85,4.47,86.49,-0.7753,-0.297,1.44,-1.41,0.04,3.86,5,1,0.58,0.03,1,1379776,1233984,42944,0.38,203736,28.84,31.38,6.87,1.69,27.078125
20100107,1024.97,978.62,7.47,8.63,5.9,5.5,0,0,7.03,5.11,85.03,-0.8061,-0.792,1.01,-0.94,0.24,2.91,4.11,1,0.68,0.02,1,4574144,4079872,1070144,1.27,541016,35.95,38.38,8.98,1.99,29.4375
20100108,1023.74,977.44,7.63,8.33,5.81,0.03,0,0,6.65,5.36,85.55,-0.8673,-0.624,0.6,-0.43,0.03,2.23,3.93,0.95,0.14,0,0.95,4568512,4075392,509632,1.27,579808,32.72,37.75,-18.96,0.74,30.953125
20100109,1021.18,975.68,10.7,13.99,7.43,0.02,0,0,8.88,7.38,79.9,-1.1137,-1.92,1.01,0.46,-0.42,3.37,6.32,0.75,0.04,0,0.76,12315712,10990272,7783168,3.42,1288856,29.53,38.66,-9.31,0.72,31.625
20100110,1020.45,974.98,11.77,14.32,8.65,7.15,0,0,10.83,9.9,88.29,-0.8099,-0.86,1.09,-0.99,0.4,3.76,5.44,0.98,0.85,0.08,0.99,5608000,5014336,2013120,1.56,633144,41.97,44.58,24.59,9.57,30.09375
