Time,SLP,SP,AT,Tmax,Tmin,Pre,Sf,DSC,GF,DPT,RH,Evap,PET,WS,MWS,LMS,AGWS,MGWS,LCC,MCC,HCC,TCC,TSRI,NSRI,DR,DH,UI,TP,MTP,K,CUPE,runoff
20100101,1020.68,944.5,7.7,10.78,4.68,0,0,0,6.7,4.32,79.16,-1.1664,-1.395,0.97,0.11,-0.75,2.96,5.84,0.64,0.05,0.04,0.66,10760000,9680064,6212352,2.99,1108400,38.28,42.35,5.98,0.42,170.21094
20100102,1021.99,945.66,6.8,8.76,3,0.01,0,0,7,4.09,82.89,-0.9506,-1.263,0.95,-0.08,-0.7,3.09,5.86,0.7,0.08,0,0.7,9284608,8358080,5134912,2.58,988488,40.87,44.87,-6.5,0.75,163.59375
20100103,1017.44,941.07,6.79,9.19,2.61,0.35,0,0,6.91,4.27,83.92,-0.9737,-1.254,1.2,-0.83,-0.16,3.61,6.01,0.92,0.11,0,0.93,10171776,9148096,5466304,2.83,1079760,30.92,36.73,-22.44,0.67,155.95312
20100104,1016.92,941.17,7.03,10.65,4.85,0.13,0,0,7.69,3.32,77.24,-1.2915,-1.564,1.45,-0.98,0.27,4.13,6.05,0.49,0.36,0,0.54,10534848,9459200,7309376,2.93,1116376,15.4,21.01,-1.64,0.42,148.71875
20100105,1020.84,944.92,7.2,10.92,2.85,0.11,0,0,6.18,3.69,78.36,-0.964,-1.227,1.13,-0.35,-0.17,3.3,5.72,0.48,0.25,0,0.51,7415552,6645952,2902976,2.06,760160,31.21,35.99,7.57,0.15,144.04688
20100106,1023.65,947.02,6.92,8.12,4.86,0.79,0,0,7.29,5.38,89.9,-0.5875,-0.707,0.99,-0.55,-0.61,2.98,5.2,0.99,0.3,0,0.99,5475136,4920832,1139456,1.52,630312,33.23,38.25,8.94,2.6,141.53125
20100107,1025.12,948.59,7.37,10.46,5.55,0.07,0,0,7.54,5.08,85.36,-0.7599,-0.889,0.72,0.21,-0.47,2.8,4.48,0.85,0.17,0,0.86,6071488,5445632,1349632,1.69,723304,39.02,41.47,2.22,0.9,138.57812
20100108,1017.62,941.39,6.92,8.16,4.9,0.64,0,0,7.11,4.7,85.73,-0.7033,-0.844,1.11,-0.62,-0.29,2.98,4.92,0.94,0.21,0,0.94,6170688,5530944,1636352,1.71,740464,30.53,34.69,-4.47,1.42,135.32812
20100109,1017.85,942.23,7.77,11.17,5.19,0.05,0,0,8.07,4.37,79.05,-0.9867,-1.149,1.22,-0.48,0.61,3.45,4.36,0.68,0.31,0,0.72,7772800,6988160,3628992,2.16,832776,28.46,32.26,2.43,1.09,131.9375
20100110,1024.15,947.97,8.04,10.61,5.17,7.51,0,0,8.55,4.5,78.29,-1.1557,-1.285,1.6,-1.04,0.05,4.58,5.89,0.83,0.84,0,0.89,7694208,6934656,3746112,2.14,896312,27.98,31.79,10.15,4.12,129.78125
