Time,SLP,SP,AT,Tmax,Tmin,Pre,Sf,DSC,GF,DPT,RH,Evap,PET,WS,MWS,LMS,AGWS,MGWS,LCC,MCC,HCC,TCC,TSRI,NSRI,DR,DH,UI,TP,MTP,K,CUPE,runoff
20100101,1016.86,907.47,-0.08,7.68,-8.92,0,0,0,-2.27,-11.16,43,-0.1495,-0.941,2.36,-0.52,1.75,4.66,6.13,0,0.17,0.01,0.18,9196160,7721152,5731328,2.55,948704,36.95,40.75,-2.77,0.01,119.0625
20100102,1016.86,907.17,0.82,5.78,-4.76,0.35,0,0,-0.04,-8.37,50.2,-0.2907,-1.011,2.56,2.31,0.12,5.47,9.52,0,0.19,0.24,0.28,10311680,8674688,7778240,2.86,1007392,39.64,42.35,3.76,0,117.92969
20100103,1021.89,909.79,-1.71,7.58,-12.26,0.01,0,0,-2.32,-14.34,37.48,-0.5538,-1.528,5.25,-4.11,1.78,10.34,15.14,0,0.04,0.03,0.07,10191232,8576576,7468672,2.83,997048,26.61,43.83,-23.76,0,117.61719
20100104,1033.68,916.53,-10.46,-8.13,-13.08,0,0,0,-8.75,-24,31.97,-0.0939,-0.979,3.35,-3.33,0.22,6.57,11.05,0,0,0.44,0.44,10969664,9216448,8422464,3.05,1027096,2.98,26.65,-37.1,0,119.9375
20100105,1027.63,913.36,-7.54,-4.7,-12.97,0,0,0,-6.17,-20.94,33.3,-0.1291,-0.929,0.89,-0.73,-0.16,2.78,4.13,0,0.12,0.15,0.27,10488128,8821632,7833344,2.91,1026176,32.96,39.95,0.74,0.04,122.03125
20100106,1026.79,914.49,-4,0.94,-9.67,0,0,0,-4.48,-14.12,45.21,-0.1386,-0.932,1.05,-0.05,0.15,2.83,4.43,0,0.01,0.18,0.18,10580096,8904256,8056064,2.94,1044600,38.33,40.09,2.99,0,123.5
20100107,1024.71,912.82,-3.82,1.9,-8.27,0.01,0.01,0,-3.92,-11.57,54.88,-0.114,-0.765,1.82,1.2,-0.22,4.11,6.55,0,0.18,0.32,0.4,9073984,7622848,5375104,2.52,948488,40.83,44.67,-4.69,0,123.265625
20100108,1019.19,908.63,-2.88,4.78,-9.29,0,0,0,-3.03,-9.82,58.75,-0.1261,-1.036,3.1,0.12,1.05,5.97,9.91,0,0.16,0.17,0.24,9786752,8223872,6252608,2.72,1012168,33.14,43.32,-12.88,0,121.140625
20100109,1027.7,914.74,-4.41,-0.05,-8.91,0,0,0,-4.91,-11.86,56.04,-0.1052,-0.826,2.34,-2.08,0.82,4.02,6.03,0,0.03,0.88,0.88,9299200,7799040,5036288,2.58,927200,23.48,28.22,-20.97,0,118.484375
20100110,1034.7,920.65,-3.48,0.38,-7.46,0.01,0.01,0,-3.83,-11.88,52.16,-0.1031,-0.98,3.04,-2.93,0.77,5.95,10.51,0,0.58,0.71,0.87,8902400,7472000,4476736,2.47,966032,25.61,29.46,-10.49,0.12,116.203125
20100111,1035.5,920.79,-5.37,-0.96,-10.36,0.01,0.01,0,-5.9,-17.48,37.91,-0.1069,-1.139,3.8,-2.87,2.14,7.53,11.67,0,0.45,0,0.45,9479168,7945472,4949120,2.63,938024,32.87,40.79,-11.98,0.19,114.421875
20100112,1039.38,921.37,-11.4,-6.92,-17.07,0,0,0,-11.05,-26.24,28.13,-0.0844,-1.011,4.53,-4.19,1.65,9.02,16.36,0,0,0,0,11664576,9806144,9085696,3.24,1099400,10.19,24.08,-41.54,0.22,112.921875
20100113,1029.31,914.62,-9.48,-4.14,-17.09,0,0,0,-7.88,-22.47,33.87,-0.1121,-0.961,1.89,1.69,-0.17,4.75,6.73,0,0,0,0,11860800,9974272,9370880,3.29,1119552,27.05,33.45,-22.89,0,111.5625
20100114,1031.64,918.08,-4.64,2.08,-11.86,0,0,0,-5.09,-19.56,30.05,-0.1407,-1.307,3.01,-2.84,0.76,5.86,10.05,0,0,0.4,0.4,11847040,9967680,9373952,3.29,1132984,10.71,24.35,-34.24,0,110.28125
20100115,1032.68,919.62,-4.63,0.85,-11.84,0,0,0,-4.38,-18.23,33.63,-0.1497,-1.073,2.04,1.47,-0.14,4.23,5.2,0,0.02,0.11,0.12,11959360,10062720,9483520,3.32,1143712,27.55,42.57,-20.09,0,109.078125
20100116,1028.62,917.62,-1.9,5.14,-9.42,0,0,0,-3.25,-13.2,41.71,-0.1558,-1.112,1.31,1.05,0.03,3.18,6.59,0,0,0.06,0.06,11847424,9973440,9373888,3.29,1156616,32.53,39.54,-14.9,0,107.90625
20100117,1026.3,915.96,-1.52,6.05,-8.42,0,0,0,-2.26,-8.64,58.29,-0.1352,-0.939,0.91,0.1,0.15,2.65,5.04,0,0.21,0.21,0.24,11456704,9646592,8718272,3.18,1151528,34.07,38.71,-13.23,0,106.78125
20100118,1016.8,908.28,1.65,10.09,-7.41,0,0,0,0.13,-6.74,53.65,-0.15,-1.144,2.73,2.62,-0.61,5.05,8.55,0.1,0.01,0.34,0.43,11139264,9362880,7698368,3.09,1122168,30.96,35.7,-7.47,0,106.25
20100119,1020.5,910.56,2.01,6.48,-1.78,0,0,0,0.89,-3.97,64.53,-0.2044,-0.871,3.02,-1.32,1.26,5.68,11.39,0.23,0.09,0.61,0.73,11135680,9377600,8193152,3.09,1129776,29.29,35.79,-7.53,0.01,107.078125
20100120,1036.64,921.74,-4.39,-0.78,-9.02,0.13,0.13,0,-3.75,-15.12,42.9,-0.1706,-1.331,5.87,-5.71,1.21,10.65,14.4,0.01,0.43,0.72,0.85,9815040,8243456,5886400,2.73,973480,23.85,26.33,-3.65,0.11,108.109375
20100121,1040.8,924.76,-6.7,-2.61,-13.02,0,0,0,-5.56,-19.4,35.65,-0.1275,-1.342,4.32,-4.07,1.31,8.87,10.93,0,0.16,0.06,0.21,11957504,10052608,9119552,3.32,1175112,13.92,25.68,-25.06,0.08,107.734375
20100122,1042.13,925.18,-9.83,-5.48,-14.05,0,0,0,-9.16,-24.57,28.88,-0.1049,-1.146,3.15,-2.83,1.2,6,9.93,0,0.01,0.03,0.04,12629888,10604544,9655488,3.51,1204352,4.78,9.05,-41.51,0,107.375
20100123,1030.36,916.01,-8.09,-2.79,-14.1,0,0,0,-6.65,-22.47,30.39,-0.1413,-1.081,1.55,0.41,0.13,3.49,4.82,0,0.05,0.02,0.06,12704960,10678528,10104704,3.53,1234360,22.1,29.94,-14.73,0,106.640625
20100124,1033.92,919.47,-4.56,2.43,-11.6,0,0,0,-4.47,-20.7,27.06,-0.1489,-1.516,4.35,-3.95,1.66,8.4,13.21,0,0.04,0.06,0.09,12272320,10316096,9323456,3.41,1217456,14.99,22.13,-32.95,0,105.234375
20100125,1035.36,920.13,-7.72,-2.84,-12.56,0,0,0,-6.86,-24.27,25.17,-0.1306,-1.092,1.43,-0.65,-0.31,3.32,6.48,0,0,0,0,13341376,11198912,10653504,3.71,1257320,18.38,37.52,-31.48,0,103.6875
20100126,1019.8,909.02,-1.67,3.46,-11.55,0,0,0,-1.82,-16.55,31.1,-0.1831,-1.36,2.44,0.51,1.01,5.24,7.49,0.01,0.12,0.29,0.35,12575296,10566080,9544896,3.49,1255248,33.43,37.87,-5.53,0,102.234375
20100127,1022.31,911.35,-0.61,4.27,-6.1,0,0,0,-1.72,-13.21,37.9,-0.2162,-1.376,2.17,-1.64,0.58,4.54,8.07,0,0.39,0.37,0.43,13103232,11007552,10365504,3.64,1285208,34.96,42.52,-8.57,0,100.890625
20100128,1030.8,917.69,-3.05,2.47,-8.53,0,0,0,-3.34,-14.88,39.56,-0.328,-1.478,3.31,-3.17,0.72,6.19,11.31,0,0.02,0,0.02,13146816,11044224,10387584,3.65,1293512,29.55,40.93,-14.91,0,99.625
20100129,1026.79,914.04,-2.44,1.35,-8.7,0.08,0.08,0,-2.49,-14.71,38.35,-0.1515,-1.25,2.13,-1.9,0.35,4.15,7.42,0.01,0.55,0.16,0.56,10766144,9019328,6272960,2.99,1163904,32.46,39.09,-3.43,0.32,98.453125
20100130,1025.06,913.08,-2.56,3.75,-8.06,0,0,0,-2.65,-11.81,48.98,-0.2806,-1.279,2.17,-1.87,0.83,4.24,6.33,0,0,0.12,0.12,13577792,11397504,10760320,3.77,1324136,23.29,31.26,-33.27,0,97.34375
20100131,1024.17,912.43,-2.14,2.39,-7.48,0,0,0,-2.08,-15.38,35.47,-0.2228,-1.174,1.5,-0.69,0.7,3.54,5.81,0,0.19,0.6,0.63,11756800,9825216,6274496,3.27,1203512,22.48,32.03,-27.68,0.01,96.296875
20100201,1024.22,912.53,-2.37,3.25,-6.48,0,0,0,-2.38,-16.45,33.01,-0.3013,-1.566,2.04,-1.43,0.65,4.62,8.95,0,0.07,0.43,0.44,13967552,11720448,11141376,3.88,1360376,27.36,31.9,-16.82,0,95.265625
20100202,1027.15,914.61,-3.25,3.67,-9.49,0,0,0,-2.79,-16.41,35.37,-0.2342,-1.538,3,-2.7,1.19,5.53,9.82,0,0.49,0.11,0.5,12616320,10567808,8326336,3.5,1287392,29.83,33.75,-15.25,0.16,94.21875
20100203,1026.94,914.31,-3.53,2.1,-9.57,0,0,0,-3.4,-16.94,34.55,-0.1676,-1.322,1.41,-0.74,-0.52,3.4,6.14,0,0.44,0.15,0.47,13463040,11279360,9644032,3.74,1336736,36.21,46.88,-5.51,0,93.203125
20100204,1020.09,909.87,-0.98,5.74,-7.57,0,0,0,-0.98,-10.43,48.68,-0.1617,-1.275,2.17,1.77,-0.23,4.35,5.8,0,0.31,0,0.31,12885120,10795648,8694016,3.58,1302632,45.48,48.58,6.73,0.08,92.203125
20100205,1019.62,909.65,1.16,7,-4.67,0.03,0.03,0,1.32,-5.72,60.07,-0.245,-1.344,3.51,3.36,-0.53,6.87,10.57,0.17,0.12,0,0.29,13707456,11501056,10347968,3.81,1377608,44.4,48.85,-1.7,0,91.3125
20100206,1018.83,907.97,0.48,2.94,-1.53,0.15,0.15,0.01,-0.06,-4.03,71.74,-0.1864,-1.044,5.67,5.56,-0.86,10.5,18.3,0.53,0.27,0.28,0.73,8467968,7072512,4396608,2.35,950232,38.9,42.78,-5.58,0,90.53125
20100207,1016.3,906.72,1.33,5.67,-2.78,0.01,0,0,0.69,-2.63,74.91,-0.4334,-1.212,1.79,0.91,0.15,3.49,6.98,0.1,0.18,0.31,0.4,13178368,11006272,9723136,3.66,1385984,34.54,37.62,-3.75,0,89.625
20100208,1012.31,903.72,2.44,6.62,-2.68,0,0,0,2.15,-1.88,73.14,-0.5509,-1.285,1.44,0.3,-0.35,3.38,4.6,0.06,0.01,0.6,0.63,14261888,11973184,11147264,3.96,1451760,30.35,32.33,-4.74,0,89.0625
20100209,1017.72,907.56,1.26,4.05,-1.07,1.72,1.64,0.31,2.27,-2.31,77.04,-0.3839,-0.866,2.23,-0.02,-1.46,4.16,6.47,0.82,0.77,0.54,0.89,7609024,6376640,3496896,2.11,943920,24.26,27.47,3.49,0.24,91.5625
20100210,1027.1,913.97,-3.34,-0.6,-6.43,7.53,7.53,3.36,-2.88,-6.11,81.11,-0.2261,-0.587,2.24,-0.29,-1.95,4.4,7.26,0.84,0.94,0.97,1,4005184,3036672,297920,1.11,550232,16.25,18.42,-3.64,0.66,95.75
20100211,1037.68,921.94,-7.95,-4.94,-11.66,0.2,0.2,0,-6.63,-13.79,62.83,-0.2975,-1.097,2.72,-2.28,1.37,4.86,8.46,0.22,0.23,0.31,0.44,11975936,7324352,6223872,3.33,1376840,18.69,24.2,-16.22,0.12,95.09375
20100212,1035.01,919.48,-9.06,-4.6,-13.06,0,0,2.52,-8.1,-15.23,60.85,-0.2153,-1.337,2.08,-1.74,0.59,4.02,7.56,0,0.13,0.33,0.33,15714432,12249088,12363328,4.37,1547920,22.64,26.41,-31.33,0,92.40625
20100213,1027.33,914.09,-4.94,-1.31,-12.26,0.11,0.11,3.95,-4.25,-12.68,54.54,-0.1809,-1.218,2.55,-2.4,0.54,4.84,8.78,0,0.79,0.89,0.99,11882880,7694592,4087296,3.3,1340352,26.29,30.4,-8.55,0.12,90.28125
20100214,1034.41,919.06,-6.43,-3.29,-9.87,0.12,0.12,1.56,-6.58,-16.5,44.62,-0.2855,-1.436,4.05,-3.9,0.96,7.92,11.41,0.02,0.56,0.71,0.91,13736832,9167616,8365952,3.82,1478608,21.5,27.37,-14.26,0.35,88.75
20100215,1034.98,920.41,-5.95,-1.93,-9.84,0.01,0.01,1.59,-5.26,-16.3,43.74,-0.1957,-1.594,2.11,-1.97,0.41,4.29,8.01,0,0.3,0.38,0.52,16053760,12326912,12423040,4.46,1609224,25.35,32.06,-16.63,0,87.5
20100216,1033.98,919.79,-4.37,-0.04,-9.37,0,0,1.61,-3.86,-13.51,48.88,-0.2219,-1.506,3.72,-2.37,2.02,7.17,13.24,0,0.55,0.23,0.56,13781120,10516096,7280640,3.83,1479896,32.26,41.21,-13.42,0.07,86.375
20100217,1035.72,920.48,-7.32,-2.65,-12.65,0,0,2.89,-8.5,-18.6,40.05,-0.2398,-1.59,3.48,-1.77,2.27,6.54,11.98,0,0,0,0,16968512,12697792,13470080,4.71,1667304,21.99,24.72,-28.07,0,85.28125
