AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
4.74,9.71,-1.66,-1.46,4.34,1017.72,1015.39,-0.9636,-9.98,0,54.039062
4.81,11.17,0.64,0.69,4.54,1021.38,1019.03,-0.9203,-2.41,0,51.78125
5.25,9.86,1.32,2.18,5.3,1017.02,1014.69,-0.684,-1.24,0,50.210938
-0.04,4.06,-4.68,-8.67,-0.02,1026.51,1024.09,-1.2739,-37.18,0,48.976562
-2.39,-0.6,-4.91,-10.06,-0.82,1030.02,1027.57,-0.9423,-34.38,0,47.953125
-1.42,2.42,-4.26,-8.48,-1.03,1031.27,1028.83,-0.94,-16.08,0,47.140625
-0.68,1.66,-3.67,-8.65,-0.03,1030.57,1028.13,-0.9041,-6.74,0,46.390625
0.61,4.01,-2.19,-6.32,0.44,1025.56,1023.16,-0.8599,-9.33,0,45.6875
3.62,7.5,-1.04,-2.01,4.03,1025.56,1023.18,-0.8926,-6.14,3.34,45.015625
0.83,2.38,-0.34,-0.91,1.22,1028.37,1025.96,-0.6248,9.72,4.99,44.5
-1.18,1.71,-4.49,-5.84,-1.83,1031.36,1028.93,-0.7625,-18.49,0.1,44.140625
0.29,6.51,-5.4,-10.65,-0.06,1029.3,1026.88,-1.2687,-21.14,0.02,43.703125
-2.95,0.51,-5.35,-13.76,-3.32,1032.79,1030.34,-1.0042,-42.02,0,43.328125
2.48,9.54,-3.92,-5.11,1.54,1026.97,1024.61,-1.0582,-21.1,0,42.953125
2.49,5.9,-0.74,-5.91,2.26,1034.45,1032.03,-0.8163,-13.69,0,42.65625
2.03,6.74,-0.99,-2.48,1.88,1033.06,1030.67,-0.8339,-16.67,0,42.625
4.88,11.32,-0.54,1.14,4.46,1029.18,1026.82,-0.7844,-6.04,0,42.71875
8.34,14.85,1.36,4.66,8.17,1024.52,1022.2,-0.7488,-11.87,0,42.578125
13.52,18.5,7.03,9.27,12.34,1018.53,1016.27,-1.1587,7.72,10.18,42
7.44,14.55,-0.23,4.23,7.63,1023.92,1021.58,-1.1598,14.92,22.05,41.359375
0.88,3.47,-1.38,-5.87,0.85,1033.91,1031.49,-1.1356,-19.77,0,40.78125
0.85,3.64,-1.65,-7.69,0.69,1034.36,1031.95,-0.9955,-26.74,0,40.3125
1.45,5.8,-1.53,-7.92,1.05,1029.32,1026.93,-1.0874,-30.73,0,40.015625
5.02,8.39,-0.21,-1.26,5.29,1024.58,1022.21,-1.0866,3.26,0.77,39.671875
1.89,7.48,-2.87,-6.8,1.45,1033.32,1030.91,-1.4296,-36.38,0,39.28125
5.39,8.35,-1.84,-1.88,5.52,1024.32,1021.95,-1.1317,-14.43,0.11,38.75
5.45,10.18,1.53,3.04,4.87,1018.55,1016.22,-0.5602,3.63,0.06,38.375
5.45,10.81,0.62,0.56,5.19,1024.73,1022.38,-1.1697,-14.87,0,38.0625
6.79,11.36,1.17,1.95,7.09,1022.39,1020.06,-1.1398,7.03,0.74,37.890625
