AT,Tmax,Tmin,GF,DPT,RH,Evap,PET,LCC,K,runoff
-0.08,7.68,-8.92,-2.27,-11.16,43,-0.1495,-0.941,0,-2.77,119.0625
0.82,5.78,-4.76,-0.04,-8.37,50.2,-0.2907,-1.011,0,3.76,117.92969
-1.71,7.58,-12.26,-2.32,-14.34,37.48,-0.5538,-1.528,0,-23.76,117.61719
-10.46,-8.13,-13.08,-8.75,-24,31.97,-0.0939,-0.979,0,-37.1,119.9375
-7.54,-4.7,-12.97,-6.17,-20.94,33.3,-0.1291,-0.929,0,0.74,122.03125
-4,0.94,-9.67,-4.48,-14.12,45.21,-0.1386,-0.932,0,2.99,123.5
-3.82,1.9,-8.27,-3.92,-11.57,54.88,-0.114,-0.765,0,-4.69,123.265625
-2.88,4.78,-9.29,-3.03,-9.82,58.75,-0.1261,-1.036,0,-12.88,121.140625
-4.41,-0.05,-8.91,-4.91,-11.86,56.04,-0.1052,-0.826,0,-20.97,118.484375
-3.48,0.38,-7.46,-3.83,-11.88,52.16,-0.1031,-0.98,0,-10.49,116.203125
-5.37,-0.96,-10.36,-5.9,-17.48,37.91,-0.1069,-1.139,0,-11.98,114.421875
-11.4,-6.92,-17.07,-11.05,-26.24,28.13,-0.0844,-1.011,0,-41.54,112.921875
-9.48,-4.14,-17.09,-7.88,-22.47,33.87,-0.1121,-0.961,0,-22.89,111.5625
-4.64,2.08,-11.86,-5.09,-19.56,30.05,-0.1407,-1.307,0,-34.24,110.28125
-4.63,0.85,-11.84,-4.38,-18.23,33.63,-0.1497,-1.073,0,-20.09,109.078125
-1.9,5.14,-9.42,-3.25,-13.2,41.71,-0.1558,-1.112,0,-14.9,107.90625
-1.52,6.05,-8.42,-2.26,-8.64,58.29,-0.1352,-0.939,0,-13.23,106.78125
1.65,10.09,-7.41,0.13,-6.74,53.65,-0.15,-1.144,0.1,-7.47,106.25
2.01,6.48,-1.78,0.89,-3.97,64.53,-0.2044,-0.871,0.23,-7.53,107.078125
-4.39,-0.78,-9.02,-3.75,-15.12,42.9,-0.1706,-1.331,0.01,-3.65,108.109375
-6.7,-2.61,-13.02,-5.56,-19.4,35.65,-0.1275,-1.342,0,-25.06,107.734375
-9.83,-5.48,-14.05,-9.16,-24.57,28.88,-0.1049,-1.146,0,-41.51,107.375
-8.09,-2.79,-14.1,-6.65,-22.47,30.39,-0.1413,-1.081,0,-14.73,106.640625
-4.56,2.43,-11.6,-4.47,-20.7,27.06,-0.1489,-1.516,0,-32.95,105.234375
-7.72,-2.84,-12.56,-6.86,-24.27,25.17,-0.1306,-1.092,0,-31.48,103.6875
-1.67,3.46,-11.55,-1.82,-16.55,31.1,-0.1831,-1.36,0.01,-5.53,102.234375
-0.61,4.27,-6.1,-1.72,-13.21,37.9,-0.2162,-1.376,0,-8.57,100.890625
-3.05,2.47,-8.53,-3.34,-14.88,39.56,-0.328,-1.478,0,-14.91,99.625
-2.44,1.35,-8.7,-2.49,-14.71,38.35,-0.1515,-1.25,0.01,-3.43,98.453125
-2.56,3.75,-8.06,-2.65,-11.81,48.98,-0.2806,-1.279,0,-33.27,97.34375
-2.14,2.39,-7.48,-2.08,-15.38,35.47,-0.2228,-1.174,0,-27.68,96.296875
-2.37,3.25,-6.48,-2.38,-16.45,33.01,-0.3013,-1.566,0,-16.82,95.265625
-3.25,3.67,-9.49,-2.79,-16.41,35.37,-0.2342,-1.538,0,-15.25,94.21875
-3.53,2.1,-9.57,-3.4,-16.94,34.55,-0.1676,-1.322,0,-5.51,93.203125
-0.98,5.74,-7.57,-0.98,-10.43,48.68,-0.1617,-1.275,0,6.73,92.203125
1.16,7,-4.67,1.32,-5.72,60.07,-0.245,-1.344,0.17,-1.7,91.3125
0.48,2.94,-1.53,-0.06,-4.03,71.74,-0.1864,-1.044,0.53,-5.58,90.53125
1.33,5.67,-2.78,0.69,-2.63,74.91,-0.4334,-1.212,0.1,-3.75,89.625
2.44,6.62,-2.68,2.15,-1.88,73.14,-0.5509,-1.285,0.06,-4.74,89.0625
1.26,4.05,-1.07,2.27,-2.31,77.04,-0.3839,-0.866,0.82,3.49,91.5625
-3.34,-0.6,-6.43,-2.88,-6.11,81.11,-0.2261,-0.587,0.84,-3.64,95.75
-7.95,-4.94,-11.66,-6.63,-13.79,62.83,-0.2975,-1.097,0.22,-16.22,95.09375
-9.06,-4.6,-13.06,-8.1,-15.23,60.85,-0.2153,-1.337,0,-31.33,92.40625
-4.94,-1.31,-12.26,-4.25,-12.68,54.54,-0.1809,-1.218,0,-8.55,90.28125
-6.43,-3.29,-9.87,-6.58,-16.5,44.62,-0.2855,-1.436,0.02,-14.26,88.75
-5.95,-1.93,-9.84,-5.26,-16.3,43.74,-0.1957,-1.594,0,-16.63,87.5
-4.37,-0.04,-9.37,-3.86,-13.51,48.88,-0.2219,-1.506,0,-13.42,86.375
-7.32,-2.65,-12.65,-8.5,-18.6,40.05,-0.2398,-1.59,0,-28.07,85.28125
-4.74,2.38,-12.4,-5.24,-15.48,42.74,-0.2075,-1.693,0,-28.04,84.25
-1.29,6.95,-9.03,-1.39,-12.71,41.47,-0.3062,-1.747,0,-27.04,83.21875
2.55,11.37,-6.19,1.68,-7.97,45.75,-0.6758,-2.006,0,-8.46,83.03125
3.08,10.39,-2.45,1.63,-7.34,46.26,-0.7295,-1.814,0,-3.61,87.84375
6.08,15.53,-2.55,4.67,-3.12,51.65,-0.9264,-2.209,0,0.51,102.75
8.33,18.02,-0.07,5.63,-1.02,51.73,-1.1814,-2.618,0,-6.42,147.65625
6.05,13.11,-0.11,3.93,-4.48,46.78,-0.9725,-1.967,0,-4.7,287.15625
7.4,15.16,0.74,4.32,-4.84,41.47,-1.2345,-2.254,0,1.61,524.8125
7.02,12.26,1.61,5.65,1.86,69.67,-0.7131,-1.197,0.01,16.19,692.71875
7.25,15.48,1.68,7.21,0.91,64.08,-1.3519,-2.311,0.01,6.94,680.71875
1.58,3.94,-0.34,0.6,-0.3,87.33,-0.4858,-0.376,0.76,4.73,594.34375
2.53,6.64,-1.78,2.17,-2.1,71.49,-0.9673,-1.798,0.18,-7.67,517.71875
2.55,6.98,-1.49,3.07,-8.63,43.46,-1.413,-2.498,0,-30.21,457
2.87,6.48,-1.42,2.59,-1.67,72.05,-0.8574,-1.564,0.24,7.94,414.84375
-0.26,3.47,-4.62,-1.28,-7.38,58.63,-0.9293,-1.132,0.25,-2.45,384.84375
-1.23,1.22,-4.58,-0.04,-10.3,50.07,-0.7242,-1.434,0.27,-3.92,362.03125
0.69,3.32,-2.42,0.75,-3.92,71.18,-0.5801,-1.099,0.54,-3.7,334.84375
-0.48,2.86,-6.59,1.22,-5.44,69.13,-1.0809,-1.771,0.7,5.91,301
-6.56,-2.34,-10.25,-5.27,-16.64,44.56,-0.8095,-1.763,0.14,-18.49,264.28125
-6.78,-1.86,-10.66,-7.42,-19.18,36.57,-0.5813,-1.996,0,-44.87,229.5625
0.72,9.42,-8.53,-1.56,-10.44,42.99,-0.7672,-2.137,0,-17.36,199.625
7.36,16.14,-1.82,4.63,-5.26,40.28,-1.7181,-3.217,0,1.34,176.9375
7.7,14.36,1.85,6.03,-2.51,48.36,-1.545,-2.465,0,7.8,168.625
10.15,15.54,3.99,9.96,1.12,53.44,-1.942,-3.219,0.32,10.16,178.78125
4.59,9.23,-1.38,2.26,-8.27,38.71,-1.4853,-2.107,0.15,-10.94,203.96875
0.43,5.9,-3.27,0.62,-12.6,36.91,-1.4506,-2.629,0,-18.68,241.0625
7.42,16.3,-1.78,6.55,-5.43,39.59,-1.6883,-2.777,0,4.26,260.71875
6.54,12.87,1.7,5.17,-0.85,59.19,-1.1849,-1.998,0.02,12.1,254.4375
10.83,21.07,3.13,10.48,2.86,57.81,-1.9905,-3.302,0,1.2,231.40625
12.1,20.77,3.44,11.1,-7.85,24.02,-2.4987,-4.21,0,-4.7,204.375
3.9,8.46,-0.17,2.62,-12.72,28.53,-1.5737,-3.373,0,-23.51,180.40625
9.78,16.87,2.04,9.08,-5.94,32.47,-1.7181,-3.112,0,7.55,162.21875
5.75,10.12,0.58,4.69,-12.87,24.76,-1.3528,-3.006,0,-26.81,149.96875
7.33,11.32,1.7,7.6,-7.05,35.18,-1.4151,-2.729,0,-1.22,142.46875
4.36,10.06,-1.95,3.48,-13.71,25.51,-1.2876,-2.99,0,-9.25,138
1.17,7.12,-3.96,1.14,-15.72,27.09,-1.317,-3.012,0,-20.04,135.15625
5.85,13.11,-2.12,6.12,-11.42,27.65,-1.5912,-3.178,0,-5.36,133.0625
7.89,16.04,0.1,6.05,-11.95,23.05,-1.712,-3.713,0,-15.06,131.25
11.18,17.73,0.58,11.1,-6.1,29.22,-1.8787,-4.099,0,-8.94,129.5
7.97,9.31,7.15,6.74,4.99,81.48,-1.3204,-0.713,0.7,16.38,128.125
8.29,13.33,2.58,7.93,-1.4,50.45,-1.8402,-3.299,0.02,-2.11,133.65625
6.34,11.88,-0.44,6.1,-7.19,37.28,-1.1436,-2.447,0,-21.75,149.59375
3.21,9.12,-3.07,2.77,-14.66,25.58,-1.588,-3.54,0,-25.45,159.96875
5.37,11.89,-1.18,5.8,-11.67,28.02,-1.6528,-3.298,0,-9.79,158.875
11.78,18.13,4.64,10.35,-0.77,41.81,-1.8198,-4.134,0,9.28,150.3125
13.89,21.54,6.91,12.56,-5.38,25.83,-2.1094,-4.42,0,3.54,140.75
10.92,18.95,2.3,9.48,-10.98,20.3,-1.5493,-4.109,0,-20.95,134
6.77,12.69,0.54,7.51,-9.31,30.69,-1.417,-3.755,0,-14.47,130.21875
12.62,17.92,3.67,12.14,-3.43,32.51,-1.4672,-4.542,0,6.43,128.09375
15.67,22.8,8.47,15.11,0.77,36.3,-1.5851,-5.044,0,4.43,126.59375
13.12,19.01,8.05,14.58,-5.77,26.36,-1.5359,-5.095,0,7.48,125.21875
10.14,13.95,6.74,11.62,-0.98,45.9,-1.1553,-3.103,0.43,12.38,124.03125
8.06,12.37,0.83,9.01,4.1,76.06,-0.9919,-1.269,0.68,12.84,127.46875
0.37,3.79,-4.93,-0.71,-14.74,31.15,-1.4461,-3.083,0.02,-44.63,143.21875
3.16,6,-2.53,6.25,-11.7,32.64,-1.5836,-3.418,0.01,-32.12,166.78125
4.09,5.99,1.27,4.87,-2.22,63.45,-0.8844,-2.05,0.42,8.31,182.375
9.38,15.33,2.77,9.42,-2.74,42.43,-1.8417,-4.02,0,6.66,187.59375
13.62,19.23,5.75,13.77,-1.9,34.11,-2.1007,-4.177,0,10.34,179.9375
13.05,17.08,9.12,12.61,5.22,58.97,-0.8983,-2.198,0,12.65,165.375
17.48,23.88,10.21,17.11,4.47,42.11,-2.1914,-4.311,0,14.17,151.5625
15.29,19.53,11.26,16.58,7.87,61.2,-1.2909,-2.686,0.06,21.66,142.34375
12.07,15.74,8.84,11.4,9.05,81.76,-1.1716,-1.038,0.82,20.59,142.65625
7.25,10.98,3.89,4.56,3.71,78.24,-1.2502,-0.884,0.33,6.53,212
8.72,13.41,3.95,7.19,-3.43,42.15,-2.491,-4.492,0,-0.48,418.90625
12.27,18.3,5.6,11.86,-1.5,38.37,-2.6411,-4.419,0,4.31,600.6875
15.92,21.96,9.68,15.13,4.4,46.25,-2.6511,-4.762,0.05,16.98,600.8125
7.65,14.17,2.65,6.06,-3.83,43.98,-2.066,-3.679,0.05,0.89,528.84375
5.16,9.58,1.47,4.15,-9.93,32.66,-1.8339,-4.138,0,2.51,468.75
10.08,16.42,3.66,8.52,-6.03,31.6,-2.3079,-4.575,0,3.98,427.15625
8.22,13.86,1.89,7.03,-9.09,28.29,-2.0494,-4.56,0,-16.89,385.9375
12.17,19.54,5.02,10.41,-6.6,26.34,-2.3331,-4.769,0,-14.53,345.5625
13.34,22.17,5.51,12.76,-3.67,30.46,-2.3511,-4.681,0,-10.41,306.59375
20.96,28.4,10.42,19.04,0.37,25.3,-2.7703,-6.139,0,6.95,269.96875
23.01,31.9,15.67,21.53,4.01,28.96,-2.6455,-5.836,0,11.92,238.34375
20.92,30.02,15.27,20.08,10.99,52.97,-1.6349,-4.6,0,21.26,214.03125
19.07,25.84,14.22,19.99,11.6,61.88,-1.7549,-4.164,0.04,17.38,198.40625
15.15,20.3,8.69,14.67,1.89,40.7,-1.6991,-5.374,0,-1.12,197.96875
18.59,25.14,11.92,18.72,0.33,29.24,-2.2325,-5.566,0,6.69,207.59375
20.17,26.39,14.97,20.76,0.12,26.09,-2.1556,-5.847,0,5.04,212.125
20.04,27.27,10.79,20.31,-3.02,20.88,-1.5234,-5.883,0,7.5,204.6875
12.84,18.04,5.27,13.62,-9.91,19.47,-1.0481,-5.964,0,-16.1,191.375
17.1,24.72,10,17.48,-8.2,16.92,-1.4386,-6.383,0,-13.37,179.03125
20.02,27.29,12.31,21.89,-0.34,25.48,-1.4784,-6.205,0,8.96,170.21875
18.06,22.25,13.71,18.76,5.47,43.52,-0.7093,-4.976,0.04,9.6,164.5
14.33,15.53,13.38,14.05,9.79,74.13,-0.557,-1.646,0.44,20.12,160.78125
14.95,19,10.58,15.39,9.83,71.41,-0.5821,-2.707,0.47,12.34,158.625
18.39,24.51,13.59,20.4,7.27,48.26,-1.4354,-5.176,0.07,18.79,157.78125
14.58,17.56,12.48,14.22,11.69,82.8,-0.5925,-1.145,0.87,23.53,159.8125
12.98,20.7,5.94,12.94,8.7,75.23,-1.7981,-2.739,0.5,13.72,179.71875
16.01,22.61,9.45,15.56,-0.76,31.8,-2.4493,-6.342,0,5.72,221
18.59,27.28,9.91,19.18,-0.66,27.2,-2.4733,-5.757,0,-3.21,260.625
22.05,28.01,15.84,22.55,1.23,25.18,-2.1986,-6.152,0,-2.6,269.875
20.69,25.74,13.83,20.43,5.69,37.51,-1.2683,-4.702,0,15.03,255.125
22.22,28.76,15.93,23.27,4.44,31.32,-1.7573,-6.132,0,17.99,230.96875
23.07,30.48,16.26,24.85,5.01,30.93,-1.7139,-6.211,0,15.2,206.9375
25.46,32.26,19.45,26.97,3.47,24.07,-1.7092,-6.826,0,14.34,187.4375
24.64,29.95,19.17,26.92,8.65,36.16,-1.0648,-7.845,0.03,20.46,173.09375
17.83,20.29,15.59,17.94,12.72,71.97,-0.7556,-2.556,0.5,24.21,164.875
15.99,18.53,14.14,14.94,13.22,83.59,-0.9464,-1.171,0.58,20.39,186.15625
20.39,27.72,13.6,20.83,10.3,52.3,-2.4704,-5.636,0.06,18.88,268.25
21.48,28.34,14.03,22.44,6.97,39.03,-2.5577,-6.15,0,16.56,326.25
21.99,27.51,16.06,23.02,4.75,32.46,-2.234,-7.428,0,6.67,320.90625
22.9,27.1,18.56,24.7,7.68,37.58,-1.7615,-5.726,0,21.25,288.21875
22.11,28.45,15.22,23.71,9.78,45.46,-1.3459,-5.517,0,22.13,253.75
24.12,31.16,17.54,26.73,6.05,31.22,-1.6921,-7.012,0,16.43,225.78125
22.28,29.06,15.81,25.33,10.77,48.06,-1.1378,-6.313,0.01,23.42,206.1875
22.74,28.67,16.35,25.89,10.8,46.81,-0.9688,-5.922,0.01,19.47,192.625
23.11,29.26,16.1,26.93,8.09,38.15,-1.0334,-6.965,0,20.31,182.21875
23.57,28.51,18.3,26.07,8.7,38.69,-0.9178,-7.549,0,12,173.90625
20.47,25.89,15.92,22.72,11.39,55.95,-1.1818,-6.09,0.01,17.51,168.375
16.66,18.19,15.03,16.35,13.4,81.05,-1.1218,-1.267,0.1,22.17,167.34375
16.52,19.09,13.57,16.44,11.48,72.11,-1.2708,-2.861,0.25,21.29,180
20.09,26.39,14.83,20.67,10.33,53.36,-2.4786,-5.298,0.11,11.12,209.53125
23.17,30.39,15.66,24.21,10.28,44.07,-2.862,-6.798,0,10.18,245.71875
24.89,30.91,18,25.67,7.87,33.78,-2.6435,-7.752,0,9.75,255.75
25.33,31.27,17.71,27.41,7.32,31.7,-1.9437,-7.588,0,18.97,237.15625
26.59,34.23,18.47,27.98,5.13,25.28,-2.0397,-7.667,0,14.91,214.75
28.72,35.19,22.36,30.45,7.51,26.29,-2.1053,-8.522,0,21.48,197.96875
26.2,34.44,18.31,27.4,5.28,26.15,-1.5244,-7.586,0,14.5,185.96875
