SLP,SP,AT,Tmax,Tmin,GF,DPT,Evap,K,CUPE,runoff
1020.68,944.5,7.7,10.78,4.68,6.7,4.32,-1.1664,5.98,0.42,170.21094
1021.99,945.66,6.8,8.76,3,7,4.09,-0.9506,-6.5,0.75,163.59375
1017.44,941.07,6.79,9.19,2.61,6.91,4.27,-0.9737,-22.44,0.67,155.95312
1016.92,941.17,7.03,10.65,4.85,7.69,3.32,-1.2915,-1.64,0.42,148.71875
1020.84,944.92,7.2,10.92,2.85,6.18,3.69,-0.964,7.57,0.15,144.04688
1023.65,947.02,6.92,8.12,4.86,7.29,5.38,-0.5875,8.94,2.6,141.53125
1025.12,948.59,7.37,10.46,5.55,7.54,5.08,-0.7599,2.22,0.9,138.57812
1017.62,941.39,6.92,8.16,4.9,7.11,4.7,-0.7033,-4.47,1.42,135.32812
1017.85,942.23,7.77,11.17,5.19,8.07,4.37,-0.9867,2.43,1.09,131.9375
1024.15,947.97,8.04,10.61,5.17,8.55,4.5,-1.1557,10.15,4.12,129.78125
1031.28,953.94,5.66,7.62,2.07,5.27,1.07,-0.9892,3.47,0.26,132.98438
1028.34,951.47,6.84,9.77,1.95,6.1,1.63,-1.4042,3.54,0.47,142.73438
1027.34,950.66,8.03,9.98,5.31,7.26,2.73,-1.2164,3.31,0.09,151.40625
1024.44,947.65,6.91,7.98,5.64,6.76,3.52,-0.9401,5.73,0.89,152.875
1029.25,952.88,7.01,12.94,0.82,6.68,2.64,-1.4375,6.08,0,149.23438
1028.2,951.76,7.7,10.8,0.68,8.55,3.85,-1.2455,1.38,0.7,144.9375
1025.46,949.42,9.27,12.67,5.44,9.78,5.91,-1.3171,-1.06,0.26,139.46875
1018.19,942.37,8.64,9.77,7.4,9,6.52,-0.6125,-5.58,1.35,134.875
1016.76,941.2,9.17,10.92,7.87,8.74,6.52,-0.7301,-4.2,1.87,134.01562
1023.04,947.53,10.55,14.13,7.49,9.52,3.89,-0.9977,1.81,0.6,136.9375
1025.76,949.66,9.38,12.69,6.66,8.51,1.6,-1.8764,1.07,1.75,142.8125
1029.74,952.78,7.08,8.97,4.97,6.58,1.63,-1.0075,3.71,0.95,150.10938
1023.91,947.23,7.64,10.14,5.2,7.43,2.06,-1.359,-2.24,0.68,155.9375
1026.54,949.83,5.64,8.94,2.05,4.9,2.28,-0.6558,1.47,1.21,159.14062
1026.7,950.55,8.34,12.8,1.81,8.46,2.81,-1.6111,5.11,0.81,157.54688
1018.22,942.27,8.57,10.89,6.37,8.47,4.19,-1.306,4.33,4.94,152.9375
1017.08,941.96,9.75,15.44,5.24,8.67,4.43,-1.6749,4.99,0.06,147.15625
1020.7,945.18,8.96,12.51,5.7,8.69,4.46,-1.0384,6.59,0.15,142.125
1017.13,942.32,10.52,15.1,5.81,9.47,5.27,-1.4292,10.59,2.53,138.26562
1017.28,942.13,9.25,11.18,5.54,9.09,5.99,-0.7131,15.43,2.16,135.71875
1015.88,941.29,11.45,16.08,5.69,11.5,6.63,-1.9556,13.25,14.34,134.70312
1016.92,941.31,8.79,9.94,7.69,8.5,6.37,-0.6787,13.18,3.44,137.10938
1018.28,942.77,9.21,12.03,7.39,8.97,5.45,-0.9209,13.57,1.61,144.14062
1020.44,944.22,7.53,9.31,6.25,7.27,5.75,-1.0682,11.89,4.6,155.54688
1018.86,942.88,8.17,9.88,6.5,7.61,5.16,-0.9619,7.62,1.41,168.26562
1017.41,941.65,8.57,10.01,6.48,8.06,5.06,-0.8135,7.7,1.31,176.875
1016.08,940.92,10.31,14.2,7.07,9.14,5.78,-1.4723,-3.57,0.6,177.75
1012.29,937.32,11.32,13.56,8.08,10.5,7.13,-1.4741,-10.05,0.5,172.96875
1007.2,932.97,12.19,14.96,10.13,10.9,7.95,-1.4589,-5.24,0.88,166.84375
1004.06,930.2,12.49,15.33,10.13,12.06,7.59,-1.442,-0.55,1.17,165.59375
1009.17,934.84,12.02,15.66,8.99,11.97,6.87,-1.1596,6.18,7.51,172.75
1026.97,950.19,8.1,10.54,5.75,7.17,1.81,-0.8694,3.77,2.1,189.75
1025.96,949.01,6.72,9.67,3.68,7.13,0.69,-1.1704,-0.63,0.83,210
1020.44,943.46,5.01,6.88,3.55,5.23,1.7,-1.0681,0.62,9.93,219.6875
1023.86,946.71,5.38,7.42,3.77,6.14,2.78,-1.5401,3.96,6.08,217.09375
1028.64,950.81,3.86,5.01,2.87,4.29,2.05,-1.3752,1.81,19.68,211.34375
1029.64,951.89,4.12,5.33,2.64,4.65,1.18,-1.613,0.83,3.29,207.1875
1030.82,952.96,4.41,6.92,2.47,4.9,0.88,-1.5052,2.41,18.39,200.1875
1030.22,952.36,3.18,5.57,-0.75,3.29,2,-1.3382,4.41,15.94,191.6875
1023.78,946.78,5.84,8.18,-0.2,6.56,1.96,-1.6394,0.64,0.7,182.71875
1019.34,943.05,7.32,9.16,4.91,7.01,3.03,-1.2828,4.22,10.77,171.90625
1018.46,942.43,8.02,10.08,4.97,7.79,4.55,-1.3347,-0.38,0.97,163.6875
