Pre,Pre,runoff
56.42307,1.862847047,45.921875
53.852528,4.624825183,44.375
52.415802,-4.733464239,43.8125
52.001316,-4.222722166,43.648438
51.53837,4.494261331,43.351562
50.858852,14.43987477,42.773438
49.934063,5.240821722,41.820312
48.195087,42.28835479,40.828125
46.565422,-7.244146437,40.007812
45.944313,7.299334125,39.34375
45.500328,-30.29151688,38.757812
45.257423,9.64231948,38.234375
44.570904,39.78301926,37.796875
43.851414,-30.97595625,37.429688
43.735794,8.280806949,37.054688
43.481483,19.70636013,36.640625
43.444458,11.51161818,36.304688
43.354305,29.37843773,35.953125
42.521484,-0.232754022,35.523438
42.684803,-3.288751535,35.078125
42.868603,-2.63510673,34.703125
42.2474,2.720872899,34.320312
41.240456,9.96702815,34.023438
39.5549,52.7756046,33.820312
38.56403,54.51298755,33.65625
38.87322,-2.168506485,33.507812
39.30989,10.15541907,33.328125
39.496567,-4.903621101,33.3125
40.00882,-1.525521763,33.757812
40.66867,6.782710722,34.882812
41.341187,31.30423099,36.578125
42.09373,42.90055049,38.109375
43.37175,11.08643103,38.671875
44.497147,37.88658278,38.140625
44.069984,29.69669023,36.96875
43.1436,3.595030159,35.59375
42.154907,22.15417886,34.21875
41.05368,25.90318287,33.046875
40.01375,25.13168154,32.109375
38.980934,9.566205714,31.328125
37.663036,0.42219282,30.765625
36.706005,27.33688228,30.328125
36.160057,-11.86008417,29.96875
36.054626,-7.189787772,29.578125
36.260403,3.724721369,29.109375
36.612583,-1.78298714,28.859375
36.63995,23.33381897,29.609375
37.025124,2.014409711,31.6875
38.71496,9.573028942,35.59375
43.03543,-10.47122055,42.53125
50.544983,1.704209059,50.34375
58.220757,16.58781219,55.6875
63.392994,27.53192052,57.703125
65.15203,1.257380386,56.734375
64.702415,32.27865896,53.53125
62.085648,0.925615783,49.1875
57.599625,-1.609766336,44.921875
52.56572,16.28837967,41.09375
48.273468,16.44456318,37.9375
44.857998,2.894553572,35.390625
42.47233,-22.60221745,33.65625
40.98757,28.12470617,32.34375
39.24662,1.484433501,31.109375
37.63576,3.956320532,30.140625
36.300385,-4.351629383,29.375
36.03308,-6.918238231,28.78125
36.00677,0.511257701,28.46875
36.025166,-14.96323205,28.25
35.777096,-4.21099275,27.984375
35.488564,3.513492161,27.84375
35.03954,15.8618794,27.75
34.432785,7.029685005,27.625
33.98204,12.89824064,27.46875
33.559715,26.69516081,27.28125
33.740723,-13.35398618,26.78125
33.611984,1.771097754,26.03125
32.861084,-50.29495166,25.21875
32.021736,-4.437502887,24.46875
31.125284,-0.270396747,23.875
30.889122,-13.50384788,23.40625
30.734102,11.27511837,23.78125
30.998808,18.00209878,25.59375
32.76548,-7.799944537,29.5
37.170074,-12.739131,36.71875
44.662346,9.892861899,46.9375
54.2974,41.13599098,56.96875
64.606544,-48.05476076,65.09375
73.869446,17.70735082,69.96875
79.041954,-31.84986141,70.53125
79.98385,1.972107355,67.6875
76.94346,17.06007769,63.1875
72.39599,1.643071489,58.90625
67.909775,3.253674806,55.53125
64.12411,32.91434397,53.40625
61.95062,-20.13214773,53.8125
62.404106,16.93001249,56.03125
64.45777,0.96622272,58.90625
67.64542,24.18855371,60.5
69.77933,-5.091668507,59.96875
69.51441,47.63368265,57.71875
66.780876,12.21326384,55.84375
65.21099,17.35215509,56.40625
65.890656,-3.100543452,59.78125
69.14394,24.40390511,65.96875
74.68755,37.96650847,74.34375
82.825226,14.40546498,80.71875
89.95497,-3.905324296,81.4375
91.17527,-4.473965468,77.375
86.99411,27.70137234,70.9375
80.462234,-34.8300305,63.6875
73.5094,9.952514592,57.34375
66.628204,13.28224187,52.25
61.12797,-8.290701726,48.40625
57.344902,33.25043577,45.75
54.650124,-1.916986154,44.90625
54.270386,29.52772321,47
56.4326,41.66345177,53.5
62.90899,28.17618096,63.25
72.193565,54.67267271,70.8125
79.57778,5.581855722,73.59375
82.90886,25.57767774,72.71875
82.16599,-15.93393675,70.0625
79.54758,52.69548223,66.59375
75.272156,44.95134209,63.125
71.464516,12.46677324,60.28125
69.31722,-59.8797623,58.5625
68.31955,29.31076227,57.53125
66.89098,37.01873347,56.5625
65.65687,8.148182,56.125
65.34803,6.364191661,55.53125
64.68068,27.30020639,54.46875
62.779816,49.34065611,52.90625
60.651924,-0.842412134,50.9375
58.99913,-25.28748343,48.71875
57.286087,-27.38714298,46.84375
56.018196,44.66632894,46
55.40162,29.89493924,46.84375
56.006737,41.79414305,49.46875
58.3643,21.50349273,53.59375
62.973015,-4.574183543,57.875
67.83037,12.49388054,60.65625
70.54571,29.97506162,61.375
70.83973,29.20315029,60.5
69.90334,-21.64370757,58.5625
68.00231,29.83504553,56.40625
65.614174,71.89093371,54.5625
63.362164,34.35060451,52.75
61.857384,-25.93732186,52.09375
61.590385,22.24822473,53.65625
62.50395,50.38837215,57.28125
66.14519,-45.43371013,63
72.71871,17.63515979,67.5
77.281425,-17.69334906,68.21875
78.21418,30.55140697,66.03125
76.13984,35.50181588,62.53125
72.95152,54.02960211,59.9375
70.493004,72.16457205,60.53125
71.179214,59.51863885,64.90625
75.737144,-38.91914739,82.34375
94.16276,91.44714921,224.59375
244.55649,195.3222979,465.03125
498.5335,327.0235871,544
581.91455,332.4630661,497.21875
532.70685,314.4525792,421.71875
452.83124,280.368948,351.625
378.51782,237.0071886,304.125
328.1013,190.5002948,270.5625
292.54456,89.21623323,243.875
264.34848,170.2658399,224.1875
243.1559,30.36367815,206.71875
225.21712,73.70511469,193.03125
210.89705,138.7657828,185.84375
202.6014,63.86071662,184.625
201.30153,25.93012534,182.03125
198.76965,64.312385,173.46875
189.67726,116.3919424,161.375
177.04915,94.45534256,148.40625
163.78996,54.25560529,136.40625
151.22404,66.18509116,126.65625
140.39304,92.7520065,118.25
131.17795,-19.64310812,111.34375
123.996346,51.62986733,105.46875
117.58024,55.65988835,99.65625
111.40212,8.606277449,93.84375
105.65637,-44.54389795,88.0625
99.98611,41.13875019,82.90625
94.516266,94.4653821,78.03125
89.27482,10.40630778,73.65625
84.951035,15.57860875,73.28125
84.729,-4.950638493,82.0625
94.05847,142.7353561,98.3125
111.30167,118.1266437,119.28125
133.66461,112.5379457,141.25
156.80263,126.2188211,159.46875
175.53554,138.2939467,168.5625
184.60121,27.64109633,168.25
184.16008,24.69063031,162.125
177.66158,38.81866407,152.59375
167.63869,46.63007243,141.28125
155.80363,63.56349756,129.6875
143.87843,0.81098665,120.125
134.40494,112.1829605,113.1875
127.16665,97.11253441,110.46875
124.03361,117.0428501,113.46875
126.973755,60.61420061,118.96875
132.79561,22.00749745,121.4375
135.45207,120.9107204,118.75
132.73524,60.62808531,118.9375
133.14934,144.3482421,146
161.69093,85.14081821,236.03125
257.1507,130.1916965,402.375
433.00967,207.384924,517.84375
554.8481,312.1963206,527.875
565.45233,307.3511911,491.875
526.9819,276.7873375,459.75
492.51923,284.3922982,439.0625
470.60455,279.2288289,419.78125
450.3588,215.5298921,393.5625
422.9272,274.8892666,358.90625
385.85287,256.9488127,322.90625
347.26074,230.9380334,295.125
318.13574,169.9571629,277.95312
300.66235,161.9915102,288.01562
311.48776,176.4627831,339.5625
365.83594,238.8021604,391.0625
420.25238,274.6014665,399.82812
429.51984,323.8872178,373.76562
401.9778,218.9370408,332.125
358.19128,230.1834503,289.9375
313.65613,223.4291243,258.03125
280.3416,223.3617286,247.65625
269.77148,229.5329193,273.23438
297.17657,233.0422141,394.8125
425.80103,313.3593112,572.09375
612.9172,517.2676351,658.03125
703.40106,525.7746028,652.90625
697.58545,353.6366499,612.7969
654.85736,385.2062302,569
608.5568,367.0577606,530.875
568.4439,395.3608344,495.20312
530.747,358.3898057,450.70312
483.7443,347.2205212,401.92188
432.35312,337.2592168,356.78125
384.53516,267.5414776,321.5
347.02423,242.1153407,294
317.86902,118.6898883,270.35938
293.16882,228.0904837,247.59375
268.97876,135.4169212,226.85938
247.19463,169.1206677,224
244.29695,155.598663,265.40625
288.0352,206.1642892,329.45312
355.69693,259.1046759,367.60938
396.02496,255.6380436,356.71875
384.2887,237.5306187,322.5625
347.89783,206.9388184,287.10938
310.40674,206.779981,254.625
276.18866,86.92438193,229.625
249.92906,189.6207383,217.1875
236.56111,72.15739145,216.98438
236.52211,72.19036346,214.89062
234.42531,184.5635817,207.78125
226.5718,143.8063177,211.75
230.47731,44.6916494,224.70312
244.65787,158.9888464,225.14062
245.26146,138.5284796,213.34375
232.47134,88.44572644,197.71875
215.40964,193.0932658,182.45312
199.25688,152.8835333,170.75
187.03203,150.96658,163.85938
180.14857,118.6845029,160.79688
177.03236,119.1008223,161.17188
177.25287,-16.72174679,161.07812
177.37776,160.1088421,155.90625
171.72142,128.3302821,146.59375
161.77588,74.9241428,135.625
150.17625,85.94319444,124.0625
137.87883,26.89686299,112.578125
125.47155,61.18243731,101.59375
113.56001,89.35116307,91.5625
103.09711,58.83423273,82.5625
93.950874,4.986896778,75.046875
85.92701,55.81833796,68.875
78.95451,-22.89694325,63.875
73.644554,3.857216114,60.046875
69.57367,-32.58865391,57.03125
66.791145,4.725464342,54.46875
64.219406,-31.30656287,52.25
62.06246,59.9227524,51.046875
60.601257,2.729388776,50.789062
60.099415,4.564061603,51.148438
60.26647,8.761214328,51.3125
60.19988,5.714245196,50.648438
59.817905,-30.3501418,49.632812
59.379738,28.9933367,48.445312
58.186428,22.44136947,47.492188
57.303974,-18.92694337,47.773438
57.4264,61.52640782,49.820312
58.99552,0.997887155,53.140625
62.10909,-50.27435177,56.945312
66.24088,37.35857625,59.40625
69.04842,53.57213552,59.054688
68.74554,27.29685433,56.617188
65.84431,24.94587115,53.554688
62.625637,-32.01540297,50.820312
60.35228,20.00019112,49.523438
59.30986,21.63956115,49.539062
59.399467,4.470198577,50.234375
