Pre,Pre,runoff
129.00885,131.791765,122.30469
128.07503,135.4067853,121.17969
127.68526,140.9496787,120.05469
126.62873,155.8104028,118.91406
125.48697,156.3194778,117.75781
123.7125,119.6895816,116.5625
121.13272,91.4059441,115.36719
119.37785,89.4879811,114.21875
118.73847,91.92479542,113.125
117.63379,86.60184558,112.07031
116.72943,95.26141741,111
116.138626,109.1648037,109.91406
115.3105,119.632773,108.84375
114.49494,122.5769411,107.78125
113.45348,114.130936,106.72656
112.253296,112.3889951,105.671875
111.08533,117.2008656,104.60156
109.92621,105.0409114,103.484375
108.676414,101.3786771,102.375
107.81622,108.9286964,101.3125
107.02962,115.1593594,100.28906
105.83305,104.3752227,99.22656
103.42441,76.13437337,98.171875
101.234314,48.55879725,97.171875
100.46652,56.94145399,96.21875
100.43327,82.85516273,95.28906
100.557175,104.2708527,94.33594
99.660995,100.1341855,93.390625
98.694595,105.0888524,92.453125
97.40396,87.40255361,91.53125
95.227585,64.37980175,90.609375
93.49412,51.56311472,89.671875
93.2317,54.40781975,88.75
92.75403,63.78806622,87.828125
92.31276,87.35049155,86.9375
91.79667,78.44164189,86.03125
90.447815,53.67333049,85.609375
89.960915,61.0327727,86.921875
91.62651,70.63021122,89.296875
94.41992,95.12124005,89.515625
94.55403,82.54217034,87.6875
91.74986,53.42533283,85.8125
89.63072,52.36918397,84.265625
89.02634,78.45308592,82.90625
88.39223,86.11357404,81.65625
86.63815,81.14192549,80.5
85.82276,94.88474789,79.40625
85.39213,105.5176,78.59375
85.63817,142.1559683,79.984375
87.239105,133.3843508,81.125
87.32236,123.0279247,80.171875
86.02628,90.51733457,78.65625
83.45732,76.79637397,77.234375
81.98201,66.22998251,75.875
80.9658,77.83587259,74.5625
79.56897,74.37730031,73.34375
77.92086,65.04428251,72.265625
76.58881,61.9484716,71.1875
75.51015,46.77471767,70.078125
74.58248,70.24587671,69.046875
74.35768,73.50126265,70.90625
76.298355,77.01935351,87.109375
92.47281,96.69290484,112.34375
118.05696,122.3077044,127.765625
133.6729,117.6302011,133.07812
138.31706,107.5213745,133.25
138.39133,115.2508635,144.73438
149.87515,110.3377287,186.45312
191.63669,154.4245258,257.03125
261.77512,162.258465,291.4375
294.83893,153.4365226,276.6875
280.06995,146.6200706,247.8125
251.56189,128.462391,221.6875
225.75624,132.6916902,199.46875
203.49872,99.84842142,180.75
184.30907,84.58089165,165.375
169.26755,96.61771953,152.6875
157.4141,104.5945515,142.4375
148.23476,132.1017961,134.25
141.43005,181.1114296,127.46875
135.5504,185.410152,121.9375
129.38405,169.927174,116.84375
124.30889,171.9489992,113.3125
121.667725,212.5914208,112.5625
120.27064,160.4187608,116.21875
122.10087,113.1957325,117.03125
123.14197,135.2092275,115.625
122.32326,143.0813045,121.71875
128.57486,146.2605965,125.21875
132.6201,177.9414489,124.40625
132.25058,168.9590442,121.03125
128.44264,181.5870223,116.78125
124.44928,160.9956768,112.5
119.84663,168.696799,108
115.805664,170.3629986,103.46875
111.115524,145.2385873,99.4375
106.588844,140.1029486,96.0625
103.833984,173.887942,93.375
100.82587,130.6051563,91.09375
97.38462,111.8668458,89.21875
96.827484,148.5301815,87.875
96.62948,188.6516725,94.46875
103.400406,197.2894306,126.4375
133.14194,135.3750136,187.09375
191.16245,106.5843751,255.8125
259.16467,126.3646215,288.125
291.66534,142.71408,276.625
280.5221,148.1455851,254.375
259.54303,185.4259951,234.75
241.50165,208.7127441,226.4375
232.49414,166.0242729,220.15625
224.58823,125.8246728,200.65625
205.47232,134.4456791,177.125
183.62885,167.367474,154.8125
161.81718,162.4869501,136.1875
144.29884,207.360392,123.78125
133.22115,232.3262653,127.9375
136.78668,209.9836783,163
170.43881,181.5905074,215.03125
221.4905,190.5407341,241.3125
247.73387,204.3560799,237.15625
243.63998,187.5651149,220.5
226.71094,177.2275573,204.78125
211.03888,165.470277,190.25
196.73459,166.2876406,178.15625
185.4638,189.3888477,177.125
184.28488,172.5394278,185.90625
191.86194,161.2446232,193.03125
198.47995,138.056557,192.28125
196.87778,111.5783237,185.15625
188.88869,91.99235315,174.25
178.14221,85.90113518,163.09375
168.02287,106.3015829,153.75
160.01022,121.5577756,146
152.91428,141.2625321,139.1875
147.28212,195.8248191,133.75
142.48137,177.417664,129.75
137.76004,178.3321388,127.96875
136.45258,191.1958073,130.5
139.13614,203.0000931,143.59375
150.99258,148.5249005,167.4375
172.44846,111.5688841,190.15625
194.48074,99.97721889,202.46875
206.9072,110.0564118,197.875
202.55997,108.3031285,184.25
188.92653,97.26437946,169.6875
176.01277,163.0698634,157.3125
164.35359,142.0646405,147.5
152.6502,97.19148189,140.09375
144.6094,68.61722028,134.65625
138.99202,53.78804073,130.84375
134.80138,56.60247067,128.40625
133.48312,66.64557564,126.8125
132.4091,80.06172866,125.59375
131.42816,88.19129378,124.53125
130.9143,114.9224129,123.5625
130.80591,128.3698125,122.625
130.30154,142.660393,121.5625
130.3217,189.0426511,120.5625
130.38635,240.9435942,123.0625
131.83917,178.281969,160.90625
167.11688,135.1249447,251.71875
256.74127,157.3671973,327.875
333.3152,237.5039492,345.78125
351.8096,231.8509932,323.28125
328.4731,189.2058929,297.4375
302.85803,206.7210443,272.125
277.32758,174.2070065,248.5
252.28741,114.7663497,225.65625
229.70605,107.2922159,201.5625
206.44815,123.1697003,180.9375
185.49121,76.65769861,164.90625
169.31128,81.80954922,153
158.271,82.96918612,144.53125
150.52373,99.82777299,138.90625
145.51654,126.2944714,135.53125
142.23361,113.0430849,133.375
139.22156,88.27347593,131.875
136.86925,79.39516863,130.5625
135.52817,71.2005687,129.25
134.25699,64.20958181,128
133.40128,74.61431095,126.8125
133.47505,117.5386542,125.84375
133.71028,152.5051998,124.96875
133.97748,205.5238094,129.28125
138.13647,175.4002967,164.9375
172.55515,186.4114325,227.5625
235.2822,211.4670086,258.15625
265.83313,232.8254196,258.15625
266.38394,253.0595788,246.34375
254.66632,241.6616871,233.875
242.17587,247.6439703,227.34375
235.09732,193.8645277,233.78125
239.4743,160.0615103,233.0625
238.27972,148.1333339,219.15625
224.67929,139.5730916,201.625
207.71344,152.0339045,184.71875
191.5554,146.5247553,170.15625
176.93828,137.4930467,158.9375
166.1672,154.6929607,151.375
159.57771,176.5194385,149.03125
157.04446,153.3787091,153.375
160.4645,133.6699545,153.59375
160.7796,138.0578505,149.46875
156.63232,129.7358375,144.90625
151.72438,119.3939183,141.5
148.77715,147.8820035,139.09375
147.65904,195.3311276,137.53125
146.32593,180.7972078,136.4375
143.83319,128.9678848,135.3125
142.34766,134.4534938,133.8125
141.47488,142.0890787,132.3125
140.16388,149.8967303,131.09375
138.99998,144.7881489,130
137.64764,129.9657872,128.9375
136.44894,132.3828243,127.78125
136.34428,191.1667189,126.5
135.87718,195.4535963,125.78125
134.4814,173.6872626,125.53125
133.92776,158.2378844,125.03125
133.38402,159.2951183,124.359375
133.01646,168.1765312,123.09375
132.2587,192.3733827,122.015625
131.40422,195.7206629,122.140625
131.45787,201.9845089,122.5
132.107,205.8342361,122.265625
131.8857,207.9299638,122.03125
131.66881,204.5350793,121.5
130.96506,204.1540855,120.484375
129.63348,181.6876828,119.953125
128.70607,174.5092551,121.53125
130.50668,182.9196186,126.28125
134.92798,167.0589716,132.70312
141.09952,183.2791996,138.32812
146.98903,176.730819,143.42188
150.89209,133.3027085,146.875
153.19464,99.7968725,148.57812
154.43813,88.30849221,149.28125
155.73233,125.7202279,149.71875
157.83257,167.5274659,150.25
157.90508,134.407707,149.51562
155.88268,100.5506552,145.71875
151.84207,91.88781746,139.98438
146.8006,111.764785,134.1875
142.0646,153.0077109,129.53125
137.4183,132.8979073,125.734375
132.56033,97.53978988,122.359375
129.08275,113.6292374,119.25
127.202576,147.5689149,116.546875
125.395325,173.4515294,114.359375
123.06853,163.7236003,112.515625
120.58417,141.3263963,110.921875
118.671005,127.8182113,109.484375
117.53077,147.5714913,108.0625
117.28189,186.5188065,107.109375
117.47153,225.957408,109.890625
119.719894,195.9173014,119.875
128.8598,187.7840535,128.48438
137.53757,188.1138511,132.89062
141.27997,194.3840685,132.65625
140.28474,156.997546,127.421875
134.31787,127.9972641,121.390625
128.55347,133.8363713,116.765625
124.108604,126.5507728,113.4375
120.8469,133.5660121,110.90625
118.81644,144.2459338,108.90625
117.59508,178.6138192,107.578125
117.0837,205.9099452,107.96875
117.541275,194.1871414,108.90625
117.89132,179.4440112,108.671875
117.78038,217.6909581,109.625
119.79113,228.0357531,139.70312
149.57932,237.8750116,280.82812
288.35535,244.9327023,389.28125
394.29742,241.3282333,369.54688
374.8613,243.3000063,323.89062
329.96793,230.0733573,282.76562
289.00394,206.8980339,246.53125
253.16528,195.8344511,216.51562
222.86575,162.5358799,194.04688
199.87363,135.4683832,176.84375
183.34003,159.4988125,162.15625
169.87988,183.5358431,150
158.91861,218.5901671,141.89062
151.60616,228.0949777,141.25
151.28577,250.2682828,147.15625
157.60124,266.7368265,161.59375
170.96996,232.3894453,175.78125
183.6633,194.2020437,175.00781
182.95737,204.7027576,166.875
176.01074,240.298944,161.88281
171.90875,259.2507944,157.45312
167.54869,254.9415741,155.41406
165.34634,249.1478475,159.32031
168.74133,217.4286167,161.375
169.77881,213.4971509,158.52344
166.88783,205.7076088,153.25
161.63918,207.6434835,147.27344
155.47113,193.1774795,140.96094
149.26694,188.949506,135.55469
144.96759,236.8019345,140.16406
150.40344,262.2343886,225.71875
234.83731,280.1086293,429.16406
435.90448,314.3395283,651.5703
655.3222,369.5138278,827.625
829.4089,436.2896705,878.1719
879.22614,426.7586579,824.7422
824.745,348.4419506,750.85156
751.2929,351.789744,671.25
674.0748,369.3955711,592.16406
596.6278,353.4443553,520.15625
524.72766,301.6197521,457.0547
460.4319,221.0276763,404.60938
407.26074,202.8220024,359.59375
363.59094,215.4825648,321.85938
327.40674,223.984844,292.26562
298.84732,255.0783038,266.3125
273.2401,230.8786835,256.5703
262.02112,179.0826556,257.98438
262.69687,169.0315783,254
259.69257,194.870822,245.08594
251.62697,198.326246,229.34375
235.80246,203.9272468,210.73438
217.1589,183.5854463,193.33594
199.95734,188.6533081,178.39062
186.19153,207.3363494,166.33594
174.24309,199.1291135,157.71094
164.89957,179.0542086,152.09375
158.64209,149.0341892,148.28906
154.87732,167.127283,145.63281
153.3761,187.3518208,144.35156
152.11746,188.8397694,143.78906
151.46384,182.6249709,144.42188
152.47061,188.0891243,146.41406
154.23792,218.3908133,148.5625
154.70236,144.0910733,149.5
154.35236,119.3551016,147.22656
152.41843,118.0818047,144.05469
149.65079,129.4868911,141.89062
147.90733,135.7939795,142.1875
147.89218,123.7478777,142.42188
147.58841,109.3213694,139.72656
144.94153,124.0504577,137.59375
143.53537,133.4969203,136.57031
142.80219,142.4352967,136.03125
142.41446,139.9951256,135.76562
142.08862,143.5968258,135.70312
142.40924,153.7630276,136.40625
142.90721,148.6255823,137.92969
142.76741,86.02095275,138.35156
141.69855,78.26424604,136.76562
141.08171,90.17600739,134.23438
139.10709,104.2449927,131.85156
137.01279,114.5760719,129.96094
135.73434,127.0980551,128.4375
134.67923,143.0984305,127.15625
133.9404,141.7330149,126.00781
132.38782,140.3084601,124.96875
130.1196,98.97051295,124.05469
128.68164,102.1993601,123.15625
128.16776,95.76889418,122.234375
127.10315,91.51232922,121.265625
126.27161,104.7147806,120.234375
125.576035,110.5414442,119.19531
124.31699,92.12265796,118.140625
123.23767,111.395262,117.046875
123.565384,152.6236383,116.02344
123.06279,147.9722088,115.19531
122.18209,171.9423177,114.4375
121.53394,150.0524675,113.58594
119.54158,128.0714018,112.71875
118.65374,128.1225872,111.90625
117.91906,122.7676786,111.046875
116.599655,117.0477742,110.03125
115.09111,91.48088353,108.90625
113.18619,86.93506413,107.828125
112.5777,87.30454438,106.8125
112.05622,93.48682819,105.828125
110.99949,98.75678591,104.8125
110.086876,96.84751953,103.75
109.12834,108.4598813,102.703125
108.50532,120.8794829,101.71875
107.516266,113.589977,100.796875
105.435005,82.04729215,99.9375
103.66054,63.01344,99.109375
102.89592,67.18343976,98.28125
102.57486,68.81268818,97.390625
101.94813,84.19274068,96.46875
100.95781,72.89209916,95.484375
99.926384,74.39379553,94.453125
99.26268,85.07587674,93.4375
98.54492,103.6098784,92.46875
98.00537,101.4693046,91.53125
96.99042,105.1067534,90.609375
97.11024,136.435476,89.703125
97.35742,164.0918833,88.8125
96.38281,155.3789612,87.90625
95.0999,159.6527537,87.015625
94.1719,159.4857702,86.109375
92.538345,111.5068372,85.1875
90.52101,92.87600769,84.25
89.65086,98.84858404,83.3125
88.12736,81.8269852,82.40625
87.455086,93.55459973,81.515625
87.266685,104.69193,80.609375
86.34724,97.84114046,79.71875
84.63894,59.42759897,78.859375
82.77631,58.96325513,77.984375
82.86175,75.60489583,77.03125
83.4934,141.3398127,76
84.4946,189.5037691,75.0625
83.86937,188.015457,74.1875
83.09512,204.2006848,73.40625
82.6781,204.374339,72.6875
80.382065,135.5100756,71.96875
78.78873,154.0331944,71.21875
78.98802,149.3528903,70.4375
77.05681,123.2757059,69.59375
