Pre,Pre,runoff
271.56033,172.22367,253.03906
262.6389,139.2133904,246.82031
256.23184,150.1747863,239.20312
248.44438,165.9226479,230.72656
239.73271,167.2424922,224.83594
233.68547,164.6320264,219.39062
228.0648,159.3116436,215.20312
223.70934,135.2977717,221.42188
230.07683,127.2070999,231.64844
240.58557,124.4974699,231.91406
240.85718,129.643388,225.77344
234.54674,132.5771264,219.41406
227.98808,123.6233004,211.84375
220.16402,110.4791494,201.00781
209.02953,100.6440032,188.90625
196.6126,111.2737234,178.02344
185.48543,137.1289021,170.125
177.36046,130.793373,165.41406
172.52621,137.2676905,163.63281
170.6866,130.1241903,165.83594
172.91591,115.3985689,166.63281
173.74632,120.7332028,163.40625
170.43794,112.4668754,162.59375
169.52666,84.022666,164.60156
171.56172,83.33168123,165.3125
172.30327,91.43555665,162.58594
169.51564,88.29870543,156.74219
163.54156,108.1645647,152.14844
158.80199,90.22918845,147.77344
154.31923,101.8487093,143.27344
149.6869,97.51512909,140.28125
146.56262,66.44393255,141.0625
147.31549,51.95158506,142.92188
149.22795,56.15728705,140.64062
146.89156,54.80561451,136.57812
142.66273,51.4301444,131.95312
137.8651,38.37596035,126.5
132.28249,59.79665664,121.515625
127.20219,47.1182161,119.046875
124.67095,79.42765157,120.28125
126.02598,97.62492319,126.046875
131.94781,80.65117733,136.92188
143.06541,72.1543066,148.53125
155.03658,94.26747049,152.26562
158.94728,134.1359174,148.92188
155.54755,144.52127,142.5
148.94177,137.5222226,136
142.2482,124.8248056,131.45312
137.61821,141.1005846,131.70312
137.8703,129.48379,140.9375
147.32603,126.0023421,154.53125
161.33723,141.2856024,165.25
172.37823,149.2059895,170.59375
177.87596,149.2898817,170.9375
178.26677,172.8883225,175.9375
183.37794,173.4123852,184.32812
191.96523,162.8435426,187.25
194.9973,166.1751852,182.96875
190.63716,162.7401085,177.15625
184.6618,164.0281013,174.9375
182.39143,179.9751785,180.98438
188.5836,174.415709,188.82812
196.65227,193.9960977,191.90625
199.81378,181.7352534,193.5625
201.52611,169.156414,193.6875
201.68246,190.8924466,193.78125
201.80989,203.8755485,198.10938
206.28273,211.3955161,207.98438
216.42557,211.3528027,223.23438
232.11763,217.6776034,247.09375
256.664,223.239348,278.03125
288.47113,239.7930524,322
333.6954,261.0446533,349.34375
361.8655,278.4252303,352.5
