Pre,Pre,runoff
27.02019213,64.20160461,19.367188
25.93682354,68.16038056,19.203125
27.51380571,66.70351765,19.03125
27.76312803,67.70731877,18.84375
27.5992387,69.06381264,18.679688
29.45437057,68.96011906,18.492188
27.69294539,68.72737514,18.546875
28.22308236,64.52587281,19.359375
23.74734584,56.69896424,20.882812
24.46541634,57.5343297,22.109375
25.48191356,58.76086573,22.640625
27.80891009,59.25169263,23.023438
27.85561293,61.518095,23.390625
26.40177352,63.29626457,23.171875
28.041488,62.71637913,22.125
26.53663184,59.81287038,20.898438
25.02123544,62.92809571,20.078125
30.8936679,66.55130624,19.640625
29.74366034,66.898222,19.367188
26.72116781,66.9601929,19.101562
30.56762233,65.43324032,18.851562
28.45070225,61.51801974,18.59375
27.02576106,61.16863382,18.34375
28.77211737,53.71764547,18.171875
11.72257239,38.04977764,18.070312
13.39327592,37.08144854,17.945312
15.60776924,38.10529425,17.789062
16.58174197,44.48456538,17.601562
20.88753855,53.67874709,17.414062
22.24628345,56.65862716,17.226562
23.75332867,62.14410779,17.1875
24.0765787,54.18035327,17.5
18.71184814,42.61898624,17.75
13.57054182,34.57610029,17.5
11.24834243,35.88238307,17.140625
17.7163827,43.90132663,16.875
16.86334708,39.26649943,16.671875
15.77385676,33.44748971,16.484375
17.45106134,36.9041836,16.296875
22.17416851,43.36649946,16.109375
19.47270819,48.01509845,15.921875
21.90781736,57.96920173,15.765625
20.0696612,46.96180118,15.625
14.44694615,40.46546972,15.46875
18.53946432,49.37278313,15.3125
21.39354663,59.02899314,15.15625
24.9645413,65.89254391,15.015625
34.0617604,61.40271021,14.921875
23.64166462,50.40092064,14.8125
18.65724511,56.10452787,14.65625
25.34339427,63.25942467,14.59375
23.16009971,62.26767775,14.609375
27.90398024,58.63745072,14.6875
17.92883081,48.86568992,14.671875
15.78950609,53.58202574,14.5625
18.65831695,62.31060009,14.390625
21.18921065,68.00225936,14.203125
24.45851274,69.74821063,14.046875
20.1191485,67.25474393,13.90625
20.51914944,69.08426007,13.78125
20.67927599,68.63050327,13.625
