Pre,RUNOFF
43.75607754,45.92188
45.1478943,44.375
46.39994429,43.8125
56.71801792,43.64844
44.36013413,43.35156
48.64822445,42.77344
46.58517708,41.82031
27.0363361,40.82813
49.40314004,40.00781
43.51513973,39.34375
33.49995872,38.75781
40.23252126,38.23438
31.02283029,37.79688
30.04008591,37.42969
20.02740924,37.05469
18.39154086,36.64063
32.49351171,36.30469
29.73356974,35.95313
21.43094987,35.52344
39.39551639,35.07813
41.99758497,34.70313
33.76844432,34.32031
29.22442336,34.02344
14.73145352,33.82031
38.91463806,33.65625
28.03446114,33.50781
28.12955972,33.32813
31.09510167,33.3125
31.02901358,33.75781
29.20001154,34.88281
17.72701435,36.57813
20.13570549,38.10938
35.86155489,38.67188
24.94092064,38.14063
26.8702294,36.96875
28.9204891,35.59375
19.35267697,34.21875
41.71812902,33.04688
33.58311179,32.10938
34.38494505,31.32813
25.38495408,30.76563
19.33515765,30.32813
23.43480164,29.96875
25.14890306,29.57813
31.53356129,29.10938
42.29226645,28.85938
47.21299168,29.60938
42.94645423,31.6875
40.09747508,35.59375
48.01167788,42.53125
49.54030273,50.34375
56.99120193,55.6875
54.57392289,57.70313
49.85290245,56.73438
49.52199664,53.53125
50.33927704,49.1875
44.02549396,44.92188
44.5703217,41.09375
33.81860876,37.9375
30.04487297,35.39063
33.07354432,33.65625
49.44858391,32.34375
39.08380316,31.10938
9.914403688,30.14063
18.59304081,29.375
27.10288959,28.78125
39.02813137,28.46875
46.7330885,28.25
35.86757197,27.98438
37.43248763,27.84375
32.12436479,27.75
33.45902489,27.625
16.32228804,27.46875
16.8074437,27.28125
12.52643424,26.78125
31.08465212,26.03125
39.36587426,25.21875
34.64177326,24.46875
3.494341134,23.875
15.07461511,23.40625
31.5958042,23.78125
47.5906711,25.59375
44.85436526,29.5
40.75198422,36.71875
51.49787955,46.9375
40.01155171,56.96875
52.66319725,65.09375
66.45184255,69.96875
75.1242853,70.53125
77.88125198,67.6875
65.98210634,63.1875
63.15912915,58.90625
62.58540726,55.53125
55.83029454,53.40625
48.00392107,53.8125
70.34588103,56.03125
52.02574203,58.90625
59.16438502,60.5
76.44355365,59.96875
73.34743677,57.71875
63.11634476,55.84375
70.24115292,56.40625
74.19248658,59.78125
87.29848213,65.96875
76.11882559,74.34375
70.82737991,80.71875
70.30967886,81.4375
86.84574996,77.375
78.76882576,70.9375
66.56451032,63.6875
69.33842564,57.34375
94.2120777,52.25
72.05340578,48.40625
60.57291218,45.75
67.85838618,44.90625
102.5589114,47
96.25111218,53.5
76.84326243,63.25
66.63352383,70.8125
69.1450759,73.59375
70.3523746,72.71875
64.16006881,70.0625
61.30225243,66.59375
56.60249675,63.125
54.59270547,60.28125
53.71458946,58.5625
72.73144577,57.53125
71.42120857,56.5625
48.83567347,56.125
65.8282942,55.53125
60.01562366,54.46875
49.67427404,52.90625
41.87943757,50.9375
49.1162043,48.71875
49.45632964,46.84375
68.90880879,46
79.86238736,46.84375
90.08320713,49.46875
69.59874996,53.59375
71.07437912,57.875
79.51981308,60.65625
68.0908469,61.375
62.82048868,60.5
47.27936787,58.5625
61.52793148,56.40625
65.42206415,54.5625
41.64274384,52.75
39.12965702,52.09375
64.03122808,53.65625
72.23569652,57.28125
45.45447695,63
72.78855811,67.5
75.4662335,68.21875
79.12087444,66.03125
77.15435512,62.53125
85.86564843,59.9375
110.6198067,60.53125
108.1503631,64.90625
123.9658979,82.34375
154.9531629,224.59375
270.416021,465.03125
467.017379,544
515.622392,497.21875
506.566685,421.71875
443.4221168,351.625
365.308266,304.125
293.8666074,270.5625
266.3390159,243.875
262.8910664,224.1875
202.4957358,206.71875
209.4879966,193.03125
251.8183653,185.84375
185.9000148,184.625
178.6280875,182.03125
191.845338,173.46875
175.0696366,161.375
160.5803347,148.40625
157.0227592,136.40625
168.2382855,126.65625
149.9230776,118.25
117.3201342,111.34375
107.5796996,105.46875
92.34819215,99.65625
91.47099588,93.84375
105.5173171,88.0625
113.7043161,82.90625
111.9259882,78.03125
77.87301867,73.65625
97.43547287,73.28125
145.1029361,82.0625
169.9635456,98.3125
153.1629449,119.28125
174.1216539,141.25
193.8237252,159.46875
195.0829447,168.5625
199.00324,168.25
171.9269401,162.125
143.8991778,152.59375
123.677566,141.28125
110.4643712,129.6875
123.3609216,120.125
169.1195375,113.1875
172.5787343,110.46875
156.9344201,113.46875
130.482012,118.96875
135.369117,121.4375
146.4284764,118.75
138.4820939,118.9375
161.7263933,146
187.1131699,236.03125
297.968922,402.375
463.7001208,517.84375
553.959374,527.875
556.748947,491.875
522.6697484,459.75
471.4316284,439.0625
440.343414,419.78125
405.9474712,393.5625
377.3270328,358.90625
339.0386306,322.90625
305.9999979,295.125
300.3898689,277.95312
329.9493476,288.01562
329.7598818,339.5625
333.5398452,391.0625
355.5044028,399.82812
365.4386913,373.76562
337.7874339,332.125
314.9108963,289.9375
289.4554829,258.03125
304.95234,247.65625
339.5710585,273.23438
429.580365,394.8125
575.776818,572.09375
682.7788727,658.03125
693.0272236,652.90625
649.5321799,612.7969
627.1062025,569
572.2877131,530.875
519.678897,495.20312
487.1002657,450.70312
447.724801,401.92188
413.5638677,356.78125
361.5238701,321.5
322.0777297,294
293.1344304,270.35938
298.5006186,247.59375
251.8908361,226.85938
263.2729012,224
280.0121566,265.40625
313.3426008,329.45312
353.4566696,367.60938
373.3164481,356.71875
348.5472693,322.5625
301.3167642,287.10938
272.1696379,254.625
255.8770422,229.625
261.1095915,217.1875
231.7125848,216.98438
247.3019697,214.89062
252.3528764,207.78125
230.7466173,211.75
193.1012774,224.70312
209.1567805,225.14062
233.4876327,213.34375
219.2171283,197.71875
201.1803902,182.45312
185.2372834,170.75
161.8212481,163.85938
181.4317779,160.79688
184.5141043,161.17188
184.8898667,161.07812
197.5240483,155.90625
152.0772565,146.59375
136.661026,135.625
141.3218535,124.0625
127.0271036,112.57813
116.2312544,101.59375
99.41851975,91.5625
98.65347597,82.5625
