Pre,runoff
128.1673745,122.30469
113.0736005,121.17969
107.8732103,120.05469
121.3022492,118.91406
127.7301708,117.75781
123.1860191,116.5625
118.5470332,115.36719
118.6830681,114.21875
118.685281,113.125
116.6445445,112.07031
115.8301208,111
113.6155804,109.91406
110.5220465,108.84375
108.8418853,107.78125
105.250373,106.72656
104.3678196,105.67188
103.6418586,104.60156
107.7991475,103.48438
105.3445444,102.375
106.8694068,101.3125
108.515081,100.28906
99.98331774,99.22656
101.3497276,98.17188
106.404483,97.17188
100.4694726,96.21875
90.1303542,95.28906
90.51268427,94.33594
97.27252017,93.39063
94.92113253,92.45313
95.37904345,91.53125
95.77388124,90.60938
94.65902626,89.67188
92.54147958,88.75
92.10762197,87.82813
91.77805952,86.9375
95.72639465,86.03125
93.04029181,85.60938
113.7164226,86.92188
113.2793579,89.29688
116.5539865,89.51563
103.9655199,87.6875
90.6065884,85.8125
99.51665142,84.26563
96.26394876,82.90625
92.76140168,81.65625
98.12558959,80.5
95.08165899,79.40625
88.55012643,78.59375
87.32516074,79.98438
93.64601835,81.125
89.66149635,80.17188
88.91763966,78.65625
94.41334039,77.23438
87.73508263,75.875
85.82057797,74.5625
82.39474492,73.34375
84.61698231,72.26563
85.84371191,71.1875
87.07934658,70.07813
90.7487702,69.04688
86.6618773,70.90625
86.88993477,87.10938
105.6788748,112.34375
119.0759281,127.76563
128.7865709,133.07812
134.9738899,133.25
136.1558215,144.73438
145.1859159,186.45312
185.3241801,257.03125
250.5766142,291.4375
274.4395309,276.6875
266.0892045,247.8125
241.3157898,221.6875
215.6441389,199.46875
193.4437871,180.75
183.2198574,165.375
168.1070011,152.6875
161.706682,142.4375
152.2562533,134.25
131.653731,127.46875
140.8654493,121.9375
132.8202632,116.84375
114.6154926,113.3125
111.9829485,112.5625
138.6460876,116.21875
119.3326251,117.03125
119.2720428,115.625
114.9613258,121.71875
127.9826985,125.21875
124.7634781,124.40625
136.2573586,121.03125
123.9476432,116.78125
127.9974405,112.5
119.3047339,108
121.9581243,103.46875
119.5053706,99.4375
112.6091792,96.0625
99.59720329,93.375
130.4431492,91.09375
111.067736,89.21875
107.8004517,87.875
97.5117063,94.46875
123.7608826,126.4375
158.9634071,187.09375
187.8580094,255.8125
249.262213,288.125
277.4676611,276.625
272.9353757,254.375
259.8573014,234.75
245.5659352,226.4375
242.3560688,220.15625
229.3248396,200.65625
215.3807925,177.125
188.7096356,154.8125
167.5638666,136.1875
153.1633732,123.78125
174.9711749,127.9375
171.944862,163
196.0121036,215.03125
226.6365559,241.3125
252.4404573,237.15625
241.891316,220.5
228.2790229,204.78125
217.0431223,190.25
202.752173,178.15625
195.4979507,177.125
198.8155545,185.90625
182.1782741,193.03125
197.8275727,192.28125
180.8895084,185.15625
176.1258729,174.25
181.7737509,163.09375
169.4118879,153.75
159.0917556,146
153.5486217,139.1875
140.2374441,133.75
170.3162497,129.75
150.2413127,127.96875
159.9129357,130.5
159.3786849,143.59375
178.5875316,167.4375
170.2309406,190.15625
185.3397025,202.46875
198.2469876,197.875
182.3312318,184.25
176.6127867,169.6875
169.7580097,157.3125
172.9199085,147.5
140.7431088,140.09375
138.3106241,134.65625
124.4730103,130.84375
147.4608888,128.40625
140.3498746,126.8125
130.1797066,125.59375
131.1066304,124.53125
132.4097427,123.5625
127.7717777,122.625
123.0155934,121.5625
132.1964646,120.5625
183.1956009,123.0625
184.2383494,160.90625
188.878554,251.71875
254.4242675,327.875
309.1661633,345.78125
344.2730519,323.28125
305.0979893,297.4375
282.8715317,272.125
256.348618,248.5
220.028598,225.65625
204.6671266,201.5625
180.6080205,180.9375
154.7796596,164.90625
163.9583072,153
155.9498799,144.53125
152.5130251,138.90625
148.6489835,135.53125
140.3641676,133.375
135.5671354,131.875
138.6116967,130.5625
122.9732595,129.25
125.6921818,128
132.0334687,126.8125
133.1581588,125.84375
127.8205364,124.96875
139.9570466,129.28125
182.2153483,164.9375
194.8559303,227.5625
247.5474363,258.15625
269.7376322,258.15625
276.548397,246.34375
287.1246917,233.875
272.4766951,227.34375
291.1440322,233.78125
264.7723872,233.0625
246.6515413,219.15625
228.8339168,201.625
206.5243096,184.71875
184.5906182,170.15625
173.1360355,158.9375
169.3798489,151.375
168.2833813,149.03125
171.95536,153.375
167.014938,153.59375
163.5635336,149.46875
160.2375164,144.90625
154.6620763,141.5
148.8835728,139.09375
151.4500184,137.53125
171.1909136,136.4375
144.0877593,135.3125
139.9604354,133.8125
143.6177148,132.3125
142.645234,131.09375
138.4312648,130
137.3457442,128.9375
135.090046,127.78125
139.2960081,126.5
161.1152592,125.78125
142.4281983,125.53125
139.6141746,125.03125
138.5116563,124.35938
145.0925035,123.09375
149.8901985,122.01563
159.8067269,122.14063
154.9983095,122.5
167.8108353,122.26563
172.6921289,122.03125
190.947513,121.5
172.2561974,120.48438
166.1440905,119.95313
152.5334758,121.53125
155.3192769,126.28125
171.1724514,132.70312
148.8392826,138.32812
160.8559324,143.42188
157.3918813,146.875
148.8744111,148.57812
151.3919163,149.28125
151.2846064,149.71875
158.5743742,150.25
169.9721483,149.51562
150.6134228,145.71875
148.7166535,139.98438
147.3530017,134.1875
134.2235815,129.53125
136.8458522,125.73438
129.3851563,122.35938
123.4126013,119.25
127.245705,116.54688
138.0895795,114.35938
133.343535,112.51563
123.8138105,110.92188
121.5927063,109.48438
123.3655958,108.0625
140.8284072,107.10938
168.3927972,109.89063
176.2610204,119.875
139.0096133,128.48438
169.6698998,132.89062
157.0114755,132.65625
152.4563555,127.42188
137.8282216,121.39063
139.1736355,116.76563
129.8759187,113.4375
125.3207773,110.90625
126.1567742,108.90625
