Pre,runoff
269.9639973,253.03906
261.5777575,246.82031
239.0627037,239.20312
243.7676459,230.72656
232.886334,224.83594
233.5209695,219.39062
231.8502105,215.20312
232.126266,221.42188
226.2138707,231.64844
231.3467394,231.91406
232.0131478,225.77344
236.2023458,219.41406
231.3578057,211.84375
198.8847881,201.00781
189.8519824,188.90625
177.3860836,178.02344
182.238687,170.125
174.2169923,165.41406
168.3585438,163.63281
179.1815208,165.83594
174.5269874,166.63281
171.6144655,163.40625
194.2368369,162.59375
188.5260768,164.60156
168.3187488,165.3125
165.6108241,162.58594
162.7479431,156.74219
165.8765538,152.14844
162.8440709,147.77344
151.972166,143.27344
156.741422,140.28125
162.9059164,141.0625
144.431659,142.92188
140.9975786,140.64062
150.5421243,136.57812
138.5141624,131.95312
108.8283577,126.5
94.76297987,121.51563
112.4794319,119.04688
97.69280753,120.28125
126.3462462,126.04688
153.5345653,136.92188
130.9742313,148.53125
135.353436,152.26562
147.482764,148.92188
151.5164571,142.5
150.437083,136
144.4017373,131.45312
149.498349,131.70312
166.0520247,140.9375
149.4455815,154.53125
169.0346747,165.25
182.7236319,170.59375
180.3531831,170.9375
193.7868737,175.9375
193.8632411,184.32812
186.3045781,187.25
185.414004,182.96875
191.8461614,177.15625
188.808454,174.9375
191.984676,180.98438
192.8174089,188.82812
195.0206419,191.90625
204.5144908,193.5625
205.3208126,193.6875
197.444105,193.78125
203.5406928,198.10938
224.1881792,207.98438
224.2878176,223.23438
239.8944767,247.09375
277.2359773,278.03125
305.3450116,322
325.3725902,349.34375
358.1050296,352.5
354.6173863,345.53125
348.1504117,333.59375
345.4087257,320.21875
310.8453875,308.84375
338.150733,304.5625
339.8703924,309.15625
370.0002774,335.9375
375.6939786,395.59375
407.5522445,432.28125
440.1786552,434.46875
436.7503617,422.0625
407.010473,405.1875
389.6432351,382.03125
384.4666495,359.375
371.7431117,339.1875
354.0428409,333.40625
354.9604022,352.53125
364.1718602,373.28125
381.1408191,374.8125
390.9714719,367.84375
387.5164106,365
384.2906848,362.53125
374.3029364,361.3125
383.5621704,363.1875
410.4769709,376.21875
383.3434213,404.65625
450.8089104,430.6875
491.2862896,465.34375
522.4120094,526.65625
552.9272833,579.25
567.5721706,609.9375
569.2687374,602.90625
565.4381606,564.6875
541.3967178,518.78125
515.5327136,483.75
495.6073513,460.78125
480.5601808,443.6875
452.4473069,424.25
447.0772589,399.71875
440.2965592,380.96875
455.0681816,400.03125
476.622259,491.4375
518.5622344,578.9375
580.0950056,596.40625
586.6355365,577.28125
575.2591046,546.125
544.1937766,514.71875
527.9466677,490.25
499.2536809,489.59375
505.3013683,493.59375
513.8749819,506.03125
517.4546117,525.90625
535.778959,531.03125
537.8294297,526.09375
544.0789169,547.8125
564.7622216,595.125
606.8994442,604.46875
590.1504411,598.9375
617.5984562,588.375
604.0839552,578.46875
605.0349212,565.9375
584.7670642,546.78125
574.4503694,517.5625
550.3187502,491.25
532.1885783,483.625
518.5121547,512.09375
531.5691367,585
589.3420899,652.0625
644.4295528,714.15625
680.2068715,750.5625
685.5520716,717.625
671.517356,665.0625
671.1055834,639.875
690.5381569,705.15625
739.6899947,959.625
942.3410841,1207.8125
1168.443356,1207.9375
1178.407079,1143.5938
1102.547781,1057.125
1019.079657,965.375
985.9043992,910.25
940.87303,898.09375
907.8686902,882.28125
925.4004288,863.59375
923.3533589,853.1875
925.2343375,868.96875
897.9362873,896.53125
867.3299045,869.875
862.714069,825.875
838.3657303,798.96875
816.429994,783.53125
805.8744744,755.1875
776.5929276,716.5
732.9839758,705.71875
713.3229445,715.3125
706.1087783,688.6875
