Pre,runoff
15.64925536,19.36719
15.77069159,19.20313
19.49706449,19.03125
22.15247715,18.84375
22.4450007,18.67969
20.3889426,18.49219
14.43171461,18.54688
22.51386414,19.35938
22.8306112,20.88281
23.34624593,22.10938
21.88249491,22.64063
25.99403562,23.02344
25.26599372,23.39063
17.63711404,23.17188
14.14140446,22.125
13.71434132,20.89844
16.28405095,20.07813
23.43972244,19.64063
22.53459932,19.36719
17.99836823,19.10156
22.59615853,18.85156
24.43152248,18.59375
16.68807697,18.34375
20.75313619,18.17188
13.69507585,18.07031
9.041242152,17.94531
8.399655839,17.78906
7.985908542,17.60156
4.459397225,17.41406
11.0103223,17.22656
10.28900916,17.1875
20.50728892,17.5
15.46236433,17.75
11.38405125,17.5
5.934153301,17.14063
5.193433022,16.875
6.804942088,16.67188
8.497160739,16.48438
5.896082741,16.29688
5.119133456,16.10938
10.57488364,15.92188
4.08181696,15.76563
0.907573413,15.625
1.900152575,15.46875
4.139808161,15.3125
6.718548479,15.15625
15.52160389,15.01563
20.8450279,14.92188
21.6217647,14.8125
12.23810669,14.65625
17.06074348,14.59375
18.61820121,14.60938
16.99935249,14.6875
12.05235778,14.67188
4.283661753,14.5625
0.484520964,14.39063
6.082132679,14.20313
6.838267107,14.04688
9.299272007,13.90625
6.005141613,13.78125
4.025552215,13.625
8.45495554,13.51563
12.60425694,13.39063
9.152718061,13.25
13.43535495,13.4375
25.09065666,16.125
37.83086307,24.35938
35.97154565,36.60938
39.83214826,39.375
37.47276962,35.6875
36.97685189,31
29.48752294,27.21875
32.8852628,25.25
18.1187863,24.75
10.16920199,23.1875
12.3511674,20.90625
6.926741316,18.78125
13.87900092,17.375
14.26852472,16.625
6.652500485,16.03125
17.63645887,15.8125
39.93621369,16.90625
36.26596831,20.71875
24.37633788,26.25
27.25891224,27.9375
29.25270285,27.625
26.56095937,27.34375
25.46480173,27.21875
28.08348072,28.8125
35.92225756,35.9375
47.49240517,51.28125
49.545909,60.5
59.20027081,59.28125
60.5159008,56
56.98576836,53.59375
52.63135075,51.90625
53.45985909,48.5
49.33574181,44.96875
42.08435385,42.28125
37.09466699,38.75
34.20798012,35.34375
32.14145704,33.0625
29.418478,31.75
34.73102533,32.84375
48.80616262,37.5
40.89704821,41.78125
34.10874876,41.625
35.10874726,38.21875
35.37555105,34.4375
24.41270854,31.15625
20.52602317,28.5625
27.2690098,26.9375
28.4666786,26.21875
35.74483547,27.8125
52.58052213,33.5
48.87137395,40.1875
41.76562801,43.1875
40.49983504,42.25
40.84730858,40.5625
38.19452545,39.28125
34.79611714,36.96875
32.92946892,34.28125
40.13334393,34.03125
37.28819824,36.5625
29.19172355,36.53125
22.19744467,34.5
25.00634366,33.21875
25.39115733,33.34375
38.80602274,35.34375
47.64683883,41.65625
50.3767237,49.84375
47.07334127,52.25
37.9768858,51.34375
49.25903406,47.3125
48.60503497,42.40625
27.73657824,38.09375
26.85269052,34.5625
33.15694937,31.9375
33.05006406,31.5625
36.074739,38.375
40.14602231,49.6875
52.81053028,51.84375
58.09474604,52.5625
55.29227921,56.625
45.75716236,59.15625
39.41280548,55.4375
37.42250763,49.84375
32.44969577,44.6875
43.68840374,42.34375
53.88588192,48.6875
45.10862596,60.34375
53.31508472,64.34375
80.09399134,77.28125
93.55826437,110.0625
113.4336461,128.0625
128.1898569,126.625
134.0562556,125.15625
132.5333004,127.625
119.4119015,127.78125
107.561404,118.15625
97.40100038,106.9375
99.75497389,109.0625
111.9043606,168
171.6268421,298.0625
313.388466,429.125
440.1038257,506.65625
506.0921458,564.09375
539.7899029,571.46875
551.1323797,546.21875
531.8472156,520.625
489.9299008,490.0625
469.8677076,486.1875
492.3290543,555.03125
572.1506219,616.15625
637.1679126,650.25
661.5173465,629.25
628.3108944,577.21875
562.0996756,532.25
504.8323467,497.40625
508.9636576,525.15625
540.8265554,571.84375
549.5640143,549.78125
503.5854739,495.3125
446.6594343,445.5
413.4121848,404.40625
380.1519027,369.28125
348.7827535,344.15625
312.8707772,331.90625
304.1547263,332.90625
307.8223023,318.65625
301.5691864,290.9375
266.7200162,264.1875
236.9578696,239.5
216.7139648,219.21875
204.7489016,202.09375
202.0983761,190.53125
