Pre,runoff
18.10133618,45.92188
43.31767333,44.375
39.17517846,43.8125
34.85491951,43.64844
58.77306469,43.35156
57.14957397,42.77344
38.64153161,41.82031
45.34096147,40.82813
44.3189011,40.00781
35.11647938,39.34375
43.26299885,38.75781
37.70241378,38.23438
42.37574088,37.79688
51.7695676,37.42969
31.45654717,37.05469
33.20712779,36.64063
30.53232243,36.30469
41.26985148,35.95313
44.65918158,35.52344
34.01690624,35.07813
13.85020155,34.70313
26.58960992,34.32031
19.73010153,34.02344
62.91835201,33.82031
-17.94998889,33.65625
42.86423197,33.50781
54.38179762,33.32813
45.96362333,33.3125
33.19715474,33.75781
34.87138612,34.88281
29.13740295,36.57813
-12.41352752,38.10938
-14.27864309,38.67188
26.17129587,38.14063
27.35407748,36.96875
24.61894624,35.59375
24.26136806,34.21875
25.63040194,33.04688
13.65833114,32.10938
17.38451764,31.32813
31.50774217,30.76563
38.75955712,30.32813
42.19492947,29.96875
19.17490181,29.57813
30.43382194,29.10938
17.88476585,28.85938
30.02774149,29.60938
45.40316006,31.6875
59.12100225,35.59375
52.09454499,42.53125
50.95742887,50.34375
66.92250959,55.6875
67.70657973,57.70313
52.08336409,56.73438
56.15911709,53.53125
12.78566706,49.1875
33.09277015,44.92188
33.56035108,41.09375
43.15254178,37.9375
34.34693664,35.39063
34.66396884,33.65625
43.44648081,32.34375
30.65096849,31.10938
35.10779174,30.14063
35.55826335,29.375
40.78515015,28.78125
18.53162898,28.46875
30.45192856,28.25
13.89322972,27.98438
7.771605157,27.84375
38.19447301,27.75
38.3423401,27.625
31.32430453,27.46875
33.4207727,27.28125
35.96506407,26.78125
15.63731677,26.03125
22.59340862,25.21875
-14.79142409,24.46875
-2.3482818,23.875
16.29813109,23.40625
34.17680749,23.78125
65.50563832,25.59375
61.38392064,29.5
35.04316638,36.71875
29.38771543,46.9375
57.4181039,56.96875
72.56563827,65.09375
64.81202374,69.96875
76.96204146,70.53125
65.99877242,67.6875
48.33525905,63.1875
65.70677258,58.90625
49.95183511,55.53125
29.64670447,53.40625
62.80268679,53.8125
55.22364496,56.03125
63.5302873,58.90625
55.32498224,60.5
80.40627321,59.96875
52.14359024,57.71875
55.79408129,55.84375
54.94826688,56.40625
72.56257987,59.78125
70.34217438,65.96875
83.08640861,74.34375
66.43214578,80.71875
54.07451685,81.4375
58.89910188,77.375
59.76109479,70.9375
47.86108482,63.6875
66.66959857,57.34375
60.87081827,52.25
64.62912908,48.40625
42.70002015,45.75
84.92887427,44.90625
92.3368949,47
69.01854005,53.5
62.26590397,63.25
66.72094316,70.8125
96.46915631,73.59375
61.97644172,72.71875
66.067387,70.0625
43.32620583,66.59375
67.00631645,63.125
54.12628807,60.28125
51.22083929,58.5625
23.64791465,57.53125
27.88244969,56.5625
56.5907618,56.125
31.74241912,55.53125
55.37906941,54.46875
52.86926263,52.90625
56.08518355,50.9375
45.06399878,48.71875
42.83929934,46.84375
40.41999245,46
63.33401767,46.84375
55.76674405,49.46875
52.16221768,53.59375
68.46731847,57.875
29.47765019,60.65625
24.76128384,61.375
48.95510629,60.5
27.83213011,58.5625
55.56451275,56.40625
63.54192253,54.5625
42.97626257,52.75
86.75406439,52.09375
54.43742508,53.65625
30.91968679,57.28125
58.17569005,63
37.31748728,67.5
63.4020782,68.21875
60.06703473,66.03125
52.22427222,62.53125
90.30548426,59.9375
92.1513463,60.53125
82.5479747,64.90625
67.08633356,82.34375
104.9283198,224.59375
264.4873085,465.03125
462.7064947,544
480.6817878,497.21875
