Pre,runoff,
158.7246272,122.30469,
136.7432889,121.17969,
152.813296,120.05469,
171.2274105,118.91406,
144.8801181,117.75781,
150.6298218,116.5625,
147.2471137,115.36719,
160.616169,114.21875,
146.2501413,113.125,
145.5198507,112.07031,
144.2671435,111,
140.2073614,109.91406,
140.0632019,108.84375,
138.0154525,107.78125,
135.6716444,106.72656,
141.2475335,105.67188,
137.514716,104.60156,
138.2293453,103.48438,
134.6809793,102.375,
131.9307343,101.3125,
136.490975,100.28906,
122.9507831,99.22656,
170.3484704,98.17188,
143.3250341,97.17188,
144.225697,96.21875,
160.0898291,95.28906,
128.7961815,94.33594,
132.1968067,93.39063,
129.5803462,92.45313,
128.8870977,91.53125,
148.8717492,90.60938,
183.8544372,89.67188,
172.0680471,88.75,
146.729914,87.82813,
138.3526051,86.9375,
126.5216683,86.03125,
125.5569273,85.60938,
128.1211868,86.92188,
133.4825524,89.29688,
150.9225453,89.51563,
145.5088289,87.6875,
110.1133113,85.8125,
125.5007655,84.26563,
140.0203442,82.90625,
129.3726753,81.65625,
131.3434593,80.5,
128.4553728,79.40625,
133.4872829,78.59375,
145.4365621,79.98438,
165.3813011,81.125,
141.5435175,80.17188,
127.4470526,78.65625,
130.9978293,77.23438,
124.7778352,75.875,
129.7264353,74.5625,
119.5789256,73.34375,
116.1341974,72.26563,
134.2055469,71.1875,
130.6819612,70.07813,
130.3663283,69.04688,
127.1845027,70.90625,
136.5408455,87.10938,
141.6506029,112.34375,
148.7670051,127.76563,
164.0672954,133.07812,
172.7109012,133.25,
172.2441066,144.73438,
175.3670497,186.45312,
174.6042603,257.03125,
223.374125,291.4375,
246.5879764,276.6875,
232.8364093,247.8125,
230.6489049,221.6875,
218.3483726,199.46875,
201.4806401,180.75,
192.681094,165.375,
168.9545757,152.6875,
172.4094651,142.4375,
157.1680679,134.25,
157.5762473,127.46875,
175.8752373,121.9375,
177.7386635,116.84375,
173.1279322,113.3125,
215.3633458,112.5625,
181.2461816,116.21875,
