Pre,runoff
194.1889238,253.03906
179.1069498,246.82031
201.8395733,239.20312
209.280442,230.72656
191.518079,224.83594
188.1341057,219.39062
179.0425263,215.20312
196.9649195,221.42188
188.5027648,231.64844
184.997185,231.91406
195.9593485,225.77344
228.1615902,219.41406
188.3158023,211.84375
149.6992163,201.00781
126.8667625,188.90625
173.3356607,178.02344
174.6003791,170.125
142.2396706,165.41406
152.1473902,163.63281
128.5498357,165.83594
115.7447333,166.63281
173.4612988,163.40625
172.2679426,162.59375
175.9903517,164.60156
149.2983044,165.3125
134.0860025,162.58594
160.7589613,156.74219
167.065467,152.14844
134.474847,147.77344
152.9244485,143.27344
141.122915,140.28125
142.0625541,141.0625
149.703769,142.92188
151.7137043,140.64062
167.5340935,136.57812
172.7796278,131.95312
138.4306231,126.5
105.4901308,121.51563
107.9801292,119.04688
107.4581044,120.28125
133.9023586,126.04688
138.8666402,136.92188
112.5179379,148.53125
139.374952,152.26562
131.2485453,148.92188
131.2024697,142.5
117.1549736,136
110.2823149,131.45312
139.7551848,131.70312
146.1991766,140.9375
131.6769928,154.53125
159.1248433,165.25
147.200524,170.59375
180.5069053,170.9375
207.654689,175.9375
125.8141561,184.32812
125.4383114,187.25
145.5304232,182.96875
126.062004,177.15625
162.58901,174.9375
168.091388,180.98438
148.3753128,188.82812
179.3936602,191.90625
189.5910797,193.5625
167.6752546,193.6875
152.621447,193.78125
134.3727403,198.10938
169.1942935,207.98438
164.3557597,223.23438
165.1291429,247.09375
221.225084,278.03125
277.2664475,322
316.087,349.34375
333.8137916,352.5
327.5396211,345.53125
274.3732882,333.59375
251.8915569,320.21875
236.5205138,308.84375
226.6488867,304.5625
276.5535109,309.15625
280.332006,335.9375
279.0625703,395.59375
336.1286206,432.28125
373.3609936,434.46875
433.7493638,422.0625
387.7717459,405.1875
330.6036163,382.03125
289.9606944,359.375
311.3693047,339.1875
320.7018207,333.40625
275.7630139,352.53125
292.4844266,373.28125
302.106999,374.8125
298.6133221,367.84375
315.2411026,365
308.679344,362.53125
295.5432383,361.3125
303.6922989,363.1875
330.1397619,376.21875
302.2038399,404.65625
348.4173755,430.6875
383.4106148,465.34375
434.581027,526.65625
493.9459446,579.25
440.4898296,609.9375
490.4675164,602.90625
510.9870885,564.6875
428.0518504,518.78125
430.7704711,483.75
365.4916498,460.78125
359.4086379,443.6875
353.334512,424.25
379.2126131,399.71875
340.0610573,380.96875
354.1058383,400.03125
429.7893915,491.4375
436.4153542,578.9375
465.3718765,596.40625
516.7505337,577.28125
509.684632,546.125
497.8349934,514.71875
478.4806935,490.25
444.0855309,489.59375
453.1687728,493.59375
438.5445921,506.03125
425.228353,525.90625
464.1090779,531.03125
471.3457333,526.09375
459.8041974,547.8125
