Pre,runoff
49.665516,45.92188
47.32928,44.375
46.754505,43.8125
47.302464,43.64844
46.998486,43.35156
46.616253,42.77344
44.7487,41.82031
41.51226,40.82813
39.28093,40.00781
38.717854,39.34375
38.649784,38.75781
38.597095,38.23438
37.59823,37.79688
36.8187,37.42969
37.328648,37.05469
38.02951,36.64063
38.71752,36.30469
39.04358,35.95313
37.55041,35.52344
38.098186,35.07813
39.057014,34.70313
38.33399,34.32031
36.277863,34.02344
32.92931,33.82031
31.713036,33.65625
33.023838,33.50781
33.966793,33.32813
34.01803,33.3125
34.644592,33.75781
35.326447,34.88281
35.45679,36.57813
35.525417,38.10938
36.649357,38.67188
38.583317,38.14063
38.152615,36.96875
37.328526,35.59375
37.330303,34.21875
37.200535,33.04688
36.405308,32.10938
35.01457,31.32813
32.517338,30.76563
31.134224,30.32813
31.026371,29.96875
31.28645,29.57813
31.942175,29.10938
33.11191,28.85938
33.667397,29.60938
33.82159,31.6875
34.807774,35.59375
38.70363,42.53125
46.40241,50.34375
53.558422,55.6875
57.884197,57.70313
58.780796,56.73438
58.75526,53.53125
56.306583,49.1875
52.252636,44.92188
47.0787,41.09375
42.32191,37.9375
38.95349,35.39063
37.332825,33.65625
37.574192,32.34375
34.531334,31.10938
31.811352,30.14063
30.623484,29.375
31.502666,28.78125
32.22026,28.46875
32.47132,28.25
32.359287,27.98438
32.30202,27.84375
31.712898,27.75
30.285498,27.625
28.824932,27.46875
28.017662,27.28125
28.937054,26.78125
29.88638,26.03125
29.51376,25.21875
28.217367,24.46875
26.708733,23.875
27.29732,23.40625
28.010136,23.78125
28.210419,25.59375
29.254765,29.5
33.499317,36.71875
40.50593,46.9375
48.33118,56.96875
57.87117,65.09375
68.81859,69.96875
73.8223,70.53125
74.32825,67.6875
70.6437,63.1875
66.37018,58.90625
62.009956,55.53125
57.569626,53.40625
55.575138,53.8125
57.310703,56.03125
58.524353,58.90625
62.62338,60.5
64.98364,59.96875
65.187096,57.71875
61.573303,55.84375
60.56281,56.40625
61.775513,59.78125
65.33904,65.96875
68.91703,74.34375
75.11467,80.71875
83.45566,81.4375
85.3657,77.375
80.97531,70.9375
74.03611,63.6875
69.05431,57.34375
63.558346,52.25
56.590595,48.40625
52.72986,45.75
50.31164,44.90625
51.801075,47
53.45329,53.5
58.576794,63.25
66.37481,70.8125
71.9418,73.59375
75.90905,72.71875
75.13775,70.0625
73.176704,66.59375
67.48244,63.125
62.830868,60.28125
62.023876,58.5625
63.785664,57.53125
61.562645,56.5625
59.292988,56.125
59.989666,55.53125
59.040936,54.46875
55.929432,52.90625
52.989296,50.9375
52.19997,48.71875
51.121944,46.84375
51.267666,46
51.415882,46.84375
52.44816,49.46875
53.17181,53.59375
57.533123,57.875
63.026638,60.65625
65.482445,61.375
65.0442,60.5
63.333454,58.5625
61.42883,56.40625
59.094765,54.5625
55.621616,52.75
54.829227,52.09375
56.657223,53.65625
57.02684,57.28125
58.927464,63
67.76949,67.5
71.5579,68.21875
72.264885,66.03125
70.066216,62.53125
68.19133,59.9375
67.34081,60.53125
67.68936,64.90625
72.16587,82.34375
91.03599,224.59375
246.52277,465.03125
495.48657,544
575.7872,497.21875
529.7346,421.71875
452.24548,351.625
379.14377,304.125
328.55023,270.5625
293.21698,243.875
265.5948,224.1875
241.87138,206.71875
225.71355,193.03125
213.24467,185.84375
201.71355,184.625
199.92455,182.03125
197.61714,173.46875
187.72136,161.375
175.1213,148.40625
162.23604,136.40625
150.70883,126.65625
139.58423,118.25
127.86226,111.34375
119.75309,105.46875
112.48563,99.65625
106.57851,93.84375
100.93176,88.0625
95.25817,82.90625
89.846,78.03125
82.95484,73.65625
79.82111,73.28125
81.352745,82.0625
91.374306,98.3125
108.86053,119.28125
132.95222,141.25
157.38945,159.46875
176.64006,168.5625
185.05672,168.25
182.95992,162.125
174.95894,152.59375
163.75992,141.28125
151.32713,129.6875
140.47885,120.125
133.31003,113.1875
126.17489,110.46875
122.3561,113.46875
124.11489,118.96875
130.01353,121.4375
133.17924,118.75
130.03474,118.9375
131.70914,146
161.16454,236.03125
260.00378,402.375
435.50803,517.84375
552.3209,527.875
562.5917,491.875
523.97266,459.75
488.37616,439.0625
466.46442,419.78125
446.2594,393.5625
419.9499,358.90625
382.55505,322.90625
343.7038,295.125
315.92468,277.95312
301.6905,288.01562
312.95428,339.5625
365.3341,391.0625
417.6267,399.82812
426.79086,373.76562
400.4709,332.125
358.33057,289.9375
314.31348,258.03125
282.83188,247.65625
274.1861,273.23438
304.3084,394.8125
431.3733,572.09375
610.85046,658.03125
695.99634,652.90625
688.62256,612.7969
646.589,569
601.3996,530.875
563.04785,495.20312
526.68713,450.70312
481.4498,401.92188
432.049,356.78125
385.42114,321.5
348.39,294
319.26343,270.35938
295.07907,247.59375
269.31866,226.85938
248.81462,224
246.86165,265.40625
291.08325,329.45312
358.42047,367.60938
397.5503,356.71875
385.27588,322.5625
348.4698,287.10938
310.84796,254.625
276.68176,229.625
251.33272,217.1875
237.08238,216.98438
237.06345,214.89062
235.50151,207.78125
227.26848,211.75
228.88853,224.70312
243.9972,225.14062
245.4798,213.34375
231.45116,197.71875
212.17473,182.45312
195.31181,170.75
182.87386,163.85938
178.13258,160.79688
176.48042,161.17188
