Pre,runoff
19.206337,19.36719
19.070189,19.20313
19.234499,19.03125
19.256826,18.84375
19.357328,18.67969
19.282389,18.49219
18.907373,18.54688
18.663649,19.35938
19.117731,20.88281
20.94541,22.10938
22.390335,22.64063
23.085817,23.02344
23.023958,23.39063
23.16881,23.17188
22.88244,22.125
21.945812,20.89844
21.041788,20.07813
20.413366,19.64063
19.673641,19.36719
19.473404,19.10156
19.771168,18.85156
19.49592,18.59375
18.537008,18.34375
17.672295,18.17188
16.977438,18.07031
17.461191,17.94531
17.684065,17.78906
17.632639,17.60156
17.623758,17.41406
17.441149,17.22656
17.473902,17.1875
17.451525,17.5
17.22315,17.75
17.332218,17.5
16.953955,17.14063
16.986843,16.875
16.736118,16.67188
16.921328,16.48438
16.98734,16.29688
16.97874,16.10938
16.134594,15.92188
15.850868,15.76563
15.645756,15.625
15.561319,15.46875
15.807314,15.3125
15.878873,15.15625
16.095482,15.01563
16.374563,14.92188
15.292761,14.8125
14.996973,14.65625
15.316345,14.59375
14.985449,14.60938
14.97574,14.6875
14.104429,14.67188
14.334108,14.5625
14.394257,14.39063
14.206165,14.20313
14.113364,14.04688
13.724814,13.90625
13.869422,13.78125
13.7573595,13.625
13.870062,13.51563
13.510292,13.39063
13.672041,13.25
16.557327,13.4375
19.595572,16.125
21.941225,24.35938
25.192019,36.60938
36.682384,39.375
39.299603,35.6875
35.351826,31
31.449194,27.21875
28.370453,25.25
23.400505,24.75
23.210068,23.1875
22.120718,20.90625
20.168867,18.78125
20.189564,17.375
18.600151,16.625
16.047482,16.03125
17.267647,15.8125
21.040339,16.90625
20.975395,20.71875
21.280714,26.25
26.356989,27.9375
27.890627,27.625
27.807308,27.34375
28.277744,27.21875
28.472446,28.8125
30.665049,35.9375
38.611828,51.28125
51.674915,60.5
61.24165,59.28125
61.646305,56
59.456654,53.59375
55.276478,51.90625
53.312523,48.5
49.240936,44.96875
44.060528,42.28125
41.28634,38.75
37.82511,35.34375
34.42921,33.0625
32.394176,31.75
32.334393,32.84375
36.410637,37.5
39.763477,41.78125
42.977093,41.625
41.63075,38.21875
36.524387,34.4375
32.155746,31.15625
29.854046,28.5625
28.227955,26.9375
26.324505,26.21875
27.103315,27.8125
32.649868,33.5
35.183697,40.1875
39.710598,43.1875
41.769794,42.25
41.40817,40.5625
39.9607,39.28125
38.800686,36.96875
38.906223,34.28125
38.255413,34.03125
34.893307,36.5625
35.61468,36.53125
35.87328,34.5
32.959824,33.21875
32.296608,33.34375
35.610912,35.34375
39.296955,41.65625
44.225445,49.84375
49.82809,52.25
53.44063,51.34375
54.873436,47.3125
50.144535,42.40625
40.20384,38.09375
36.430264,34.5625
33.345722,31.9375
30.983053,31.5625
32.90877,38.375
38.171455,49.6875
53.236717,51.84375
55.192333,52.5625
54.87788,56.625
54.040928,59.15625
57.33436,55.4375
53.844162,49.84375
51.96359,44.6875
47.97028,42.34375
45.34084,48.6875
50.12281,60.34375
64.1207,64.34375
69.781685,77.28125
81.28312,110.0625
111.026024,128.0625
128.67976,126.625
129.42638,125.15625
127.81058,127.625
127.444954,127.78125
124.14711,118.15625
115.85234,106.9375
107.826805,109.0625
110.24638,168
168.77548,298.0625
297.50812,429.125
424.7931,506.65625
498.56857,564.09375
552.61536,571.46875
560.49066,546.21875
535.91034,520.625
508.17035,490.0625
481.3717,486.1875
479.78253,555.03125
547.2772,616.15625
607.28125,650.25
639.5591,629.25
618.04095,577.21875
566.15533,532.25
521.9653,497.40625
490.6243,525.15625
516.6086,571.84375
555.9497,549.78125
533.5724,495.3125
483.64972,445.5
437.37997,404.40625
398.453,369.28125
363.73602,344.15625
338.08334,331.90625
326.97116,332.90625
327.79593,318.65625
313.848,290.9375
286.16623,264.1875
259.49124,239.5
236.617,219.21875
217.40921,202.09375
201.2233,190.53125
191.19617,220.125
220.53503,302.125
298.81442,323.375
317.10208,290.625
285.61777,258.625
255.02579,235.40625
234.12534,216.6875
219.08636,239.0625
241.53943,346.46875
345.15305,440.53125
435.25656,494.03125
485.3715,534.15625
523.4614,510.90625
499.82413,458.4375
446.13742,411.375
398.79898,371.84375
360.29062,335.5
324.7442,301.875
295.22748,270.34375
265.75616,241.71875
238.00655,218.4375
215.27588,197.03125
194.22964,177.57812
174.201,160.26562
156.68599,144.15625
141.3867,129.71875
131.2009,116.67188
119.84438,105.45313
109.39124,96.03125
99.356926,88.26563
89.840614,80.84375
81.545456,73.6875
72.841644,66.71875
67.64937,61.10938
65.101326,57.10938
60.645763,53.5625
55.345646,51.01563
52.834015,49
51.493847,48.64063
50.809772,52.23438
54.290607,61.5
63.933857,74.25
74.84908,79.85938
79.30251,81.46875
85.21604,90.98438
96.34496,142.64062
147.37921,234.96875
233.98781,293.875
283.71725,287.5
278.50644,259.20312
254.96152,248.79688
247.01086,235.32812
233.95105,224.53125
224.24286,223.89062
223.65312,228
225.41885,223.73438
218.89403,228.10938
226.35695,251.5
250.16841,285.79688
279.1497,285.42188
278.9652,268.98438
264.73465,252.34375
246.41245,242.40625
239.34157,235.1875
233.26805,221.07812
218.39928,203.09375
199.56601,187.15625
182.28125,184.34375
176.93674,184.32812
178.32494,169.98438
163.25331,153.25
146.23315,137.90625
131.01556,124.04688
117.60546,111.5625
107.35275,100.53125
99.272446,93.96875
94.499855,90.125
90.57538,82.65625
80.790146,76.42188
77.20935,80.20313
80.07275,90.5
86.85069,92.35938
88.29928,85.46875
83.03448,77.89063
75.56707,71.23438
67.583885,65.07813
61.144424,59.48438
56.162113,54.25
51.431847,49.48438
46.74617,45.46875
43.154346,42.23438
41.59319,40.01563
39.40477,38.98438
36.57436,38.16406
36.85823,37.35156
36.95458,37.22656
34.698914,38.54688
36.130253,38.57813
36.397236,37.36719
35.532005,36.17188
34.639744,35.24219
34.10977,34.60938
33.239826,34.16406
32.370968,33.78906
31.882069,33.44531
31.496859,33.13281
31.23791,32.78125
31.252216,32.45313
31.669107,32.14063
32.338467,31.94531
35.371685,31.94531
35.40302,31.77344
32.663414,31.38281
33.05188,31.13281
35.45562,31.54688
32.370934,34.4375
35.30321,39.625
38.54938,41.22656
40.644726,39.39063
39.29325,37.02344
37.17175,35.45313
38.64957,35.60156
39.951138,40.41406
42.115894,51.8125
53.441425,56.76563
58.24657,54.41406
53.207108,50.26563
48.93397,45.76563
45.699764,42.61719
42.28796,41.82813
41.61335,41.42969
43.78374,39.79688
39.44022,37.82813
40.0946,36.92188
37.860836,38.07813
39.240757,39.19531
41.703465,38.85938
42.260975,43.00781
47.470295,54.53125
55.779682,66.29688
67.579704,82.86719
80.793686,99.96875
97.28266,95.3125
92.40461,85.63281
83.20009,76.53125
76.05674,70.53906
70.09348,66.41406
67.06026,60.45313
62.002846,54.32813
59.841755,51.14063
55.015697,55.22656
55.868576,61.21875
62.347755,58.83594
60.340046,54.66406
57.503876,60.875
61.990784,75.70313
74.163185,76.30469
76.95215,69.57031
69.95927,62.24219
60.014942,55.5
53.73824,49.61719
49.007534,44.75781
44.747173,41.14844
40.214836,38.4375
37.293575,36.14844
35.55658,34.39063
34.756947,33.22656
35.31568,32.51563
32.114246,32.05469
31.078455,31.67969
30.577702,31.35156
30.328228,31.03125
30.297075,30.72656
29.892054,30.41406
29.60517,30.09375
29.729546,29.84375
30.045658,29.59375
30.179224,29.35938
30.104956,29.375
29.519892,30.48438
29.821875,31.29688
30.557114,30.35938
31.800657,29.90625
35.97192,34.90625
38.205128,49.5625
54.92667,60.78125
65.67497,58.92188
60.092587,53.07813
53.39255,47.26563
48.866207,42.20313
42.578197,38.51563
39.12196,37.54688
37.557175,38.09375
37.65572,36.35938
35.97025,33.75
33.741966,31.65625
31.674778,30.28125
30.244917,29.40625
30.224703,28.85938
29.339533,28.46875
29.01862,28.14063
30.538727,27.84375
29.129251,27.67188
28.949589,27.79688
28.946115,29.15625
29.146551,30.625
32.405396,29.6875
30.536047,28.32813
28.677198,27.53125
28.52973,28.39063
31.182219,37.96875
41.008526,59.46875
59.75022,70.75
71.28797,67.6875
70.7837,61.21875
65.55613,55.8125
60.066048,58.75
60.245007,67.9375
68.82629,70.28125
70.58552,68.25
68.51187,62.75
63.63613,57.84375
59.378574,57.5
59.07213,63.5625
65.14006,69.46875
74.18635,69.625
72.55726,82.96875
87.41679,118.8125
119.18851,147.5
145.23015,146.53125
146.92516,133.28125
136.44823,125.5625
125.98118,133.65625
133.40985,146.46875
145.46587,144.25
143.50873,143.5
143.63068,151.3125
154.87251,156.46875
158.15659,167.9375
164.65686,174
171.67625,160.15625
159.70639,156.46875
156.92036,170.875
172.53253,191.46875
192.21756,201.0625
203.1472,195.5
193.67522,187.25
184.60623,188.03125
183.91037,185.0625
180.43167,171.03125
167.02132,158.28125
154.49744,147.6875
144.37433,136.15625
135.82472,124
125.21041,117.9375
115.1598,114.59375
112.779015,111.25
109.91167,112.28125
111.90574,113.21875
114.51565,120.5
117.54615,128.75
124.43306,121.625
117.72058,110.125
107.38659,99.15625
96.60097,89.25
88.04676,80.34375
81.689186,72.59375
74.91153,67.40625
68.40351,62.875
67.42127,59.5625
62.717796,64.375
65.246056,74.625
