Pre,runoff
28.05419116,45.92188
17.94555713,44.375
28.18641719,43.8125
37.46000771,43.64844
33.3782598,43.35156
34.49926668,42.77344
33.75586719,41.82031
33.55899918,40.82813
42.12612651,40.00781
35.94323972,39.34375
23.18783567,38.75781
27.31289432,38.23438
22.98412504,37.79688
20.52435526,37.42969
13.26038426,37.05469
14.54911015,36.64063
23.15538724,36.30469
22.20223234,35.95313
21.56351664,35.52344
25.767753,35.07813
29.79807876,34.70313
25.56854686,34.32031
18.88517361,34.02344
24.9863645,33.82031
38.63360304,33.65625
27.77115876,33.50781
22.86744035,33.32813
18.13837498,33.3125
13.08215477,33.75781
9.370368247,34.88281
2.042287157,36.57813
28.93586976,38.10938
29.62679162,38.67188
23.87485972,38.14063
24.68995436,36.96875
22.08926261,35.59375
13.99280786,34.21875
35.6530655,33.04688
28.4482901,32.10938
29.96737129,31.32813
21.73396438,30.76563
7.661458356,30.32813
20.32961483,29.96875
20.1063958,29.57813
16.61284732,29.10938
27.74872771,28.85938
30.26869592,29.60938
28.08081367,31.6875
23.06517546,35.59375
29.75204205,42.53125
35.51011014,50.34375
37.18966602,55.6875
45.74789517,57.70313
43.17340207,56.73438
40.01250469,53.53125
39.5774082,49.1875
35.4261703,44.92188
31.25658197,41.09375
25.76719894,37.9375
21.91913623,35.39063
23.47326437,33.65625
35.4743429,32.34375
23.32152995,31.10938
14.60573768,30.14063
10.82886038,29.375
15.3396046,28.78125
24.2702607,28.46875
23.77189629,28.25
17.79304149,27.98438
21.55904816,27.84375
21.28688915,27.75
18.04308248,27.625
15.44852693,27.46875
10.14798915,27.28125
9.342058635,26.78125
26.75180774,26.03125
32.59178781,25.21875
24.21319823,24.46875
7.892849747,23.875
9.285292586,23.40625
31.42430652,23.78125
33.47100363,25.59375
19.57580181,29.5
25.43004335,36.71875
32.30177428,46.9375
35.55309398,56.96875
48.58994305,65.09375
59.57552403,69.96875
66.48273131,70.53125
61.91596625,67.6875
46.54623232,63.1875
44.13224438,58.90625
43.36995427,55.53125
38.43444122,53.40625
34.89919985,53.8125
46.64831757,56.03125
37.94622716,58.90625
51.05532821,60.5
63.27465032,59.96875
61.78188413,57.71875
52.96766339,55.84375
60.81227093,56.40625
70.43706796,59.78125
73.94026259,65.96875
64.82291653,74.34375
