Pre,runoff
118.774011,122.30469
96.03116081,121.17969
94.54723716,120.05469
108.6153405,118.91406
114.0467334,117.75781
112.340493,116.5625
108.2286434,115.36719
118.2139643,114.21875
114.3218338,113.125
109.6160064,112.07031
110.0252441,111
111.2375845,109.91406
109.8173059,108.84375
103.8960967,107.78125
104.1332357,106.72656
96.50628321,105.67188
99.04118692,104.60156
103.991722,103.48438
104.8320111,102.375
100.7758904,101.3125
102.6885991,100.28906
91.54543727,99.22656
96.41575723,98.17188
108.4312365,97.17188
105.2171153,96.21875
99.05740955,95.28906
84.69056406,94.33594
93.30097092,93.39063
91.73085624,92.45313
91.99602529,91.53125
96.94621294,90.60938
102.3561609,89.67188
94.65147352,88.75
91.89680271,87.82813
91.44492115,86.9375
90.1925133,86.03125
93.8375041,85.60938
97.62447357,86.92188
106.7323564,89.29688
101.7185825,89.51563
95.93237118,87.6875
93.72696042,85.8125
94.87415908,84.26563
89.75634925,82.90625
82.18444414,81.65625
97.66429517,80.5
88.23695498,79.40625
81.94258541,78.59375
65.90032519,79.98438
77.02854188,81.125
75.14000678,80.17188
80.40036188,78.65625
88.9654523,77.23438
87.07268382,75.875
78.30742975,74.5625
84.73435712,73.34375
76.00211757,72.26563
82.50857855,71.1875
85.06840418,70.07813
89.85990945,69.04688
83.8213228,70.90625
81.82827606,87.10938
97.22254273,112.34375
111.7586273,127.76563
119.1624452,133.07812
126.9769387,133.25
131.0897076,144.73438
133.8127082,186.45312
175.37232,257.03125
233.3877326,291.4375
258.9710491,276.6875
248.3564615,247.8125
224.0359118,221.6875
207.8599633,199.46875
184.8138116,180.75
175.2559661,165.375
167.4173445,152.6875
145.5697961,142.4375
134.4519223,134.25
112.1839861,127.46875
105.6996835,121.9375
109.3117641,116.84375
89.19747322,113.3125
84.62233283,112.5625
101.7532941,116.21875
103.0019229,117.03125
108.1131501,115.625
98.98236856,121.71875
108.3887423,125.21875
108.0711156,124.40625
113.2519157,121.03125
106.3039615,116.78125
99.17545251,112.5
103.1417688,108
99.3137056,103.46875
94.22660116,99.4375
92.50305307,96.0625
83.08148301,93.375
98.42805731,91.09375
86.53269498,89.21875
72.63635366,87.875
65.80207944,94.46875
84.09855326,126.4375
124.7223041,187.09375
172.8533503,255.8125
230.5672519,288.125
262.3465305,276.625
257.5953493,254.375
243.6616398,234.75
230.842208,226.4375
217.6556586,220.15625
213.934205,200.65625
193.1890572,177.125
170.2349495,154.8125
144.398635,136.1875
136.4423873,123.78125
142.6499592,127.9375
142.6645515,163
167.6252079,215.03125
209.1774006,241.3125
217.0058877,237.15625
219.8018447,220.5
207.1710443,204.78125
197.1038994,190.25
179.9173804,178.15625
170.419882,177.125
169.0911878,185.90625
167.4411413,193.03125
169.1409514,192.28125
170.5752664,185.15625
163.4070267,174.25
163.2153913,163.09375
158.9347997,153.75
143.5163488,146
136.9020087,139.1875
117.0012712,133.75
128.8328602,129.75
123.6603611,127.96875
142.5050941,130.5
126.0653609,143.59375
150.5616708,167.4375
158.7164063,190.15625
170.092586,202.46875
177.3795956,197.875
170.304501,184.25
160.2425516,169.6875
146.4988312,157.3125
151.4171562,147.5
141.8990789,140.09375
126.6601726,134.65625
135.280297,130.84375
136.6388975,128.40625
140.3719929,126.8125
138.433606,125.59375
129.021668,124.53125
121.6658444,123.5625
111.7922057,122.625
103.946598,121.5625
106.1645967,120.5625
153.5274014,123.0625
169.313729,160.90625
163.8158368,251.71875
233.8137649,327.875
285.7964999,345.78125
314.8390461,323.28125
283.5059832,297.4375
258.6566669,272.125
242.5724631,248.5
203.7333985,225.65625
182.1498057,201.5625
168.8182949,180.9375
151.44896,164.90625
153.4722605,153
156.0190679,144.53125
142.2515508,138.90625
137.9520908,135.53125
128.9799969,133.375
137.0635294,131.875
136.4006094,130.5625
123.6055249,129.25
123.2393319,128
131.5904548,126.8125
111.4921915,125.84375
100.9701075,124.96875
112.8673941,129.28125
166.9203283,164.9375
175.8584321,227.5625
219.8217395,258.15625
239.1479342,258.15625
255.3334186,246.34375
268.2722617,233.875
261.099842,227.34375
268.6856793,233.78125
240.8023745,233.0625
220.6713238,219.15625
207.6494701,201.625
184.3116746,184.71875
166.2530787,170.15625
156.0624815,158.9375
146.5371775,151.375
140.334566,149.03125
152.7396714,153.375
154.9121238,153.59375
153.3850913,149.46875
146.520415,144.90625
139.9961626,141.5
128.6512523,139.09375
125.3051052,137.53125
148.6233052,136.4375
124.8586383,135.3125
119.8375736,133.8125
120.6650396,132.3125
124.0453157,131.09375
117.4625816,130
122.9162318,128.9375
119.6956483,127.78125
105.1376485,126.5
130.1999863,125.78125
113.1168537,125.53125
116.9828624,125.03125
116.2183466,124.35938
121.3386873,123.09375
124.1172618,122.01563
140.5370842,122.14063
124.5363132,122.5
142.8480836,122.26563
164.3382747,122.03125
179.0016441,121.5
163.0348204,120.48438
146.9060057,119.95313
130.6712013,121.53125
130.7249418,126.28125
148.3634546,132.70312
119.7471385,138.32812
135.8143072,143.42188
146.2992315,146.875
148.6022559,148.57812
152.0637413,149.28125
143.1638555,149.71875
142.9668215,150.25
159.8225594,149.51562
162.7194227,145.71875
152.313543,139.98438
144.2154129,134.1875
119.1726599,129.53125
127.9487833,125.73438
138.1347677,122.35938
118.1524787,119.25
105.7836296,116.54688
111.1855972,114.35938
113.4018373,112.51563
107.765708,110.92188
106.005198,109.48438
106.2346827,108.0625
112.3473883,107.10938
153.3439334,109.89063
146.6878475,119.875
115.4916212,128.48438
144.4653214,132.89062
142.407427,132.65625
129.9253616,127.42188
115.7864292,121.39063
118.0632837,116.76563
117.5850985,113.4375
110.0676421,110.90625
107.6577033,108.90625
122.4044147,107.57813
141.87432,107.96875
147.1038415,108.90625
145.4159938,108.67188
143.7725967,109.625
151.7114191,139.70312
170.8491962,280.82812
300.9053794,389.28125
367.9040733,369.54688
345.2135257,323.89062
309.7746801,282.76562
272.0251343,246.53125
236.1163403,216.51562
209.5912458,194.04688
185.9374326,176.84375
171.7057935,162.15625
153.7056631,150
158.0075178,141.89062
171.8170053,141.25
164.5140563,147.15625
187.3057347,161.59375
190.3883002,175.78125
184.3397582,175.00781
181.2605173,166.875
206.9929964,161.88281
206.3962818,157.45312
215.91716,155.41406
199.0004657,159.32031
199.0900509,161.375
194.8368267,158.52344
176.9635161,153.25
171.7200758,147.27344
159.7753935,140.96094
150.781486,135.55469
163.0020651,140.16406
201.6676893,225.71875
270.7601225,429.16406
470.7367072,651.5703
704.3814291,827.625
863.0129148,878.1719
928.436213,824.7422
801.9252849,750.85156
687.6146243,671.25
649.4714594,592.16406
615.3009181,520.15625
531.2224698,457.0547
438.9617903,404.60938
377.9237209,359.59375
318.8569113,321.85938
307.1650133,292.26562
299.4499937,266.3125
285.7103356,256.5703
256.4654637,257.98438
242.7600575,254
240.9899476,245.08594
241.0958035,229.34375
224.1085421,210.73438
212.2534771,193.33594
183.0388161,178.39062
169.4805949,166.33594
163.2394873,157.71094
155.613497,152.09375
149.7644585,148.28906
130.3752066,145.63281
134.1029248,144.35156
140.9728019,143.78906
132.8591173,144.42188
130.5354444,146.41406
138.1214475,148.5625
136.1859897,149.5
145.8945372,147.22656
138.350296,144.05469
138.1831629,141.89062
140.139499,142.1875
143.6670508,142.42188
144.7469376,139.72656
139.7200092,137.59375
137.543131,136.57031
131.3380821,136.03125
134.2448179,135.76562
139.3346431,135.70312
126.9136143,136.40625
135.3485924,137.92969
139.3026148,138.35156
153.6730469,136.76562
146.4888464,134.23438
139.6781351,131.85156
138.6056887,129.96094
129.6006419,128.4375
118.2229335,127.15625
107.7700697,126.00781
116.0134337,124.96875
122.22332,124.05469
127.8764149,123.15625
126.5659798,122.23438
128.3839345,121.26563
128.9540675,120.23438
121.6741722,119.19531
121.2801362,118.14063
