Pre,runoff
265.14987,253.03906
256.4438,246.82031
250.45647,239.20312
243.11223,230.72656
234.8285,224.83594
229.14592,219.39062
223.61055,215.20312
218.87743,221.42188
224.58083,231.64844
234.64595,231.91406
234.95108,225.77344
228.71623,219.41406
222.07552,211.84375
214.54616,201.00781
204.12454,188.90625
192.68294,178.02344
182.19278,170.125
174.41656,165.41406
169.99702,163.63281
168.24438,165.83594
170.31819,166.63281
171.20526,163.40625
167.41472,162.59375
165.62999,164.60156
167.51682,165.3125
168.58006,162.58594
166.22295,156.74219
160.4702,152.14844
155.87852,147.77344
151.67809,143.27344
147.1823,140.28125
143.83427,141.0625
144.06306,142.92188
146.01329,140.64062
143.74138,136.57812
139.26227,131.95312
134.69792,126.5
130.06639,121.51563
125.491066,119.04688
123.27994,120.28125
124.54394,126.04688
129.50914,136.92188
140.2253,148.53125
152.63431,152.26562
156.93565,148.92188
153.73283,142.5
147.25307,136
141.06618,131.45312
136.88551,131.70312
136.62814,140.9375
145.39934,154.53125
159.12053,165.25
169.55742,170.59375
174.98506,170.9375
175.59532,175.9375
180.41075,184.32812
188.77892,187.25
191.79861,182.96875
187.70918,177.15625
181.98262,174.9375
179.7068,180.98438
185.66043,188.82812
193.52571,191.90625
196.23032,193.5625
197.95082,193.6875
198.58398,193.78125
199.11008,198.10938
203.56049,207.98438
213.15569,223.23438
228.3892,247.09375
252.01675,278.03125
282.14975,322
325.49612,349.34375
352.85,352.5
356.0623,345.53125
349.3696,333.59375
337.81003,320.21875
324.89468,308.84375
314.24503,304.5625
310.2872,309.15625
314.86063,335.9375
340.5405,395.59375
399.11557,432.28125
435.39453,434.46875
436.79242,422.0625
424.09424,405.1875
408.03934,382.03125
385.65164,359.375
363.46454,339.1875
343.31406,333.40625
337.5577,352.53125
356.7285,373.28125
377.48453,374.8125
379.16684,367.84375
372.19403,365
369.2165,362.53125
366.91953,361.3125
366.26163,363.1875
368.36905,376.21875
381.28726,404.65625
410.24442,430.6875
436.2559,465.34375
470.09146,526.65625
529.5263,579.25
580.4285,609.9375
610.4942,602.90625
603.9962,564.6875
566.7824,518.78125
522.0362,483.75
487.46213,460.78125
464.39304,443.6875
447.28397,424.25
428.75797,399.71875
405.0894,380.96875
386.9069,400.03125
405.42438,491.4375
495.33072,578.9375
581.82855,596.40625
598.90106,577.28125
579.99664,546.125
549.15955,514.71875
518.1077,490.25
493.81454,489.59375
493.4684,493.59375
497.50323,506.03125
509.6251,525.90625
529.2702,531.03125
534.392,526.09375
529.6137,547.8125
551.20935,595.125
597.89056,604.46875
607.1192,598.9375
602.22217,588.375
591.79816,578.46875
582.2176,565.9375
569.5943,546.78125
550.79376,517.5625
522.25287,491.25
496.1816,483.625
488.0195,512.09375
515.6238,585
587.53217,652.0625
653.9364,714.15625
715.429,750.5625
751.7216,717.625
719.7106,665.0625
668.38446,639.875
643.8376,705.15625
707.8627,959.625
960.0476,1207.8125
1206.6617,1207.9375
1206.7677,1143.5938
1142.5989,1057.125
1057.287,965.375
966.8107,910.25
911.9827,898.09375
899.9063,882.28125
884.89166,863.59375
866.6165,853.1875
856.01434,868.96875
870.52606,896.53125
897.2197,869.875
871.4665,825.875
828.2669,798.96875
801.7238,783.53125
786.5363,755.1875
758.2519,716.5
719.4884,705.71875
708.04193,715.3125
717.45575,688.6875
691.51764,649.09375
651.77856,615.375
618.33246,577.625
581.48627,543.8125
548.3792,525.90625
530.5023,523.5625
528.00616,525.71875
530.03674,524.9375
528.5578,540.28125
543.34076,582.6875
585.07526,583.875
587.229,550.125
554.5959,519.03125
523.65607,505.09375
509.686,515.59375
520.23126,529.34375
533.9384,520.0625
524.99677,501
506.32727,484.9375
490.78455,473.09375
479.4768,470.5
476.97733,495.75
501.5881,556.5625
561.37714,653.71875
657.37994,674.21875
677.476,640.75
644.0269,595.53125
599.06586,550.28125
554.0927,511.28125
516.42114,480.375
486.2324,464.53125
470.44077,468.875
474.226,468.46875
473.5883,457.6875
462.94455,452.90625
458.9786,456.40625
461.98428,460.53125
466.06198,453.59375
459.36148,446.46875
451.71817,452.84375
458.04556,448.03125
453.4224,426.9375
432.49136,409.34375
415.35287,414.25
420.70694,465.46875
471.71262,522.0625
527.6075,559.6875
564.51764,601.9375
606.3586,612.34375
617.1195,591.1719
596.59827,584.8906
590.2007,605.1406
609.5422,663.5
666.8189,710.2031
713.3074,728.59375
732.09467,736.875
740.32574,727.9531
731.6441,717.125
720.90265,718.7031
722.809,738.5156
742.1837,807.875
810.8262,911.8906
914.37427,962.4844
963.94904,1015.1406
1015.8292,978.8906
980.2049,936.03125
938.05096,892.5625
893.78064,826.0156
827.8178,755.875
758.1739,685.8281
689.5671,626.375
630.96747,626.5469
631.53595,701.375
705.63556,736.4531
740.6503,720.4531
724.3999,687.9219
691.2967,662.34375
666.3776,645.8281
650.03253,644.96875
649.49054,656.4219
660.9379,661.4531
665.55194,640.21875
644.446,631.15625
636.03265,688.34375
692.8485,847.7031
850.93085,1092.5
1094.0465,1221.8281
1221.9972,1241.0156
1241.6659,1217.0938
1217.4894,1249.75
1249.223,1308.3281
1307.6031,1278
1277.5302,1381.4062
1379.7887,1544.4688
1541.6284,1548.6562
1546.4701,1479.8594
1477.8435,1390.7344
1389.3644,1287.2969
1286.8268,1175.125
1175.2664,1103.8125
1104.7688,1283.8594
1283.9518,1725.6719
1721.8666,2085.9375
2078.724,2111.6562
2104.416,1984.2969
1977.9321,1808.6719
1803.943,1638.875
1634.8827,1495.0469
1492.718,1362.6875
1361.7303,1279.1562
1278.836,1225.7344
1226.0051,1190.1406
1190.5554,1240.0938
1239.9861,1317.4844
1316.7612,1289
1288.4259,1204.2656
1203.7653,1161.8594
1160.9755,1124.75
1124.7045,1040.8281
1042.1498,963.25
965.3394,899.9922
902.66504,897.4297
899.94147,944.0781
946.3196,944.6719
946.36664,969.59375
970.663,1005.5156
1006.05206,975.6797
976.5007,908.1094
910.0123,839.75
842.5212,789.5625
793.29175,799.78125
803.331,880.8203
883.1596,1021.5625
1022.5376,1053.8203
1054.4318,1003.4297
1004.2002,938.8047
939.9383,875.77344
877.1517,847.34375
848.5109,838.91406
840.1412,798.9453
800.5749,745.0469
747.23505,691.5625
693.849,642.4219
644.3388,606.90625
608.8573,580.72656
583.2091,559.2344
562.13055,536.7031
539.8553,517.85156
520.9156,513.3125
516.21027,528.3906
531.2958,548.28125
551.2646,536.5625
539.84265,508.35156
511.91132,483.1875
486.763,467.89062
471.6866,455.08594
458.91293,444.34375
448.18793,431.20312
