Predicted Sum,runoff
120.7098454,122.30469
111.4709391,121.17969
110.608439,120.05469
115.0618732,118.91406
116.2966391,117.75781
116.17125,116.5625
115.1391417,115.36719
115.2732813,114.21875
112.1538282,113.125
108.9046078,112.07031
108.8467187,111
109.2403108,109.91406
109.6273434,108.84375
105.4593747,107.78125
107.3013265,106.72656
101.9865625,105.67188
105.1865607,104.60156
104.8159373,103.48438
102.2265625,102.375
96.205625,101.3125
98.65874825,100.28906
91.53367025,99.22656
97.5426563,98.17188
102.346875,97.17188
96.5425,96.21875
95.29390455,95.28906
92.5683609,94.33594
90.70140625,93.39063
90.56210935,92.45313
89.27726555,91.53125
92.351875,90.60938
92.57265585,89.67188
91.0107814,88.75
86.68453125,87.82813
87.6690625,86.9375
83.06304675,86.03125
87.1971094,85.60938
89.27085925,86.92188
96.8565625,89.29688
94.0805467,89.51563
94.35148485,87.6875
83.85265625,85.8125
86.7890625,84.26563
80.91195315,82.90625
78.66890625,81.65625
86.53078135,80.5
79.90265625,79.40625
78.9771875,78.59375
73.28828125,79.98438
81.80484375,81.125
81.368125,80.17188
80.81375,78.65625
77.7060156,77.23438
103.7740625,75.875
76.00921875,74.5625
80.27976575,73.34375
73.75484375,72.26563
75.1790625,71.1875
75.96031255,70.07813
74.60062495,69.04688
76.37914065,70.90625
86.99632825,87.10938
105.9355469,112.34375
121.0423438,127.76563
130.5586687,133.07812
131.5547658,133.25
138.4901593,144.73438
169.6355439,186.45312
224.0853121,257.03125
275.3357814,291.4375
273.5643749,276.6875
248.7989066,247.8125
226.0902348,221.6875
203.805157,199.46875
174.5364845,180.75
173.0310156,165.375
160.0035935,152.6875
139.3185935,142.4375
138.713203,134.25
120.6207813,127.46875
116.089375,121.9375
115.7925779,116.84375
108.8489063,113.3125
102.2026563,112.5625
111.2392185,116.21875
109.9354688,117.03125
115.1615626,115.625
112.5536718,121.71875
116.7685157,125.21875
117.1985156,124.40625
120.6477345,121.03125
114.6130466,116.78125
107.7923437,112.5
108.6164062,108
101.7310937,103.46875
102.9017189,99.4375
97.59,96.0625
91.85671875,93.375
92.211875,91.09375
94.82875,89.21875
82.55046875,87.875
85.44515625,94.46875
113.565625,126.4375
170.1782031,187.09375
223.4450779,255.8125
267.3221094,288.125
270.1756251,276.625
254.3438284,254.375
238.9479688,234.75
253.1857033,226.4375
225.764375,220.15625
207.6510151,200.65625
187.3373445,177.125
163.8533594,154.8125
137.3860143,136.1875
127.1396095,123.78125
129.3411719,127.9375
150.9792188,163
203.0258595,215.03125
228.7793744,241.3125
228.8036718,237.15625
226.6245311,220.5
211.2542176,204.78125
190.7146093,190.25
181.7367188,178.15625
186.3807812,177.125
184.5348437,185.90625
189.4059376,193.03125
187.3499998,192.28125
185.3769529,185.15625
171.8541398,174.25
163.6575778,163.09375
158.3815627,153.75
144.8535938,146
139.2824986,139.1875
132.0332033,133.75
131.0316404,129.75
127.8446875,127.96875
131.4042188,130.5
140.7630468,143.59375
162.4520315,167.4375
180.7931247,190.15625
188.5823438,202.46875
187.2325003,197.875
177.4939844,184.25
170.7649209,169.6875
152.8651566,157.3125
150.6096873,147.5
136.9672654,140.09375
133.6558594,134.65625
131.3583596,130.84375
134.8183597,128.40625
136.6342185,126.8125
130.0995316,125.59375
126.5898435,124.53125
122.5379685,123.5625
120.4089062,122.625
116.140625,121.5625
116.3514843,120.5625
136.6893739,123.0625
166.3551563,160.90625
223.1139058,251.71875
299.8179687,327.875
324.19539,345.78125
337.8165632,323.28125
295.3703904,297.4375
265.9528128,272.125
247.4667193,248.5
221.2349218,225.65625
195.1898436,201.5625
178.6496876,180.9375
162.967969,164.90625
152.141406,153
149.4523435,144.53125
137.7817187,138.90625
135.2092967,135.53125
130.5502343,133.375
132.936641,131.875
133.3650004,130.5625
127.8049221,129.25
127.6037501,128
133.5199222,126.8125
118.7972655,125.84375
112.7759375,124.96875
122.775703,129.28125
170.4075773,164.9375
201.5765639,227.5625
243.7190624,258.15625
252.0089071,258.15625
252.9009388,246.34375
242.8432031,233.875
252.8080458,227.34375
234.9903125,233.78125
225.7607032,233.0625
221.9493748,219.15625
211.7110928,201.625
187.1213281,184.71875
173.8118733,170.15625
158.6857812,158.9375
150.6910939,151.375
144.6672653,149.03125
151.7125,153.375
154.344375,153.59375
149.488125,149.46875
147.7947657,144.90625
140.8142967,141.5
134.1317971,139.09375
134.7585936,137.53125
143.8509366,136.4375
137.2553125,135.3125
126.2512498,133.8125
128.4066407,132.3125
128.1285934,131.09375
121.6259375,130
128.1084377,128.9375
129.8742178,127.78125
113.0671875,126.5
132.3568743,125.78125
121.2532032,125.53125
124.0486721,125.03125
121.3187498,124.35938
122.1638278,123.09375
127.718906,122.01563
131.7417971,122.14063
132.9432809,122.5
132.6228125,122.26563
142.9652342,122.03125
146.0485159,121.5
141.2608583,120.48438
126.0990625,119.95313
124.9482814,121.53125
127.5510157,126.28125
132.552653,132.70312
134.5018719,138.32812
141.6686752,143.42188
152.2752344,146.875
147.3717164,148.57812
153.3678124,149.28125
153.0155467,149.71875
145.1025782,150.25
166.9011686,149.51562
153.4632807,145.71875
146.3877375,139.98438
139.7314848,134.1875
130.3591401,129.53125
