pre,observed
19.55398473,19.36719
19.81117186,19.20313
19.40382821,19.03125
18.71585939,18.84375
19.87117208,18.67969
19.1149221,18.49219
19.63468745,18.54688
21.27484376,19.35938
23.88078091,20.88281
25.23765624,22.10938
23.76062495,22.64063
23.74742212,23.02344
24.41046873,23.39063
24.66226563,23.17188
21.47429685,22.125
21.19562533,20.89844
20.64062497,20.07813
20.71140618,19.64063
20.7544535,19.36719
19.48726536,19.10156
19.11421838,18.85156
20.37968748,18.59375
19.59328127,18.34375
21.88757812,18.17188
20.0042965,18.07031
20.33664028,17.94531
17.78570283,17.78906
17.50523409,17.60156
16.99726523,17.41406
16.40812467,17.22656
18.21609371,17.1875
19.14578126,17.5
20.8603125,17.75
20.01046869,17.5
17.40242178,17.14063
17.88484373,16.875
17.01773436,16.67188
16.98679687,16.48438
16.07195309,16.29688
15.9603125,16.10938
17.0725781,15.92188
16.17210922,15.76563
15.76101558,15.625
15.62921875,15.46875
15.76531239,15.3125
15.10304685,15.15625
15.13523433,15.01563
19.26226562,14.92188
17.14515622,14.8125
16.50484376,14.65625
15.15390617,14.59375
17.4026563,14.60938
17.36859368,14.6875
14.96421875,14.67188
15.28179678,14.5625
14.11171875,14.39063
14.10078125,14.20313
14.0609375,14.04688
13.97,13.90625
13.85078125,13.78125
13.79640625,13.625
13.6415625,13.51563
13.505625,13.39063
13.595625,13.25
14.47914062,13.4375
20.74273435,16.125
28.62140624,24.35938
34.83398442,36.60938
37.75015625,39.375
34.33562498,35.6875
31.29359375,31
27.50890622,27.21875
29.66085937,25.25
24.03296874,24.75
23.178125,23.1875
20.50507806,20.90625
19.15125,18.78125
18.62312503,17.375
19.0364844,16.625
15.8034375,16.03125
17.89156251,15.8125
26.11125,16.90625
25.00351565,20.71875
26.74703123,26.25
29.07015622,27.9375
29.39945317,27.625
26.45492188,27.34375
26.98749995,27.21875
29.21429679,28.8125
36.24109372,35.9375
47.94820307,51.28125
55.3475,60.5
58.46820311,59.28125
56.85476561,56
55.05015624,53.59375
50.42132804,51.90625
49.23968748,48.5
46.96382813,44.96875
38.51046871,42.28125
37.64960935,38.75
36.15171872,35.34375
33.20664062,33.0625
32.12546883,31.75
34.7023437,32.84375
42.9990625,37.5
41.38875001,41.78125
40.29960935,41.625
37.75945312,38.21875
36.11414062,34.4375
27.42601556,31.15625
26.22421875,28.5625
25.97515625,26.9375
26.14492187,26.21875
32.98578124,27.8125
39.16109375,33.5
41.13703123,40.1875
42.61921875,43.1875
44.84273437,42.25
41.05078123,40.5625
40.63062498,39.28125
36.33492186,36.96875
35.02875,34.28125
35.36210933,34.03125
38.41539056,36.5625
34.09648437,36.53125
33.15484374,34.5
32.76898443,33.21875
33.42976561,33.34375
33.35421867,35.34375
43.05210938,41.65625
50.06210938,49.84375
50.56703119,52.25
46.41062496,51.34375
47.46828122,47.3125
43.7453125,42.40625
35.83234372,38.09375
32.8469531,34.5625
32.48828125,31.9375
32.468125,31.5625
38.05992185,38.375
44.32156251,49.6875
51.93125006,51.84375
54.05867178,52.5625
54.175,56.625
53.14679689,59.15625
50.32484375,55.4375
45.05078125,49.84375
39.20484374,44.6875
42.59984375,42.34375
53.0175,48.6875
54.2278125,60.34375
62.98296875,64.34375
77.87671875,77.28125
105.2065625,110.0625
124.891875,128.0625
127.592578,126.625
131.2485937,125.15625
132.1324991,127.625
126.1878125,127.78125
115.9184375,118.15625
