Pre,runoff
60.08447926,45.92188
69.61825836,44.375
73.65220211,43.8125
83.97322333,43.64844
85.33618473,43.35156
77.21074164,42.77344
50.05282056,41.82031
126.9757202,40.82813
99.2124322,40.00781
76.64210046,39.34375
84.7536921,38.75781
65.78035153,38.23438
94.16419598,37.79688
62.16189891,37.42969
56.34256304,37.05469
68.57963164,36.64063
61.10384137,36.30469
83.71797973,35.95313
67.5078944,35.52344
53.56599932,35.07813
47.81066828,34.70313
41.83658669,34.32031
97.61657792,34.02344
75.7560171,33.82031
120.008115,33.65625
150.8967022,33.50781
73.43323825,33.32813
46.87671981,33.3125
58.44771885,33.75781
58.41994945,34.88281
59.20706137,36.57813
58.9004898,38.10938
113.8596851,38.67188
54.63129287,38.14063
66.16862454,36.96875
13.736711,35.59375
47.56176865,34.21875
27.22976064,33.04688
43.77454154,32.10938
45.00265344,31.32813
55.28141386,30.76563
33.60929936,30.32813
63.25071777,29.96875
83.5874325,29.57813
53.86751234,29.10938
101.7140278,28.85938
141.9954666,29.60938
85.83821701,31.6875
107.1047719,35.59375
95.91601769,42.53125
104.8857127,50.34375
89.20149528,55.6875
57.85612304,57.70313
84.18486255,56.73438
48.60501898,53.53125
67.07424401,49.1875
61.39792446,44.92188
59.1800621,41.09375
81.32245302,37.9375
72.90097655,35.39063
38.96019551,33.65625
60.29403521,32.34375
56.49871885,31.10938
79.44566899,30.14063
101.3097204,29.375
60.09311149,28.78125
108.7782165,28.46875
69.95723126,28.25
51.50316804,27.98438
58.22735876,27.84375
8.843824429,27.75
54.74332901,27.625
53.70955584,27.46875
71.27443851,27.28125
63.03889018,26.78125
16.55136208,26.03125
82.69681694,25.21875
24.07847894,24.46875
58.14644408,23.875
65.9840123,23.40625
133.6531761,23.78125
109.9042514,25.59375
70.9795465,29.5
106.0125899,36.71875
71.70648214,46.9375
144.6881902,56.96875
88.48586243,65.09375
93.28195778,69.96875
76.02388215,70.53125
101.7806035,67.6875
72.41502305,63.1875
84.75686131,58.90625
93.22488977,55.53125
89.38082181,53.40625
95.51974407,53.8125
98.2418771,56.03125
93.65264498,58.90625
77.25914417,60.5
97.32296024,59.96875
57.95881776,57.71875
142.5064524,55.84375
138.3782523,56.40625
139.1535129,59.78125
82.47656766,65.96875
119.7656923,74.34375
93.96214198,80.71875
104.2773234,81.4375
72.14854314,77.375
82.85327194,70.9375
104.1383102,63.6875
44.56370348,57.34375
62.04603976,52.25
37.19488802,48.40625
24.82616268,45.75
118.7858623,44.90625
176.6595957,47
