Pre,runoff
491.9537949,253.03906
466.2759432,246.82031
433.8605387,239.20312
444.2473349,230.72656
444.9792841,224.83594
444.4039799,219.39062
436.9863704,215.20312
459.0389633,221.42188
459.1192737,231.64844
458.8812037,231.91406
454.6603414,225.77344
478.6774566,219.41406
497.6260925,211.84375
463.0476755,201.00781
447.1471314,188.90625
427.1004975,178.02344
433.8767081,170.125
421.859811,165.41406
433.4575234,163.63281
462.894592,165.83594
444.0001784,166.63281
428.5316835,163.40625
417.5793244,162.59375
430.3666784,164.60156
435.3057463,165.3125
437.3825204,162.58594
425.2526725,156.74219
422.0879259,152.14844
414.819566,147.77344
398.5268991,143.27344
426.3038507,140.28125
439.8519548,141.0625
407.9859308,142.92188
415.1437412,140.64062
419.0616719,136.57812
405.887413,131.95312
430.9214492,126.5
416.8246601,121.51563
415.8243878,119.04688
367.1914811,120.28125
376.5555373,126.04688
447.0729356,136.92188
434.89497,148.53125
441.7406027,152.26562
422.2259128,148.92188
422.5033383,142.5
430.3505311,136
412.8191266,131.45312
393.0240896,131.70312
417.0294419,140.9375
396.1968462,154.53125
430.0792039,165.25
447.9802211,170.59375
448.5809886,170.9375
479.1730334,175.9375
506.7985295,184.32812
436.6361382,187.25
437.3115295,182.96875
413.720063,177.15625
396.7568453,174.9375
440.5944928,180.98438
428.6772056,188.82812
389.9898273,191.90625
433.5297528,193.5625
445.2072792,193.6875
387.3237139,193.78125
423.0439633,198.10938
400.7150438,207.98438
490.7008378,223.23438
421.2773211,247.09375
484.1748745,278.03125
481.970724,322
506.7828784,349.34375
575.8974847,352.5
586.0307655,345.53125
521.9231539,333.59375
470.1501466,320.21875
389.5511748,308.84375
446.0121567,304.5625
476.7043049,309.15625
596.5699117,335.9375
504.0750122,395.59375
578.3643045,432.28125
502.6645588,434.46875
489.4662972,422.0625
563.5854277,405.1875
534.7256734,382.03125
545.8104392,359.375
496.7758119,339.1875
539.5761281,333.40625
609.8164808,352.53125
558.4589031,373.28125
581.1263692,374.8125
578.2621099,367.84375
516.8315101,365
540.0317819,362.53125
494.3017675,361.3125
523.2866271,363.1875
529.2680339,376.21875
400.5176496,404.65625
559.4733774,430.6875
720.4669273,465.34375
641.5872147,526.65625
615.0707699,579.25
592.1927018,609.9375
623.4515907,602.90625
645.0052222,564.6875
587.3829956,518.78125
599.5444987,483.75
610.3314358,460.78125
539.7882048,443.6875
497.9016432,424.25
473.0219273,399.71875
471.193733,380.96875
739.4935298,400.03125
719.2310802,491.4375
619.1144133,578.9375
560.3838815,596.40625
610.2521196,577.28125
618.8909848,546.125
636.4760477,514.71875
642.7453653,490.25
618.7055204,489.59375
726.0115652,493.59375
666.9231855,506.03125
647.1242236,525.90625
609.4023818,531.03125
635.511992,526.09375
764.6627454,547.8125
668.0457441,595.125
648.9252625,604.46875
745.7281165,598.9375
719.9690552,588.375
804.0203687,578.46875
656.2190625,565.9375
639.2407867,546.78125
653.1966543,517.5625
555.5125006,491.25
607.5821732,483.625
611.8655502,512.09375
564.6262785,585
652.9049359,652.0625
857.2256355,714.15625
676.9453707,750.5625
542.7378176,717.625
484.4039545,665.0625
648.1915275,639.875
707.6357687,705.15625
832.0045239,959.625
1001.577931,1207.8125
1120.392487,1207.9375
1150.389462,1143.5938
964.7670592,1057.125
895.4422583,965.375
974.5674603,910.25
1009.19744,898.09375
947.1573584,882.28125
1101.166303,863.59375
1104.403746,853.1875
1064.438016,868.96875
844.2830201,896.53125
867.0751883,869.875
910.5715828,825.875
869.7737532,798.96875
876.6467603,783.53125
783.1197221,755.1875
850.7824018,716.5
747.5951147,705.71875
642.7595484,715.3125
800.4110797,688.6875
704.2008952,649.09375
554.2687486,615.375
628.9453101,577.625
610.4486497,543.8125
600.3845077,525.90625
593.8261843,523.5625
588.4282976,525.71875
659.1343496,524.9375
733.17967,540.28125
602.3886503,582.6875
567.4918666,583.875
472.6406164,550.125
645.1863918,519.03125
686.9834989,505.09375
711.9305658,515.59375
635.095919,529.34375
527.5085252,520.0625
627.9840775,501
651.6673953,484.9375
695.460852,473.09375
765.7020605,470.5
730.1120279,495.75
769.422806,556.5625
687.59086,653.71875
684.9879726,674.21875
712.5165383,640.75
671.9884219,595.53125
635.5774958,550.28125
490.6803226,511.28125
667.0321082,480.375
815.7539098,464.53125
584.2100221,468.875
593.9665321,468.46875
504.6437225,457.6875
485.1664251,452.90625
670.927373,456.40625
554.9986255,460.53125
634.4491628,453.59375
588.4181179,446.46875
420.6523865,452.84375
546.5780546,448.03125
589.5194032,426.9375
515.9585195,409.34375
570.2995922,414.25
680.2777913,465.46875
798.3283258,522.0625
582.3005438,559.6875
514.1462477,601.9375
533.5383518,612.34375
769.4238656,591.1719
856.1725174,584.8906
811.7629861,605.1406
664.6339266,663.5
613.8637546,710.2031
743.5983081,728.59375
733.5972286,736.875
736.371522,727.9531
670.7266919,717.125
585.1145097,718.7031
897.1795109,738.5156
773.0452796,807.875
819.274356,911.8906
1162.66854,962.4844
961.2735968,1015.1406
936.4376023,978.8906
861.1515841,936.03125
921.9904206,892.5625
803.2413882,826.0156
678.27587,755.875
429.5370541,685.8281
666.8512427,626.375
756.6997115,626.5469
833.7885235,701.375
776.1902166,736.4531
952.248251,720.4531
828.8765517,687.9219
517.105009,662.34375
743.9019141,645.8281
813.839205,644.96875
807.6983234,656.4219
676.8156474,661.4531
672.6416786,640.21875
859.9304127,631.15625
791.8820958,688.34375
916.7644827,847.7031
832.2571258,1092.5
1129.516907,1221.8281
1283.373487,1241.0156
1722.776659,1217.0938
1225.339285,1249.75
1118.456152,1308.3281
1384.343756,1278
1321.110011,1381.4062
1305.066891,1544.4688
1626.412682,1548.6562
1563.982577,1479.8594
1436.793629,1390.7344
1470.560957,1287.2969
1397.490284,1175.125
1299.336874,1103.8125
1233.84265,1283.8594
1592.905492,1725.6719
1581.882443,2085.9375
2003.296981,2111.6562
1775.098554,1984.2969
1941.020884,1808.6719
1698.435531,1638.875
1498.338639,1495.0469
1511.103867,1362.6875
1435.69376,1279.1562
1419.1358,1225.7344
1280.340626,1190.1406
1396.527145,1240.0938
1413.580201,1317.4844
1361.119014,1289
1328.617243,1204.2656
1155.952475,1161.8594
1031.580076,1124.75
1063.526287,1040.8281
1103.699037,963.25
916.1921668,899.9922
1120.586696,897.4297
869.5732167,944.0781
1133.286165,944.6719
1021.06062,969.59375
1034.928871,1005.5156
810.616587,975.6797
822.0017462,908.1094
750.3782872,839.75
782.4033092,789.5625
810.3212879,799.78125
1068.845246,880.8203
994.2660727,1021.5625
1140.413749,1053.8203
1067.084521,1003.4297
938.3501634,938.8047
999.4926069,875.77344
915.1392905,847.34375
800.1148925,838.91406
780.2619907,798.9453
769.6346359,745.0469
731.9656769,691.5625
694.9337691,642.4219
610.1027105,606.90625
670.7750711,580.72656
625.1122594,559.2344
594.987408,536.7031
585.1041225,517.85156
528.1629779,513.3125
603.4531143,528.3906
642.1569183,548.28125
624.0709463,536.5625
614.5308265,508.35156
570.4043447,483.1875
585.0351007,467.89062
594.365517,455.08594
582.4550485,444.34375
578.7275434,431.20312
546.2053402,432.9297
603.0405959,460.64844
646.5509743,470.21875
654.8579219,459.1797
615.1641546,444.41406
578.8156587,424.1172
573.8065607,405.03906
534.6751332,424.57812
520.0880135,491.64062
552.3687164,502.85938
523.5318925,470.25
543.7457185,432.0625
501.2856378,400.07812
529.6901379,371.23438
534.2286824,343.4922
495.9688396,321.1328
430.6714492,302.67188
473.9293519,285.3828
524.2908653,267.75
457.9589531,249.625
431.6038319,234.71875
431.5806793,227.26562
453.3781792,234.63281
463.0679235,252.34375
480.3456041,256.875
448.4206758,246.0625
465.4813463,234.26562
540.9901734,230.65625
510.1875059,229.89062
486.9463406,228.125
441.4150076,228.74219
441.7085759,229.53906
428.3804701,223.75781
402.2750294,211.99219
418.8015173,198.76562
419.2227408,187.39844
427.2458093,179.85156
444.3214738,176.55469
443.4724627,177.94531
411.1918855,182
427.988617,182.6875
432.3901408,181.96094
450.7849532,184.26562
446.5983242,187.04688
438.978612,187.04688
441.8956193,183.89062
409.4336912,182.03125
394.8121533,182.59375
390.7995097,182.45312
400.2266195,179.21875
421.8276225,172.29688
399.4816408,164.26562
431.0918037,156.10938
471.8656822,149.15625
415.2925832,143.79688
425.5218434,141.20312
504.9021535,154.32812
487.8801452,183.78125
456.3140207,200.625
425.4194881,197.20312
417.0476096,186.15625
432.5314751,176.9375
450.4035165,169.89062
454.8342669,162.07812
431.6606671,156.125
436.1058418,154.07812
396.046853,153.9375
377.6954123,152.03125
417.9267778,150.26562
460.3302037,149.92188
444.9953318,149.48438
451.3962475,149.65625
434.679803,151.35938
432.9204691,151.76562
442.63369,152.35938
441.0755761,152.98438
441.0730951,150.78125
419.9089607,147.23438
445.3630207,143.0625
430.3794551,137.73438
385.6327446,132.15625
478.5088013,127.4375
508.1300134,124.96875
538.1139986,127.09375
493.8104824,135.21875
503.222669,150.65625
515.7066237,169.71875
524.5097692,185.21875
511.2883839,197.78125
521.3298743,215.125
503.7360297,229.625
500.3076409,228.78125
478.3055821,219.75
514.4038672,214.5
554.9154616,221.8125
503.4634058,229.46875
471.5373147,225.09375
510.0500982,216.46875
514.6706515,213.53125
508.0891939,216.1875
490.0681594,218.75
490.4861585,216.25
477.566404,206.9375
466.7986846,197.6875
482.4613241,189.5
465.4380625,182.5625
431.5716309,177.75
449.3983012,180.03125
470.7803817,192.15625
551.0014357,216.375
513.6591777,250.21875
510.122739,282.9375
554.5044711,302
567.5252123,303.46875
580.6987664,295.4375
551.2810097,280.46875
518.3678878,262.5
526.9157858,247.9375
483.1090345,237.53125
482.61472,229.3125
433.9810572,221.90625
448.1012436,220.9375
462.1959587,224.28125
425.411642,224.6875
392.2453432,224.78125
379.1616426,230.375
416.1126051,243.34375
359.7296332,259.78125
357.1951391,274.5
307.1680054,293.3125
365.9499525,324.1875
388.8936739,365.03125
432.0509365,412.65625
378.5243515,464.71875
468.4170021,511.4375
410.4011029,548.59375
527.403709,563.09375
490.5907601,585.5
470.0079926,634.875
608.8406608,641.0625
734.4587635,645.59375
658.515737,681.4375
624.871135,688.96875
694.6287976,665.03125
758.9921068,629.15625
675.9304333,593.78125
633.8512719,581.84375
656.5771935,599.78125
657.7790805,596.84375
617.4715616,559.625
640.4800553,521.65625
548.8250528,513.0625
711.6045316,538.625
688.4809631,554.28125
681.0713143,537.9375
677.6700264,521.15625
592.8270949,527.0625
617.452382,523.71875
583.7396593,497.8125
535.9902444,462.8125
539.3973382,434.0625
379.0086156,418.84375
474.5724918,409.40625
496.1858369,430.84375
621.8536511,496.6875
734.1073004,538.96875
713.8010483,600.75
655.827483,700.09375
688.1838043,732
696.5875483,700.96875
725.7948776,661.1875
677.7315174,615.4375
531.4552826,568.34375
551.5380339,528.875
542.3742857,501.84375
673.9074752,484.78125
575.3620788,479.3125
576.1455721,500.59375
510.9988711,531.875
638.3880832,560.03125
541.6228979,599.375
710.2158131,624.6875
729.506246,675.65625
785.6404741,696.59375
730.9649379,659.59375
652.4529446,606.59375
601.0546148,555.3125
532.8403387,510.28125
430.4287573,473.0625
404.9129818,554.3125
723.446447,790.625
726.2842356,1023
997.3380876,1052.625
1043.329602,1072.4062
1205.616709,1070.6875
1063.996406,1203.4688
986.0137713,1348.3125
1049.575332,1317.1875
1147.307744,1217.4375
1084.48434,1146.0312
996.6090415,1096.6875
966.6381041,1040.4688
1059.899559,988.75
1029.032465,953.78125
883.0316087,907.15625
994.750737,847.96875
922.4068229,797.75
1037.649409,763.28125
954.9264495,743.21875
803.3405277,726.125
825.2947163,702.25
778.0721743,675.1875
691.1426294,665.6875
903.174663,658.875
791.4584079,662.8125
727.470131,643.4375
894.2895494,643.40625
713.2180067,675.0625
529.8238677,664.375
677.3350095,619.90625
631.6053953,575.5
753.0009461,564
770.9223868,595.21875
719.1865771,623.59375
713.2005688,663.28125
692.8703794,675.9375
696.1874814,683.4375
599.6568685,658.8125
774.2436324,613.6875
756.447125,580.28125
767.1099718,562.0625
683.2159945,555.9375
628.6703393,544.34375
698.6040925,541.1875
639.0192329,566.78125
928.6482375,707.96875
840.1499031,955.6875
843.0962133,1004.6875
1423.769626,956.71875
1101.513831,969.46875
869.2155967,1011.96875
921.3282138,982.5
905.4838274,944.84375
909.9016138,889.34375
957.4540607,829.6875
947.5245776,782.71875
725.9265485,738.4375
696.2084236,693
753.3398584,653.71875
641.0127624,615.78125
565.0252723,575.65625
419.4820173,538.3125
319.3643609,504.42188
337.1810393,480.71875
409.0395269,478.1875
475.0905314,541.7344
488.2041047,698.2656
658.9091193,904.5625
1184.498335,971.8906
1187.479735,1013.7969
1096.773104,1065.8125
1291.128798,997.6875
965.8120211,945.8281
894.5289754,895.90625
1097.498295,854.6719
847.5774197,862.6875
777.9509665,820.53125
788.082947,760.0625
673.4635356,707.3594
860.7314778,698.3906
786.0446685,767.03125
667.7928194,844.8125
785.6285661,805.3281
833.5435863,751.2656
958.6483654,738.3281
903.749664,787.2344
716.6037922,830.59375
923.2019855,811.34375
853.572048,771.53125
855.4504992,749.8906
742.0812999,737.1094
619.0852518,705.7031
